"","MIR340","MIR190","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.753664233370116,0.753664233370116,0.753664233370116,0.753664233370116,0.800516085221968,0.661755901736771,0.661755901736771,0.348688478513838,-0.343804817699123,-0.348688478513838,-0.650866906936786,-0.799511192166715,-0.700516085221968,-0.700516085221968,-0.753664233370116
"MIR340",0.641283523273593,0.641283523273593,0.641283523273593,0.641283523273593,0.590088554720134,0.542819921023231,0.542819921023231,0.332479079731719,-0.324387944164429,-0.332479079731719,-0.535713028543814,-0.685251707100371,-0.590088554720134,-0.590088554720134,-0.641283523273593
"CD24",0.641283523273593,0.641283523273593,0.641283523273593,0.641283523273593,0.590088554720134,0.542819921023231,0.542819921023231,0.332479079731719,-0.324387944164429,-0.332479079731719,-0.535713028543814,-0.685251707100371,-0.590088554720134,-0.590088554720134,-0.641283523273593
"ESRP1",0.590088554720134,0.590088554720134,0.590088554720134,0.590088554720134,0.531492063492063,0.503834413776855,0.503834413776855,0.307062875514183,-0.303234098010583,-0.307062875514183,-0.484876477707263,-0.641283523273593,-0.531492063492063,-0.631492063492063,-0.590088554720134
"MIR200",0.542164181700844,0.542164181700844,0.542164181700844,0.542164181700844,0.502925427375584,0.539444459115326,0.539444459115326,0.320573488301617,-0.294870475536191,-0.320573488301617,-0.645623474583513,-0.575886525488833,-0.502925427375584,-0.502925427375584,-0.542164181700844
"MIR129",0.527516928163894,0.527516928163894,0.527516928163894,0.527516928163894,0.490674822900737,0.363214126914135,0.363214126914135,0.426939854851688,-0.202903591634179,-0.39362339504069,-0.389227989475338,-0.559240381686885,-0.490674822900737,-0.490674822900737,-0.527516928163894
"MIR34",0.332969243073604,0.332969243073604,0.332969243073604,0.332969243073604,0.311780053884415,0.303246902374936,0.303246902374936,0.250397897952649,-0.167086940011991,-0.250397897952649,-0.32867759868174,-0.351232431037802,-0.311780053884415,-0.311780053884415,-0.332969243073604
"MIR190",0.311780053884415,0.311780053884415,0.311780053884415,0.311780053884415,0.287164669269031,0.285442932151611,0.285442932151611,0.238273837802273,-0.160666806473214,-0.238273837802273,-0.409304698345794,-0.332969243073604,-0.287164669269031,-0.287164669269031,-0.311780053884415
"TGFB",-0.332969243073604,-0.332969243073604,-0.332969243073604,-0.332969243073604,-0.311780053884415,-0.303246902374936,-0.303246902374936,-0.250397897952649,0.167086940011991,0.250397897952649,0.32867759868174,0.351232431037802,0.311780053884415,0.311780053884415,0.332969243073604
"SNAIL1",-0.351232431037802,-0.351232431037802,-0.351232431037802,-0.351232431037802,-0.332969243073604,-0.316467241357987,-0.316467241357987,-0.25883363358865,0.0754988326878434,0.25883363358865,0.347715832816545,0.36698162545241,0.332969243073604,0.332969243073604,0.351232431037802
"TWIST1",-0.559240381686885,-0.559240381686885,-0.559240381686885,-0.559240381686885,-0.527516928163894,-0.388917548967367,-0.388917548967367,-0.444165288377699,0.213864221555439,0.310872744939563,0.419296482626023,0.586589414095372,0.527516928163894,0.527516928163894,0.559240381686885
"ZEB1",-0.685251707100371,-0.685251707100371,-0.685251707100371,-0.685251707100371,-0.641283523273593,-0.577120914147754,-0.577120914147754,-0.355130151856476,0.341541692576119,0.355130151856476,0.579161304405883,0.623342473923533,0.641283523273593,0.641283523273593,0.685251707100371
"HAS2",-0.590088554720134,-0.590088554720134,-0.590088554720134,-0.590088554720134,-0.531492063492063,-0.503834413776855,-0.503834413776855,-0.307062875514183,0.303234098010583,0.307062875514183,0.484876477707263,0.641283523273593,0.631492063492063,0.531492063492063,0.590088554720134
"HA",-0.641283523273593,-0.641283523273593,-0.641283523273593,-0.641283523273593,-0.590088554720134,-0.542819921023231,-0.542819921023231,-0.332479079731719,0.324387944164429,0.332479079731719,0.535713028543814,0.685251707100371,0.590088554720134,0.590088554720134,0.641283523273593
"CD44s",-0.641283523273593,-0.641283523273593,-0.641283523273593,-0.641283523273593,-0.590088554720134,-0.542819921023231,-0.542819921023231,-0.332479079731719,0.324387944164429,0.332479079731719,0.535713028543814,0.685251707100371,0.590088554720134,0.590088554720134,0.641283523273593
