"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.793002221583949,0.793002221583949,0.793002221583949,0.793002221583949,0.793002221583949,0.828523457105185,0.696144801490227,0.696144801490227,0.360904433909889,-0.3612431813696,-0.360904433909889,-0.678509352093098,-0.728523457105185,-0.728523457105185,-0.850529252357445,-0.793002221583949
"MIR340",0.683970437492708,0.683970437492708,0.683970437492708,0.683970437492708,0.683970437492708,0.621107366953288,0.576988089886433,0.576988089886433,0.345528465958573,-0.342424033538665,-0.345528465958573,-0.563706178552964,-0.621107366953288,-0.621107366953288,-0.739551216910036,-0.683970437492708
"MIR1199",0.683970437492708,0.683970437492708,0.683970437492708,0.683970437492708,0.683970437492708,0.621107366953288,0.576988089886433,0.576988089886433,0.345528465958573,-0.342424033538665,-0.345528465958573,-0.563706178552964,-0.621107366953288,-0.621107366953288,-0.739551216910036,-0.683970437492708
"CD24",0.683970437492708,0.683970437492708,0.683970437492708,0.683970437492708,0.683970437492708,0.621107366953288,0.576988089886433,0.576988089886433,0.345528465958573,-0.342424033538665,-0.345528465958573,-0.563706178552964,-0.621107366953288,-0.621107366953288,-0.739551216910036,-0.683970437492708
"ESRP1",0.621107366953288,0.621107366953288,0.621107366953288,0.621107366953288,0.621107366953288,0.551923076923077,0.52956228734252,0.52956228734252,0.317133404230178,-0.318135415652486,-0.317133404230178,-0.504635382092787,-0.551923076923077,-0.651923076923077,-0.683970437492708,-0.621107366953288
"MIR200",0.583406828262429,0.583406828262429,0.583406828262429,0.583406828262429,0.583406828262429,0.532184091976904,0.575194750618944,0.575194750618944,0.329830428792683,-0.308839410440045,-0.329830428792683,-0.674471795055025,-0.532184091976904,-0.532184091976904,-0.625930637786239,-0.583406828262429
"MIR34",0.312698646339189,0.312698646339189,0.312698646339189,0.312698646339189,0.312698646339189,0.292338980314783,0.297684669726631,0.297684669726631,0.24538176820104,-0.161814736622769,-0.24538176820104,-0.321318747287717,-0.292338980314783,-0.292338980314783,-0.334865689228579,-0.312698646339189
"MIR129",0.299059771547248,0.299059771547248,0.299059771547248,0.299059771547248,0.299059771547248,0.265939771547248,0.29088126193955,0.29088126193955,0.387075345635877,-0.156409875049731,-0.353572321572442,-0.308618311132222,-0.265939771547248,-0.265939771547248,-0.319556665957186,-0.299059771547248
"MIR190",0.292338980314783,0.292338980314783,0.292338980314783,0.292338980314783,0.292338980314783,0.261555738056131,0.280616757401802,0.280616757401802,0.233724685085515,-0.15553201410968,-0.233724685085515,-0.397881247287717,-0.261555738056131,-0.261555738056131,-0.312698646339189,-0.292338980314783
"TGFB",-0.312698646339189,-0.312698646339189,-0.312698646339189,-0.312698646339189,-0.312698646339189,-0.292338980314783,-0.297684669726631,-0.297684669726631,-0.24538176820104,0.161814736622769,0.24538176820104,0.321318747287717,0.292338980314783,0.292338980314783,0.334865689228579,0.312698646339189
"TWIST1",-0.319556665957186,-0.319556665957186,-0.319556665957186,-0.319556665957186,-0.319556665957186,-0.299059771547248,-0.308742897159675,-0.308742897159675,-0.39979105862407,0.162345948109092,0.266327655208393,0.333247729604286,0.299059771547248,0.299059771547248,0.343077932030381,0.319556665957186
"SNAIL1",-0.334865689228579,-0.334865689228579,-0.334865689228579,-0.334865689228579,-0.334865689228579,-0.312698646339189,-0.312910902568522,-0.312910902568522,-0.253585842205899,0.0705220789185287,0.253585842205899,0.339567595213984,0.312698646339189,0.312698646339189,0.352004217021864,0.334865689228579
"HAS2",-0.621107366953288,-0.621107366953288,-0.621107366953288,-0.621107366953288,-0.621107366953288,-0.551923076923077,-0.52956228734252,-0.52956228734252,-0.317133404230178,0.318135415652486,0.317133404230178,0.504635382092787,0.651923076923077,0.551923076923077,0.683970437492708,0.621107366953288
"ZEB1",-0.739551216910036,-0.739551216910036,-0.739551216910036,-0.739551216910036,-0.739551216910036,-0.683970437492708,-0.619213203744598,-0.619213203744598,-0.371248426236627,0.362832928804088,0.371248426236627,0.616822813352199,0.683970437492708,0.683970437492708,0.689737784074215,0.739551216910036
"HA",-0.683970437492708,-0.683970437492708,-0.683970437492708,-0.683970437492708,-0.683970437492708,-0.621107366953288,-0.576988089886433,-0.576988089886433,-0.345528465958573,0.342424033538665,0.345528465958573,0.563706178552964,0.621107366953288,0.621107366953288,0.739551216910036,0.683970437492708
"CD44s",-0.683970437492708,-0.683970437492708,-0.683970437492708,-0.683970437492708,-0.683970437492708,-0.621107366953288,-0.576988089886433,-0.576988089886433,-0.345528465958573,0.342424033538665,0.345528465958573,0.563706178552964,0.621107366953288,0.621107366953288,0.739551216910036,0.683970437492708
