"","MIR340","MIR34","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR200","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.789460398731901,0.789460398731901,0.789460398731901,0.789460398731901,0.789460398731901,0.789460398731901,0.825050070748649,0.707139910270148,0.366186389647766,-0.37066709860445,-0.366186389647766,-0.682727563662812,-0.725050070748649,-0.725050070748649,-0.84761731031347,-0.789460398731901
"MIR340",0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.616936066693937,0.589057974730936,0.351397743425965,-0.352819908626977,-0.351397743425965,-0.568354379091221,-0.616936066693937,-0.616936066693937,-0.736506909760702,-0.680197547481191
"MIR1199",0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.616936066693937,0.589057974730936,0.351397743425965,-0.352819908626977,-0.351397743425965,-0.568354379091221,-0.616936066693937,-0.616936066693937,-0.736506909760702,-0.680197547481191
"CD24",0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.680197547481191,0.616936066693937,0.589057974730936,0.351397743425965,-0.352819908626977,-0.351397743425965,-0.568354379091221,-0.616936066693937,-0.616936066693937,-0.736506909760702,-0.680197547481191
"ESRP1",0.616936066693937,0.616936066693937,0.616936066693937,0.616936066693937,0.616936066693937,0.616936066693937,0.549176503852407,0.537703294927981,0.320075237625501,-0.324890839595945,-0.320075237625501,-0.507452123452123,-0.549176503852407,-0.649176503852407,-0.680197547481191,-0.616936066693937
"MIR200",0.586920545948736,0.586920545948736,0.586920545948736,0.586920545948736,0.586920545948736,0.586920545948736,0.535735711825514,0.594947545549458,0.340946834788219,-0.326140520602492,-0.340946834788219,-0.686544145365526,-0.535735711825514,-0.535735711825514,-0.632668845268464,-0.586920545948736
"MIR129",0.564520067962148,0.564520067962148,0.564520067962148,0.564520067962148,0.564520067962148,0.564520067962148,0.518935768229766,0.406442448800875,0.444303890251745,-0.233442310640648,-0.412285285698979,-0.421230087753552,-0.518935768229766,-0.518935768229766,-0.607359574134987,-0.564520067962148
"MIR34",0.360290427680742,0.360290427680742,0.360290427680742,0.360290427680742,0.360290427680742,0.360290427680742,0.332272204446118,0.334123094853115,0.25891682112381,-0.197540781641369,-0.25891682112381,-0.352848264433642,-0.332272204446118,-0.332272204446118,-0.385335909791112,-0.360290427680742
"MIR190",0.332272204446118,0.332272204446118,0.332272204446118,0.332272204446118,0.332272204446118,0.332272204446118,0.301837421837422,0.311217238663345,0.244806391675957,-0.185607246898167,-0.244806391675957,-0.425852066715011,-0.301837421837422,-0.301837421837422,-0.360290427680742,-0.332272204446118
"TGFB",-0.360290427680742,-0.360290427680742,-0.360290427680742,-0.360290427680742,-0.360290427680742,-0.360290427680742,-0.332272204446118,-0.334123094853115,-0.25891682112381,0.197540781641369,0.25891682112381,0.352848264433642,0.332272204446118,0.332272204446118,0.385335909791112,0.360290427680742
"SNAIL1",-0.385335909791112,-0.385335909791112,-0.385335909791112,-0.385335909791112,-0.385335909791112,-0.385335909791112,-0.360290427680742,-0.354597090903148,-0.271626420151756,0.10840129983173,0.271626420151756,0.377769683382901,0.360290427680742,0.360290427680742,0.408170103709643,0.385335909791112
"TWIST1",-0.607359574134987,-0.607359574134987,-0.607359574134987,-0.607359574134987,-0.607359574134987,-0.607359574134987,-0.564520067962148,-0.441309276888043,-0.465518283055343,0.251913385020813,0.333529197276349,0.46182553433849,0.564520067962148,0.564520067962148,0.645181224534277,0.607359574134987
"HAS2",-0.616936066693937,-0.616936066693937,-0.616936066693937,-0.616936066693937,-0.616936066693937,-0.616936066693937,-0.549176503852407,-0.537703294927981,-0.320075237625501,0.324890839595945,0.320075237625501,0.507452123452123,0.649176503852407,0.549176503852407,0.680197547481191,0.616936066693937
"ZEB1",-0.736506909760702,-0.736506909760702,-0.736506909760702,-0.736506909760702,-0.736506909760702,-0.736506909760702,-0.680197547481191,-0.63546840106184,-0.380525150226456,0.37694696427014,0.380525150226456,0.624430187340942,0.680197547481191,0.680197547481191,0.688085102013213,0.736506909760702
"HA",-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.616936066693937,-0.589057974730936,-0.351397743425965,0.352819908626977,0.351397743425965,0.568354379091221,0.616936066693937,0.616936066693937,0.736506909760702,0.680197547481191
"CD44s",-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.680197547481191,-0.616936066693937,-0.589057974730936,-0.351397743425965,0.352819908626977,0.351397743425965,0.568354379091221,0.616936066693937,0.616936066693937,0.736506909760702,0.680197547481191
