"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","TWIST1","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.798102403933992,0.798102403933992,0.798102403933992,0.798102403933992,0.798102403933992,0.830923745890338,0.709194167724916,0.709194167724916,0.34986737634633,-0.319003178815466,-0.368822752740573,-0.685393486992155,-0.730923745890338,-0.730923745890338,-0.859005553072436,-0.798102403933992
"MIR340",0.689780375532248,0.689780375532248,0.689780375532248,0.689780375532248,0.689780375532248,0.623841510903427,0.591449668922269,0.591449668922269,0.331782903831593,-0.303283747001913,-0.350894618775035,-0.571746884441165,-0.623841510903427,-0.623841510903427,-0.748800783695513,-0.689780375532248
"MIR1199",0.689780375532248,0.689780375532248,0.689780375532248,0.689780375532248,0.689780375532248,0.623841510903427,0.591449668922269,0.591449668922269,0.331782903831593,-0.303283747001913,-0.350894618775035,-0.571746884441165,-0.623841510903427,-0.623841510903427,-0.748800783695513,-0.689780375532248
"CD24",0.689780375532248,0.689780375532248,0.689780375532248,0.689780375532248,0.689780375532248,0.623841510903427,0.591449668922269,0.591449668922269,0.331782903831593,-0.303283747001913,-0.350894618775035,-0.571746884441165,-0.623841510903427,-0.623841510903427,-0.748800783695513,-0.689780375532248
"ESRP1",0.623841510903427,0.623841510903427,0.623841510903427,0.623841510903427,0.623841510903427,0.553125,0.539321266968326,0.539321266968326,0.303283747001913,-0.265956558061821,-0.322844127891445,-0.508810663021189,-0.553125,-0.653125,-0.689780375532248,-0.623841510903427
"MIR200",0.594952188077307,0.594952188077307,0.594952188077307,0.594952188077307,0.594952188077307,0.54007591442374,0.596201796169214,0.596201796169214,0.310424801610906,-0.285921490352628,-0.323627904245261,-0.687373519247029,-0.54007591442374,-0.54007591442374,-0.642867726788731,-0.594952188077307
"MIR129",0.57964880439186,0.57964880439186,0.57964880439186,0.57964880439186,0.57964880439186,0.52914488501896,0.411599806487713,0.411599806487713,0.421385196665616,-0.49630376344086,-0.230012137469705,-0.425500192233756,-0.52914488501896,-0.52914488501896,-0.623661619770315,-0.57964880439186
"MIR34",0.328497585213945,0.328497585213945,0.328497585213945,0.328497585213945,0.328497585213945,0.302452569136775,0.316475382208269,0.316475382208269,0.172515224311634,-0.16135188706134,-0.185599236359606,-0.333624437995109,-0.302452569136775,-0.302452569136775,-0.353861168692712,-0.328497585213945
"MIR190",0.302452569136775,0.302452569136775,0.302452569136775,0.302452569136775,0.302452569136775,0.269701477433718,0.295949598588451,0.295949598588451,0.16135188706134,-0.144418979713097,-0.174510325270695,-0.404510513944476,-0.269701477433718,-0.269701477433718,-0.328497585213945,-0.302452569136775
"TGFB",-0.328497585213945,-0.328497585213945,-0.328497585213945,-0.328497585213945,-0.328497585213945,-0.302452569136775,-0.316475382208269,-0.316475382208269,-0.172515224311634,0.16135188706134,0.185599236359606,0.333624437995109,0.302452569136775,0.302452569136775,0.353861168692712,0.328497585213945
"SNAIL1",-0.353861168692712,-0.353861168692712,-0.353861168692712,-0.353861168692712,-0.353861168692712,-0.328497585213945,-0.336585676325916,-0.336585676325916,-0.18439427398766,0.172515224311634,0.0962235518031988,0.356281172942347,0.328497585213945,0.328497585213945,0.376235889407681,0.353861168692712
"TWIST1",-0.623661619770315,-0.623661619770315,-0.623661619770315,-0.623661619770315,-0.623661619770315,-0.57964880439186,-0.446184937165206,-0.446184937165206,-0.440449944867055,0.421385196665616,0.249112693305986,0.47023248929766,0.57964880439186,0.57964880439186,0.664496304919997,0.623661619770315
"HAS2",-0.623841510903427,-0.623841510903427,-0.623841510903427,-0.623841510903427,-0.623841510903427,-0.553125,-0.539321266968326,-0.539321266968326,-0.303283747001913,0.265956558061821,0.322844127891445,0.508810663021189,0.653125,0.553125,0.689780375532248,0.623841510903427
"ZEB1",-0.748800783695513,-0.748800783695513,-0.748800783695513,-0.748800783695513,-0.748800783695513,-0.689780375532248,-0.639076087910917,-0.639076087910917,-0.361058618986797,0.331782903831593,0.375235545317139,0.62926072011592,0.689780375532248,0.689780375532248,0.703626185198386,0.748800783695513
"HA",-0.689780375532248,-0.689780375532248,-0.689780375532248,-0.689780375532248,-0.689780375532248,-0.623841510903427,-0.591449668922269,-0.591449668922269,-0.331782903831593,0.303283747001913,0.350894618775035,0.571746884441165,0.623841510903427,0.623841510903427,0.748800783695513,0.689780375532248
"CD44s",-0.689780375532248,-0.689780375532248,-0.689780375532248,-0.689780375532248,-0.689780375532248,-0.623841510903427,-0.591449668922269,-0.591449668922269,-0.331782903831593,0.303283747001913,0.350894618775035,0.571746884441165,0.623841510903427,0.623841510903427,0.748800783695513,0.689780375532248
