"","MIR340","MIR190","MIR1199","ESRP1","MIR34","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","TGFB","HA","CD44s","CD24","HAS2","GRHL2"
"GRHL2",0.418527061821756,0.418527061821756,0.418527061821756,0.418527061821756,0.422571682228055,0.422571682228055,0.283868919345529,-0.428760850970411,-0.260492070225339,-0.283868919345529,-0.407782225993099,-0.405151265643412,-0.405151265643412,-0.305151265643412,-0.418527061821756,-0.418527061821756
"MIR129",0.382946555172834,0.382946555172834,0.382946555172834,0.382946555172834,0.271426998066511,0.271426998066511,0.409492125859372,-0.393445177072107,-0.175527838599596,-0.376198075741713,-0.296450778368042,-0.369086644591612,-0.369086644591612,-0.369086644591612,-0.382946555172834,-0.382946555172834
"MIR200",0.310988922577873,0.310988922577873,0.310988922577873,0.310988922577873,0.391236231675268,0.391236231675268,0.283048527922827,-0.319827439534471,-0.244947249378782,-0.283048527922827,-0.489379576244231,-0.299191454223442,-0.299191454223442,-0.299191454223442,-0.310988922577873,-0.310988922577873
"MIR340",0.310214410110455,0.310214410110455,0.310214410110455,0.310214410110455,0.30778275800669,0.30778275800669,0.264491272895785,-0.319657365129817,-0.237485749658779,-0.264491272895785,-0.29628861559896,-0.297725030331355,-0.297725030331355,-0.297725030331355,-0.310214410110455,-0.310214410110455
"MIR1199",0.310214410110455,0.310214410110455,0.310214410110455,0.310214410110455,0.30778275800669,0.30778275800669,0.264491272895785,-0.319657365129817,-0.237485749658779,-0.264491272895785,-0.29628861559896,-0.297725030331355,-0.297725030331355,-0.297725030331355,-0.310214410110455,-0.310214410110455
"CD24",0.310214410110455,0.310214410110455,0.310214410110455,0.310214410110455,0.30778275800669,0.30778275800669,0.264491272895785,-0.319657365129817,-0.237485749658779,-0.264491272895785,-0.29628861559896,-0.297725030331355,-0.297725030331355,-0.297725030331355,-0.310214410110455,-0.310214410110455
"ESRP1",0.297725030331355,0.297725030331355,0.297725030331355,0.297725030331355,0.296613105741147,0.296613105741147,0.25307574778163,-0.310214410110455,-0.22953872979123,-0.25307574778163,-0.280733060043405,-0.28169449598021,-0.38169449598021,-0.28169449598021,-0.297725030331355,-0.297725030331355
"MIR34",0.247778403465882,0.247778403465882,0.247778403465882,0.247778403465882,0.25249068122439,0.25249068122439,0.240790232056154,-0.253942887797205,-0.152319056866444,-0.240790232056154,-0.276675327090578,-0.239809251794931,-0.239809251794931,-0.239809251794931,-0.247778403465882,-0.247778403465882
"MIR190",0.239809251794931,0.239809251794931,0.239809251794931,0.239809251794931,0.243980600051308,0.243980600051308,0.23212327209135,-0.247778403465882,-0.149347840524754,-0.23212327209135,-0.367903397266017,-0.229032309439042,-0.229032309439042,-0.229032309439042,-0.239809251794931,-0.239809251794931
"ZEB1",-0.319657365129817,-0.319657365129817,-0.319657365129817,-0.319657365129817,-0.316647682152184,-0.316647682152184,-0.273621843166898,0.226940649228829,0.24285859238102,0.273621843166898,0.307963412346928,0.310214410110455,0.310214410110455,0.310214410110455,0.319657365129817,0.319657365129817
"TGFB",-0.247778403465882,-0.247778403465882,-0.247778403465882,-0.247778403465882,-0.25249068122439,-0.25249068122439,-0.240790232056154,0.253942887797205,0.152319056866444,0.240790232056154,0.276675327090578,0.239809251794931,0.239809251794931,0.239809251794931,0.247778403465882,0.247778403465882
"SNAIL1",-0.253942887797205,-0.253942887797205,-0.253942887797205,-0.253942887797205,-0.257416390364417,-0.257416390364417,-0.245728691256884,0.258600394364188,0.0569477242259454,0.245728691256884,0.284980219013218,0.247778403465882,0.247778403465882,0.247778403465882,0.253942887797205,0.253942887797205
"HAS2",-0.297725030331355,-0.297725030331355,-0.297725030331355,-0.297725030331355,-0.296613105741147,-0.296613105741147,-0.25307574778163,0.310214410110455,0.22953872979123,0.25307574778163,0.280733060043405,0.38169449598021,0.28169449598021,0.28169449598021,0.297725030331355,0.297725030331355
"HA",-0.310214410110455,-0.310214410110455,-0.310214410110455,-0.310214410110455,-0.30778275800669,-0.30778275800669,-0.264491272895785,0.319657365129817,0.237485749658779,0.264491272895785,0.29628861559896,0.297725030331355,0.297725030331355,0.297725030331355,0.310214410110455,0.310214410110455
"CD44s",-0.310214410110455,-0.310214410110455,-0.310214410110455,-0.310214410110455,-0.30778275800669,-0.30778275800669,-0.264491272895785,0.319657365129817,0.237485749658779,0.264491272895785,0.29628861559896,0.297725030331355,0.297725030331355,0.297725030331355,0.310214410110455,0.310214410110455
"TWIST1",-0.393445177072107,-0.393445177072107,-0.393445177072107,-0.393445177072107,-0.282052190551882,-0.282052190551882,-0.420295160125655,0.401465358004605,0.1802897433615,0.287024435574349,0.30836962874843,0.382946555172834,0.382946555172834,0.382946555172834,0.393445177072107,0.393445177072107
