"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR129","TGFB","SNAIL1","TWIST1","MIR200","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.455207265693576,0.455207265693576,0.455207265693576,0.455207265693576,0.455207265693576,0.540557584164914,0.418165151010076,0.197059803130204,-0.0246190442658264,-0.175198083644179,-0.197059803130204,-0.328532942173749,-0.46592627760359,-0.440557584164914,-0.440557584164914,-0.455207265693576
"MIR129",0.404883912680162,0.404883912680162,0.404883912680162,0.404883912680162,0.404883912680162,0.389384657836645,0.269733388970186,0.379219573935841,-0.0287894959573559,-0.139126312478849,-0.3454224600627,-0.174449550744375,-0.416485015160743,-0.389384657836645,-0.389384657836645,-0.404883912680162
"MIR340",0.367043146521127,0.367043146521127,0.367043146521127,0.367043146521127,0.367043146521127,0.353364302001161,0.303214232956904,0.178786647035479,-0.0160110045073446,-0.152020673382691,-0.178786647035479,-0.239136958551497,-0.376724409553597,-0.353364302001161,-0.353364302001161,-0.367043146521127
"MIR1199",0.367043146521127,0.367043146521127,0.367043146521127,0.367043146521127,0.367043146521127,0.353364302001161,0.303214232956904,0.178786647035479,-0.0160110045073446,-0.152020673382691,-0.178786647035479,-0.239136958551497,-0.376724409553597,-0.353364302001161,-0.353364302001161,-0.367043146521127
"CD24",0.367043146521127,0.367043146521127,0.367043146521127,0.367043146521127,0.367043146521127,0.353364302001161,0.303214232956904,0.178786647035479,-0.0160110045073446,-0.152020673382691,-0.178786647035479,-0.239136958551497,-0.376724409553597,-0.353364302001161,-0.353364302001161,-0.367043146521127
"ESRP1",0.353364302001161,0.353364302001161,0.353364302001161,0.353364302001161,0.353364302001161,0.335807050092764,0.291939206613384,0.17120673835968,-0.0149482025749774,-0.148614807725169,-0.17120673835968,-0.233446758340748,-0.367043146521127,-0.335807050092764,-0.435807050092764,-0.353364302001161
"MIR200",0.346991431065477,0.346991431065477,0.346991431065477,0.346991431065477,0.346991431065477,0.334080038660414,0.388402261966534,0.234471576340394,-0.22147020066616,-0.191732415874408,-0.234471576340394,-0.11686589665536,-0.356357096150699,-0.334080038660414,-0.334080038660414,-0.346991431065477
"MIR34",0.259105513397223,0.259105513397223,0.259105513397223,0.259105513397223,0.259105513397223,0.250193773894224,0.251523524941386,0.223384710562861,-0.105396183656313,-0.131783250312623,-0.223384710562861,-0.0287818966893903,-0.2659173421452,-0.250193773894224,-0.250193773894224,-0.259105513397223
"MIR190",0.250193773894224,0.250193773894224,0.250193773894224,0.250193773894224,0.250193773894224,0.23841432527267,0.243537141071263,0.217445423277335,-0.205159104471866,-0.130251216886439,-0.217445423277335,-0.0258753766579685,-0.259105513397223,-0.23841432527267,-0.23841432527267,-0.250193773894224
"TGFB",-0.259105513397223,-0.259105513397223,-0.259105513397223,-0.259105513397223,-0.259105513397223,-0.250193773894224,-0.251523524941386,-0.223384710562861,0.105396183656313,0.131783250312623,0.223384710562861,0.0287818966893903,0.2659173421452,0.250193773894224,0.250193773894224,0.259105513397223
"SNAIL1",-0.2659173421452,-0.2659173421452,-0.2659173421452,-0.2659173421452,-0.2659173421452,-0.259105513397223,-0.256287144932381,-0.226438957637773,0.106972650420493,0.0348130688432812,0.226438957637773,0.0323568629208176,0.270948661603677,0.259105513397223,0.259105513397223,0.2659173421452
"ZEB1",-0.376724409553597,-0.376724409553597,-0.376724409553597,-0.376724409553597,-0.376724409553597,-0.367043146521127,-0.310470676020329,-0.183616812195965,0.0177345817431169,0.155863069996172,0.183616812195965,0.243761341662445,0.284231794701809,0.367043146521127,0.367043146521127,0.376724409553597
"HAS2",-0.353364302001161,-0.353364302001161,-0.353364302001161,-0.353364302001161,-0.353364302001161,-0.335807050092764,-0.291939206613384,-0.17120673835968,0.0149482025749774,0.148614807725169,0.17120673835968,0.233446758340748,0.367043146521127,0.435807050092764,0.335807050092764,0.353364302001161
"HA",-0.367043146521127,-0.367043146521127,-0.367043146521127,-0.367043146521127,-0.367043146521127,-0.353364302001161,-0.303214232956904,-0.178786647035479,0.0160110045073446,0.152020673382691,0.178786647035479,0.239136958551497,0.376724409553597,0.353364302001161,0.353364302001161,0.367043146521127
"CD44s",-0.367043146521127,-0.367043146521127,-0.367043146521127,-0.367043146521127,-0.367043146521127,-0.353364302001161,-0.303214232956904,-0.178786647035479,0.0160110045073446,0.152020673382691,0.178786647035479,0.239136958551497,0.376724409553597,0.353364302001161,0.353364302001161,0.367043146521127
"TWIST1",-0.416485015160743,-0.416485015160743,-0.416485015160743,-0.416485015160743,-0.416485015160743,-0.404883912680162,-0.280081402521156,-0.386779082175443,0.0290430885186408,0.141143603545132,0.253006142071068,0.178360853485367,0.425148898250513,0.404883912680162,0.404883912680162,0.416485015160743
