"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","TWIST1","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.763682993304696,0.763682993304696,0.763682993304696,0.763682993304696,0.763682993304696,0.808905923241002,0.67627576514026,0.67627576514026,0.298125675623746,-0.178998869466244,-0.339115632908896,-0.663111583991647,-0.810661378836235,-0.708905923241002,-0.708905923241002,-0.763682993304696
"MIR340",0.651736049021488,0.651736049021488,0.651736049021488,0.651736049021488,0.651736049021488,0.598465020984105,0.55534729109142,0.55534729109142,0.280314152782485,-0.160736791009152,-0.319195484669962,-0.545919705716866,-0.696508166983955,-0.598465020984105,-0.598465020984105,-0.651736049021488
"MIR1199",0.651736049021488,0.651736049021488,0.651736049021488,0.651736049021488,0.651736049021488,0.598465020984105,0.55534729109142,0.55534729109142,0.280314152782485,-0.160736791009152,-0.319195484669962,-0.545919705716866,-0.696508166983955,-0.598465020984105,-0.598465020984105,-0.651736049021488
"CD24",0.651736049021488,0.651736049021488,0.651736049021488,0.651736049021488,0.651736049021488,0.598465020984105,0.55534729109142,0.55534729109142,0.280314152782485,-0.160736791009152,-0.319195484669962,-0.545919705716866,-0.696508166983955,-0.598465020984105,-0.598465020984105,-0.651736049021488
"ESRP1",0.598465020984105,0.598465020984105,0.598465020984105,0.598465020984105,0.598465020984105,0.539177489177489,0.513829904368554,0.513829904368554,0.262688582006229,-0.153156882333353,-0.300084794036093,-0.494808594605755,-0.651736049021488,-0.539177489177489,-0.639177489177489,-0.598465020984105
"MIR200",0.538769318176574,0.538769318176574,0.538769318176574,0.538769318176574,0.538769318176574,0.500237672606953,0.543497104403797,0.543497104403797,0.24924782706901,-0.126286007307997,-0.278596873581885,-0.649091193953247,-0.571856649049882,-0.500237672606953,-0.500237672606953,-0.538769318176574
"MIR34",0.281695999723864,0.281695999723864,0.281695999723864,0.281695999723864,0.281695999723864,0.265414937170307,0.261141045334061,0.261141045334061,0.154232568503458,-0.0581405972828899,-0.122416786405209,-0.286986310064133,-0.294216229236884,-0.265414937170307,-0.265414937170307,-0.281695999723864
"MIR190",0.265414937170307,0.265414937170307,0.265414937170307,0.265414937170307,0.265414937170307,0.248622957220433,0.245403941380146,0.245403941380146,0.147149418481461,-0.0492976584355516,-0.122509636915886,-0.375653925047538,-0.281695999723864,-0.248622957220433,-0.248622957220433,-0.265414937170307
"TGFB",-0.281695999723864,-0.281695999723864,-0.281695999723864,-0.281695999723864,-0.281695999723864,-0.265414937170307,-0.261141045334061,-0.261141045334061,-0.154232568503458,0.0581405972828899,0.122416786405209,0.286986310064133,0.294216229236884,0.265414937170307,0.265414937170307,0.281695999723864
"SNAIL1",-0.294216229236884,-0.294216229236884,-0.294216229236884,-0.294216229236884,-0.294216229236884,-0.281695999723864,-0.268768240291287,-0.268768240291287,-0.157226034542054,0.0556333795348273,0.0307707715359144,0.302929752287439,0.306036799048967,0.281695999723864,0.281695999723864,0.294216229236884
"MIR129",-0.42239630728082,-0.42239630728082,-0.42239630728082,-0.42239630728082,-0.42239630728082,-0.398700331125828,-0.273223732631679,-0.273223732631679,-0.235665330912642,0.0582355485953088,0.119254418774879,0.305585331018903,0.444070073254261,0.398700331125828,0.398700331125828,0.42239630728082
"TWIST1",-0.444070073254261,-0.444070073254261,-0.444070073254261,-0.444070073254261,-0.444070073254261,-0.42239630728082,-0.291455946983388,-0.291455946983388,-0.243591043703644,-0.0356975057979967,0.12426333876939,0.324492065310253,0.461780581257044,0.42239630728082,0.42239630728082,0.444070073254261
"ZEB1",-0.696508166983955,-0.696508166983955,-0.696508166983955,-0.696508166983955,-0.696508166983955,-0.651736049021488,-0.590203807267622,-0.590203807267622,-0.295490220093173,0.167312048098588,0.335411700886179,0.591935965879468,0.635776782650655,0.651736049021488,0.651736049021488,0.696508166983955
"HAS2",-0.598465020984105,-0.598465020984105,-0.598465020984105,-0.598465020984105,-0.598465020984105,-0.539177489177489,-0.513829904368554,-0.513829904368554,-0.262688582006229,0.153156882333353,0.300084794036093,0.494808594605755,0.651736049021488,0.639177489177489,0.539177489177489,0.598465020984105
"HA",-0.651736049021488,-0.651736049021488,-0.651736049021488,-0.651736049021488,-0.651736049021488,-0.598465020984105,-0.55534729109142,-0.55534729109142,-0.280314152782485,0.160736791009152,0.319195484669962,0.545919705716866,0.696508166983955,0.598465020984105,0.598465020984105,0.651736049021488
"CD44s",-0.651736049021488,-0.651736049021488,-0.651736049021488,-0.651736049021488,-0.651736049021488,-0.598465020984105,-0.55534729109142,-0.55534729109142,-0.280314152782485,0.160736791009152,0.319195484669962,0.545919705716866,0.696508166983955,0.598465020984105,0.598465020984105,0.651736049021488
