"","MIR340","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.791552553689399,0.791552553689399,0.791552553689399,0.791552553689399,0.827902811231709,0.705966007356644,0.705966007356644,0.350311967991209,-0.346673523633152,-0.350311967991209,-0.654730265911777,-0.727902811231709,-0.727902811231709,-0.848598482708188,-0.791552553689399
"MIR340",0.682367792081962,0.682367792081962,0.682367792081962,0.682367792081962,0.620669865132308,0.583719786912601,0.583719786912601,0.331690167089057,-0.313509155783238,-0.331690167089057,-0.532985900505454,-0.620669865132308,-0.620669865132308,-0.737742038268553,-0.682367792081962
"MIR1199",0.682367792081962,0.682367792081962,0.682367792081962,0.682367792081962,0.620669865132308,0.583719786912601,0.583719786912601,0.331690167089057,-0.313509155783238,-0.331690167089057,-0.532985900505454,-0.620669865132308,-0.620669865132308,-0.737742038268553,-0.682367792081962
"CD24",0.682367792081962,0.682367792081962,0.682367792081962,0.682367792081962,0.620669865132308,0.583719786912601,0.583719786912601,0.331690167089057,-0.313509155783238,-0.331690167089057,-0.532985900505454,-0.620669865132308,-0.620669865132308,-0.737742038268553,-0.682367792081962
"ESRP1",0.620669865132308,0.620669865132308,0.620669865132308,0.620669865132308,0.551305703282597,0.532985900505454,0.532985900505454,0.301512652296157,-0.292649484481089,-0.301512652296157,-0.480285714285714,-0.551305703282597,-0.651305703282597,-0.682367792081962,-0.620669865132308
"MIR200",0.575647442602309,0.575647442602309,0.575647442602309,0.575647442602309,0.528397162018695,0.576691100398587,0.576691100398587,0.319998529588253,-0.298949990574869,-0.319998529588253,-0.639320982161396,-0.528397162018695,-0.528397162018695,-0.617368770370149,-0.575647442602309
"MIR129",0.552664841350569,0.552664841350569,0.552664841350569,0.552664841350569,0.510034096501124,0.381471769357436,0.381471769357436,0.422210638726065,-0.195012405798416,-0.388383079079112,-0.350806436691102,-0.510034096501124,-0.510034096501124,-0.590124124738191,-0.552664841350569
"MIR34",0.350156167604956,0.350156167604956,0.350156167604956,0.350156167604956,0.325834286953961,0.317942620464361,0.317942620464361,0.247798599223214,-0.165859407974599,-0.247798599223214,-0.297908324951357,-0.325834286953961,-0.325834286953961,-0.371964005784475,-0.350156167604956
"TGFB",-0.350156167604956,-0.350156167604956,-0.350156167604956,-0.350156167604956,-0.325834286953961,-0.317942620464361,-0.317942620464361,-0.247798599223214,0.165859407974599,0.247798599223214,0.297908324951357,0.325834286953961,0.325834286953961,0.371964005784475,0.350156167604956
"SNAIL1",-0.371964005784475,-0.371964005784475,-0.371964005784475,-0.371964005784475,-0.350156167604956,-0.334530773215689,-0.334530773215689,-0.256886287442878,0.0746557042708957,0.256886287442878,0.317942620464361,0.350156167604956,0.350156167604956,0.391198815316183,0.371964005784475
"TWIST1",-0.590124124738191,-0.590124124738191,-0.590124124738191,-0.590124124738191,-0.552664841350569,-0.412536040262757,-0.412536040262757,-0.440720032012175,0.206406507675092,0.306917561837733,0.381471769357436,0.552664841350569,0.552664841350569,0.623547124065696,0.590124124738191
"HAS2",-0.620669865132308,-0.620669865132308,-0.620669865132308,-0.620669865132308,-0.551305703282597,-0.532985900505454,-0.532985900505454,-0.301512652296157,0.292649484481089,0.301512652296157,0.480285714285714,0.651305703282597,0.551305703282597,0.682367792081962,0.620669865132308
"ZEB1",-0.737742038268553,-0.737742038268553,-0.737742038268553,-0.737742038268553,-0.682367792081962,-0.626687294297286,-0.626687294297286,-0.355793998980281,0.335645549515306,0.355793998980281,0.583719786912601,0.682367792081962,0.682367792081962,0.686992440944801,0.737742038268553
"HA",-0.682367792081962,-0.682367792081962,-0.682367792081962,-0.682367792081962,-0.620669865132308,-0.583719786912601,-0.583719786912601,-0.331690167089057,0.313509155783238,0.331690167089057,0.532985900505454,0.620669865132308,0.620669865132308,0.737742038268553,0.682367792081962
"CD44s",-0.682367792081962,-0.682367792081962,-0.682367792081962,-0.682367792081962,-0.620669865132308,-0.583719786912601,-0.583719786912601,-0.331690167089057,0.313509155783238,0.331690167089057,0.532985900505454,0.620669865132308,0.620669865132308,0.737742038268553,0.682367792081962
