"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","TWIST1","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.779059097878786,0.779059097878786,0.779059097878786,0.779059097878786,0.779059097878786,0.819568652018914,0.691173070508927,0.691173070508927,0.185592270390253,-0.309549653800629,-0.356795307358041,-0.673907955504434,-0.831154377984653,-0.719568652018914,-0.719568652018914,-0.779059097878786
"MIR340",0.668679585955547,0.668679585955547,0.668679585955547,0.668679585955547,0.668679585955547,0.610820622489107,0.571444542387972,0.571444542387972,0.167289900322616,-0.292259042917867,-0.337724391239906,-0.558387318064538,-0.718754057209643,-0.610820622489107,-0.610820622489107,-0.668679585955547
"MIR1199",0.668679585955547,0.668679585955547,0.668679585955547,0.668679585955547,0.668679585955547,0.610820622489107,0.571444542387972,0.571444542387972,0.167289900322616,-0.292259042917867,-0.337724391239906,-0.558387318064538,-0.718754057209643,-0.610820622489107,-0.610820622489107,-0.668679585955547
"CD24",0.668679585955547,0.668679585955547,0.668679585955547,0.668679585955547,0.668679585955547,0.610820622489107,0.571444542387972,0.571444542387972,0.167289900322616,-0.292259042917867,-0.337724391239906,-0.558387318064538,-0.718754057209643,-0.610820622489107,-0.610820622489107,-0.668679585955547
"ESRP1",0.610820622489107,0.610820622489107,0.610820622489107,0.610820622489107,0.610820622489107,0.546444032158318,0.526344437013894,0.526344437013894,0.15952734324499,-0.272259042917867,-0.314545583292886,-0.502058815649079,-0.668679585955547,-0.546444032158318,-0.646444032158318,-0.610820622489107
"MIR200",0.565064843632784,0.565064843632784,0.565064843632784,0.565064843632784,0.565064843632784,0.520254717050506,0.568137516542109,0.568137516542109,0.136660597419214,-0.266288563535114,-0.302052872225567,-0.667907307307532,-0.60296679408086,-0.520254717050506,-0.520254717050506,-0.565064843632784
"MIR129",0.451988881048022,0.451988881048022,0.451988881048022,0.451988881048022,0.451988881048022,0.422480684326711,0.300299236396733,0.300299236396733,0.0253419143095346,-0.189136924589956,-0.139669213430956,-0.327326094748529,-0.477120427026474,-0.422480684326711,-0.422480684326711,-0.451988881048022
"MIR34",0.330554921279543,0.330554921279543,0.330554921279543,0.330554921279543,0.330554921279543,0.310160748186141,0.301502877793022,0.301502877793022,0.0673348158193965,-0.176377682403302,-0.157301329420499,-0.328504970761299,-0.34940147122805,-0.310160748186141,-0.310160748186141,-0.330554921279543
"MIR190",0.310160748186141,0.310160748186141,0.310160748186141,0.310160748186141,0.310160748186141,0.284596838411705,0.284980227884669,0.284980227884669,0.0632433068004788,-0.168942574616236,-0.149873288566274,-0.407215259997904,-0.330554921279543,-0.284596838411705,-0.284596838411705,-0.310160748186141
"TGFB",-0.330554921279543,-0.330554921279543,-0.330554921279543,-0.330554921279543,-0.330554921279543,-0.310160748186141,-0.301502877793022,-0.301502877793022,-0.0673348158193965,0.176377682403302,0.157301329420499,0.328504970761299,0.34940147122805,0.310160748186141,0.310160748186141,0.330554921279543
"SNAIL1",-0.34940147122805,-0.34940147122805,-0.34940147122805,-0.34940147122805,-0.34940147122805,-0.330554921279543,-0.315919807104143,-0.315919807104143,-0.0696292999403508,0.182653324402998,0.0647279822304757,0.34649619455457,0.365364291999923,0.330554921279543,0.330554921279543,0.34940147122805
"TWIST1",-0.477120427026474,-0.477120427026474,-0.477120427026474,-0.477120427026474,-0.477120427026474,-0.451988881048022,-0.320102131376715,-0.320102131376715,-0.029291691971057,0.097923535468617,0.149343976708025,0.352600820023254,0.499441234263774,0.451988881048022,0.451988881048022,0.477120427026474
"ZEB1",-0.718754057209643,-0.718754057209643,-0.718754057209643,-0.718754057209643,-0.718754057209643,-0.668679585955547,-0.611126501810381,-0.611126501810381,-0.175734898764498,0.310177397545476,0.35674099820832,0.608371057901937,0.663238115475915,0.668679585955547,0.668679585955547,0.718754057209643
"HAS2",-0.610820622489107,-0.610820622489107,-0.610820622489107,-0.610820622489107,-0.610820622489107,-0.546444032158318,-0.526344437013894,-0.526344437013894,-0.15952734324499,0.272259042917867,0.314545583292886,0.502058815649079,0.668679585955547,0.646444032158318,0.546444032158318,0.610820622489107
"HA",-0.668679585955547,-0.668679585955547,-0.668679585955547,-0.668679585955547,-0.668679585955547,-0.610820622489107,-0.571444542387972,-0.571444542387972,-0.167289900322616,0.292259042917867,0.337724391239906,0.558387318064538,0.718754057209643,0.610820622489107,0.610820622489107,0.668679585955547
"CD44s",-0.668679585955547,-0.668679585955547,-0.668679585955547,-0.668679585955547,-0.668679585955547,-0.610820622489107,-0.571444542387972,-0.571444542387972,-0.167289900322616,0.292259042917867,0.337724391239906,0.558387318064538,0.718754057209643,0.610820622489107,0.610820622489107,0.668679585955547
