"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","TGFB","SNAIL1","TWIST1","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.731527998124923,0.731527998124923,0.731527998124923,0.731527998124923,0.731527998124923,0.784266851628108,0.616459329935404,0.616459329935404,0.231114334318897,0.0301564561638293,-0.215538128940213,-0.231114334318897,-0.772727821680283,-0.684266851628108,-0.684266851628108,-0.731527998124923
"MIR340",0.619268503317974,0.619268503317974,0.619268503317974,0.619268503317974,0.619268503317974,0.575003422604295,0.486856208291976,0.486856208291976,0.21584668825668,0.0200304729028602,-0.192604161210407,-0.21584668825668,-0.659393615024855,-0.575003422604295,-0.575003422604295,-0.619268503317974
"MIR1199",0.619268503317974,0.619268503317974,0.619268503317974,0.619268503317974,0.619268503317974,0.575003422604295,0.486856208291976,0.486856208291976,0.21584668825668,0.0200304729028602,-0.192604161210407,-0.21584668825668,-0.659393615024855,-0.575003422604295,-0.575003422604295,-0.619268503317974
"CD24",0.619268503317974,0.619268503317974,0.619268503317974,0.619268503317974,0.619268503317974,0.575003422604295,0.486856208291976,0.486856208291976,0.21584668825668,0.0200304729028602,-0.192604161210407,-0.21584668825668,-0.659393615024855,-0.575003422604295,-0.575003422604295,-0.619268503317974
"ESRP1",0.575003422604295,0.575003422604295,0.575003422604295,0.575003422604295,0.575003422604295,0.518769325912183,0.449764532844136,0.449764532844136,0.196759930265813,0.0212865115502032,-0.191941909554778,-0.196759930265813,-0.619268503317974,-0.518769325912183,-0.618769325912183,-0.575003422604295
"MIR129",0.529277642344627,0.529277642344627,0.529277642344627,0.529277642344627,0.529277642344627,0.492317880794702,0.339406802272898,0.339406802272898,0.371951105850239,0.0275661343282664,-0.14066858917105,-0.337420666164837,-0.557115277022653,-0.492317880794702,-0.492317880794702,-0.529277642344627
"MIR200",0.334866319385729,0.334866319385729,0.334866319385729,0.334866319385729,0.334866319385729,0.318410623183197,0.169447427174792,0.169447427174792,-0.0542428131804983,0.00673762124000348,0.00209532969906001,0.0542428131804983,-0.351401199020239,-0.318410623183197,-0.318410623183197,-0.334866319385729
"MIR34",0.324355469714106,0.324355469714106,0.324355469714106,0.324355469714106,0.324355469714106,0.306960439722675,0.283326330612098,0.283326330612098,0.207711029688626,0.0990813077774687,-0.113337577137871,-0.207711029688626,-0.341259986412649,-0.306960439722675,-0.306960439722675,-0.324355469714106
"MIR190",0.306960439722675,0.306960439722675,0.306960439722675,0.306960439722675,0.306960439722675,0.282399036213903,0.266960789894633,0.266960789894633,0.197988196428617,0.00121502043749719,-0.116030241947527,-0.197988196428617,-0.324355469714106,-0.282399036213903,-0.282399036213903,-0.306960439722675
"TGFB",-0.324355469714106,-0.324355469714106,-0.324355469714106,-0.324355469714106,-0.324355469714106,-0.306960439722675,-0.283326330612098,-0.283326330612098,-0.207711029688626,-0.0990813077774687,0.113337577137871,0.207711029688626,0.341259986412649,0.306960439722675,0.306960439722675,0.324355469714106
"SNAIL1",-0.341259986412649,-0.341259986412649,-0.341259986412649,-0.341259986412649,-0.341259986412649,-0.324355469714106,-0.292628446775988,-0.292628446775988,-0.209306531891939,-0.102640547172886,0.0213877809910962,0.209306531891939,0.354070655234634,0.324355469714106,0.324355469714106,0.341259986412649
"TWIST1",-0.557115277022653,-0.557115277022653,-0.557115277022653,-0.557115277022653,-0.557115277022653,-0.529277642344627,-0.364414501687742,-0.364414501687742,-0.386049981079117,-0.0252274473741948,0.1381298215026,0.251542005076971,0.583141721003168,0.529277642344627,0.529277642344627,0.557115277022653
"ZEB1",-0.659393615024855,-0.659393615024855,-0.659393615024855,-0.659393615024855,-0.659393615024855,-0.619268503317974,-0.511732830481704,-0.511732830481704,-0.222795893616605,-0.0259816924150554,0.20745274473369,0.222795893616605,0.591511369939798,0.619268503317974,0.619268503317974,0.659393615024855
"HAS2",-0.575003422604295,-0.575003422604295,-0.575003422604295,-0.575003422604295,-0.575003422604295,-0.518769325912183,-0.449764532844136,-0.449764532844136,-0.196759930265813,-0.0212865115502032,0.191941909554778,0.196759930265813,0.619268503317974,0.618769325912183,0.518769325912183,0.575003422604295
"HA",-0.619268503317974,-0.619268503317974,-0.619268503317974,-0.619268503317974,-0.619268503317974,-0.575003422604295,-0.486856208291976,-0.486856208291976,-0.21584668825668,-0.0200304729028602,0.192604161210407,0.21584668825668,0.659393615024855,0.575003422604295,0.575003422604295,0.619268503317974
"CD44s",-0.619268503317974,-0.619268503317974,-0.619268503317974,-0.619268503317974,-0.619268503317974,-0.575003422604295,-0.486856208291976,-0.486856208291976,-0.21584668825668,-0.0200304729028602,0.192604161210407,0.21584668825668,0.659393615024855,0.575003422604295,0.575003422604295,0.619268503317974
