"","MIR340","MIR190","MIR1199","GRHL2","CD44s","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","ZEB1","TGFB","HA","HAS2","ESRP1"
"GRHL2",0.672058559943877,0.672058559943877,0.672058559943877,0.672058559943877,0.627599961217762,0.727599961217762,0.617075525846695,0.617075525846695,0.344394452023155,-0.33704810572275,-0.344394452023155,-0.706729931800957,-0.599289906135234,-0.627599961217762,-0.672058559943877,-0.672058559943877
"MIR340",0.538174153224755,0.538174153224755,0.538174153224755,0.538174153224755,0.491700066563752,0.491700066563752,0.487479261251478,0.487479261251478,0.327984495010764,-0.316891413003996,-0.327984495010764,-0.568707367404082,-0.466402774205931,-0.491700066563752,-0.538174153224755,-0.538174153224755
"MIR1199",0.538174153224755,0.538174153224755,0.538174153224755,0.538174153224755,0.491700066563752,0.491700066563752,0.487479261251478,0.487479261251478,0.327984495010764,-0.316891413003996,-0.327984495010764,-0.568707367404082,-0.466402774205931,-0.491700066563752,-0.538174153224755,-0.538174153224755
"CD24",0.538174153224755,0.538174153224755,0.538174153224755,0.538174153224755,0.491700066563752,0.491700066563752,0.487479261251478,0.487479261251478,0.327984495010764,-0.316891413003996,-0.327984495010764,-0.568707367404082,-0.466402774205931,-0.491700066563752,-0.538174153224755,-0.538174153224755
"ESRP1",0.491700066563752,0.491700066563752,0.491700066563752,0.491700066563752,0.353277674706246,0.453277674706246,0.450387585803638,0.450387585803638,0.304148878572408,-0.298726796163883,-0.304148878572408,-0.538174153224755,-0.431330310437816,-0.453277674706246,-0.491700066563752,-0.491700066563752
"MIR129",0.504773270101953,0.504773270101953,0.504773270101953,0.504773270101953,0.474221854304636,0.474221854304636,0.353926104256455,0.353926104256455,0.428369577375333,-0.203953476175614,-0.395026302811113,-0.533663272607591,-0.379737317987119,-0.474221854304636,-0.504773270101953,-0.504773270101953
"MIR200",0.487569891675675,0.487569891675675,0.487569891675675,0.487569891675675,0.449949638511118,0.449949638511118,0.521264203523101,0.521264203523101,0.321252102683645,-0.295160884740161,-0.321252102683645,-0.512785143828196,-0.615834801860206,-0.449949638511118,-0.487569891675675,-0.487569891675675
"MIR34",0.324526849319933,0.324526849319933,0.324526849319933,0.324526849319933,0.306960439722675,0.306960439722675,0.302806321264962,0.302806321264962,0.25167699706201,-0.168818138856331,-0.25167699706201,-0.341490215510899,-0.328658691832899,-0.306960439722675,-0.324526849319933,-0.324526849319933
"MIR190",0.306960439722675,0.306960439722675,0.306960439722675,0.306960439722675,0.282399036213903,0.282399036213903,0.287121587041343,0.287121587041343,0.239666438329058,-0.162086476832189,-0.239666438329058,-0.324526849319933,-0.408506961154852,-0.282399036213903,-0.306960439722675,-0.306960439722675
"TGFB",-0.324526849319933,-0.324526849319933,-0.324526849319933,-0.324526849319933,-0.306960439722675,-0.306960439722675,-0.302806321264962,-0.302806321264962,-0.25167699706201,0.168818138856331,0.25167699706201,0.341490215510899,0.328658691832899,0.306960439722675,0.324526849319933,0.324526849319933
"SNAIL1",-0.341490215510899,-0.341490215510899,-0.341490215510899,-0.341490215510899,-0.324526849319933,-0.324526849319933,-0.315800468045691,-0.315800468045691,-0.260231927923581,0.0768683427095562,0.260231927923581,0.354563563662041,0.345057196627308,0.324526849319933,0.341490215510899,0.341490215510899
"ZEB1",-0.568707367404082,-0.568707367404082,-0.568707367404082,-0.568707367404082,-0.538174153224755,-0.538174153224755,-0.513233236758697,-0.513233236758697,-0.348084214549561,0.33226099945792,0.348084214549561,0.500702885383098,0.5070857010352,0.538174153224755,0.568707367404082,0.568707367404082
"HAS2",-0.491700066563752,-0.491700066563752,-0.491700066563752,-0.491700066563752,-0.453277674706246,-0.453277674706246,-0.450387585803638,-0.450387585803638,-0.304148878572408,0.298726796163883,0.304148878572408,0.538174153224755,0.431330310437816,0.553277674706246,0.491700066563752,0.491700066563752
"TWIST1",-0.533663272607591,-0.533663272607591,-0.533663272607591,-0.533663272607591,-0.504773270101953,-0.504773270101953,-0.37834864814312,-0.37834864814312,-0.445398089015407,0.214588854246151,0.312076512016134,0.556175450756512,0.405688290091937,0.504773270101953,0.533663272607591,0.533663272607591
"HA",-0.538174153224755,-0.538174153224755,-0.538174153224755,-0.538174153224755,-0.491700066563752,-0.491700066563752,-0.487479261251478,-0.487479261251478,-0.327984495010764,0.316891413003996,0.327984495010764,0.568707367404082,0.466402774205931,0.491700066563752,0.538174153224755,0.538174153224755
"CD44s",-0.538174153224755,-0.538174153224755,-0.538174153224755,-0.538174153224755,-0.491700066563752,-0.491700066563752,-0.487479261251478,-0.487479261251478,-0.327984495010764,0.316891413003996,0.327984495010764,0.568707367404082,0.466402774205931,0.491700066563752,0.538174153224755,0.538174153224755
