"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","TWIST1","MIR129","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.766744739814603,0.766744739814603,0.766744739814603,0.766744739814603,0.766744739814603,0.810693784400591,0.679393195426957,0.679393195426957,-0.207414132362361,-0.207414132362361,-0.342697379849749,-0.664892731128392,-0.814825904349231,-0.710693784400591,-0.710693784400591,-0.766744739814603
"MIR340",0.655134810901278,0.655134810901278,0.655134810901278,0.655134810901278,0.655134810901278,0.600334471054209,0.558877780851809,0.558877780851809,-0.190487728763313,-0.190487728763313,-0.322737228317865,-0.547704454368181,-0.700860160916172,-0.600334471054209,-0.600334471054209,-0.655134810901278
"MIR1199",0.655134810901278,0.655134810901278,0.655134810901278,0.655134810901278,0.655134810901278,0.600334471054209,0.558877780851809,0.558877780851809,-0.190487728763313,-0.190487728763313,-0.322737228317865,-0.547704454368181,-0.700860160916172,-0.600334471054209,-0.600334471054209,-0.655134810901278
"CD24",0.655134810901278,0.655134810901278,0.655134810901278,0.655134810901278,0.655134810901278,0.600334471054209,0.558877780851809,0.558877780851809,-0.190487728763313,-0.190487728763313,-0.322737228317865,-0.547704454368181,-0.700860160916172,-0.600334471054209,-0.600334471054209,-0.655134810901278
"ESRP1",0.600334471054209,0.600334471054209,0.600334471054209,0.600334471054209,0.600334471054209,0.540538033395176,0.515569034803336,0.515569034803336,-0.177611016434546,-0.177611016434546,-0.303910359822122,-0.496400106542094,-0.655134810901278,-0.540538033395176,-0.640538033395176,-0.600334471054209
"MIR200",0.544243450536782,0.544243450536782,0.544243450536782,0.544243450536782,0.544243450536782,0.505306741676022,0.548117498277325,0.548117498277325,-0.15506197580421,-0.15506197580421,-0.285151635934441,-0.654276738166929,-0.579439373924587,-0.505306741676022,-0.505306741676022,-0.544243450536782
"MIR129",0.513584124548054,0.513584124548054,0.513584124548054,0.513584124548054,0.513584124548054,0.482138520971302,0.347193905692946,0.347193905692946,-0.198882044005295,0.00451177358294608,-0.185244731566426,-0.381529706334798,-0.546934162132619,-0.482138520971302,-0.482138520971302,-0.513584124548054
"MIR34",0.293619123207928,0.293619123207928,0.293619123207928,0.293619123207928,0.293619123207928,0.27356770932618,0.272621520078571,0.272621520078571,-0.0947660333418682,-0.0947660333418682,-0.127208158706928,-0.293659347249798,-0.30560970728914,-0.27356770932618,-0.27356770932618,-0.293619123207928
"MIR190",0.27356770932618,0.27356770932618,0.27356770932618,0.27356770932618,0.27356770932618,0.258028862208385,0.251176115522404,0.251176115522404,-0.0712288578029328,-0.0712288578029328,-0.133336292411663,-0.385361575794132,-0.293619123207928,-0.258028862208385,-0.258028862208385,-0.27356770932618
"TGFB",-0.293619123207928,-0.293619123207928,-0.293619123207928,-0.293619123207928,-0.293619123207928,-0.27356770932618,-0.272621520078571,-0.272621520078571,0.0947660333418682,0.0947660333418682,0.127208158706928,0.293659347249798,0.30560970728914,0.27356770932618,0.27356770932618,0.293619123207928
"SNAIL1",-0.30560970728914,-0.30560970728914,-0.30560970728914,-0.30560970728914,-0.30560970728914,-0.293619123207928,-0.277583249029494,-0.277583249029494,0.0826250213376135,0.0826250213376135,0.0415418384575072,0.314575973285878,0.320087379546162,0.293619123207928,0.293619123207928,0.30560970728914
"TWIST1",-0.546934162132619,-0.546934162132619,-0.546934162132619,-0.546934162132619,-0.546934162132619,-0.513584124548054,-0.377714386136432,-0.377714386136432,0.121057776222868,0.0176436017767191,0.18674054603054,0.404606629411721,0.57104689699692,0.513584124548054,0.513584124548054,0.546934162132619
"ZEB1",-0.700860160916172,-0.700860160916172,-0.700860160916172,-0.700860160916172,-0.700860160916172,-0.655134810901278,-0.594209530074985,-0.594209530074985,0.198496454222958,0.198496454222958,0.340581578692336,0.595411771441352,0.641615992636657,0.655134810901278,0.655134810901278,0.700860160916172
"HAS2",-0.600334471054209,-0.600334471054209,-0.600334471054209,-0.600334471054209,-0.600334471054209,-0.540538033395176,-0.515569034803336,-0.515569034803336,0.177611016434546,0.177611016434546,0.303910359822122,0.496400106542094,0.655134810901278,0.640538033395176,0.540538033395176,0.600334471054209
"HA",-0.655134810901278,-0.655134810901278,-0.655134810901278,-0.655134810901278,-0.655134810901278,-0.600334471054209,-0.558877780851809,-0.558877780851809,0.190487728763313,0.190487728763313,0.322737228317865,0.547704454368181,0.700860160916172,0.600334471054209,0.600334471054209,0.655134810901278
"CD44s",-0.655134810901278,-0.655134810901278,-0.655134810901278,-0.655134810901278,-0.655134810901278,-0.600334471054209,-0.558877780851809,-0.558877780851809,0.190487728763313,0.190487728763313,0.322737228317865,0.547704454368181,0.700860160916172,0.600334471054209,0.600334471054209,0.655134810901278
