"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.783625916339626,0.783625916339626,0.783625916339626,0.783625916339626,0.783625916339626,0.822097253919243,0.695837853248128,0.695837853248128,0.362143785385733,-0.363405179454292,-0.362143785385733,-0.67653896099812,-0.838147310252285,-0.722097253919243,-0.722097253919243,-0.783625916339626
"MIR340",0.673775853677809,0.673775853677809,0.673775853677809,0.673775853677809,0.673775853677809,0.613707884264046,0.576642634379271,0.576642634379271,0.346942907964987,-0.344764708178131,-0.346942907964987,-0.561331487005709,-0.726352559069528,-0.613707884264046,-0.613707884264046,-0.673775853677809
"MIR1199",0.673775853677809,0.673775853677809,0.673775853677809,0.673775853677809,0.673775853677809,0.613707884264046,0.576642634379271,0.576642634379271,0.346942907964987,-0.344764708178131,-0.346942907964987,-0.561331487005709,-0.726352559069528,-0.613707884264046,-0.613707884264046,-0.673775853677809
"CD24",0.673775853677809,0.673775853677809,0.673775853677809,0.673775853677809,0.673775853677809,0.613707884264046,0.576642634379271,0.576642634379271,0.346942907964987,-0.344764708178131,-0.346942907964987,-0.561331487005709,-0.726352559069528,-0.613707884264046,-0.613707884264046,-0.673775853677809
"ESRP1",0.613707884264046,0.613707884264046,0.613707884264046,0.613707884264046,0.613707884264046,0.547804576376005,0.52932967336768,0.52932967336768,0.317993136275489,-0.319977574781726,-0.317993136275489,-0.503650327585419,-0.673775853677809,-0.547804576376005,-0.647804576376005,-0.613707884264046
"MIR200",0.575041064862223,0.575041064862223,0.575041064862223,0.575041064862223,0.575041064862223,0.52759802688754,0.577458881642396,0.577458881642396,0.332641922163691,-0.312781842332719,-0.332641922163691,-0.675246417178047,-0.616105904082044,-0.52759802688754,-0.52759802688754,-0.575041064862223
"MIR129",0.553839838236891,0.553839838236891,0.553839838236891,0.553839838236891,0.553839838236891,0.511216887417219,0.385396597160794,0.385396597160794,0.433217127142255,-0.212493619136139,-0.399880642342335,-0.407923524073087,-0.591649910900384,-0.511216887417219,-0.511216887417219,-0.553839838236891
"MIR34",0.351679908257707,0.351679908257707,0.351679908257707,0.351679908257707,0.351679908257707,0.327172624624459,0.320525591891966,0.320525591891966,0.254485532728086,-0.173776805989133,-0.254485532728086,-0.344261658083387,-0.373880879274332,-0.327172624624459,-0.327172624624459,-0.351679908257707
"MIR190",0.327172624624459,0.327172624624459,0.327172624624459,0.327172624624459,0.327172624624459,0.298350569486614,0.29997047275083,0.29997047275083,0.241155132376128,-0.165605961049486,-0.241155132376128,-0.420695987149295,-0.351679908257707,-0.298350569486614,-0.298350569486614,-0.327172624624459
"TGFB",-0.351679908257707,-0.351679908257707,-0.351679908257707,-0.351679908257707,-0.351679908257707,-0.327172624624459,-0.320525591891966,-0.320525591891966,-0.254485532728086,0.173776805989133,0.254485532728086,0.344261658083387,0.373880879274332,0.327172624624459,0.327172624624459,0.351679908257707
"SNAIL1",-0.373880879274332,-0.373880879274332,-0.373880879274332,-0.373880879274332,-0.373880879274332,-0.351679908257707,-0.337283808911327,-0.337283808911327,-0.26443842742494,0.0836337090189513,0.26443842742494,0.366315940547226,0.393309046580858,0.351679908257707,0.351679908257707,0.373880879274332
"TWIST1",-0.591649910900384,-0.591649910900384,-0.591649910900384,-0.591649910900384,-0.591649910900384,-0.553839838236891,-0.416255851857437,-0.416255851857437,-0.452652125834382,0.226230410682729,0.319336709287941,0.443680075214253,0.625105025722931,0.553839838236891,0.553839838236891,0.591649910900384
"ZEB1",-0.726352559069528,-0.726352559069528,-0.726352559069528,-0.726352559069528,-0.726352559069528,-0.673775853677809,-0.618481420707182,-0.618481420707182,-0.373150449255108,0.365735076136451,0.373150449255108,0.613526608956928,0.673586948394169,0.673775853677809,0.673775853677809,0.726352559069528
"HAS2",-0.613707884264046,-0.613707884264046,-0.613707884264046,-0.613707884264046,-0.613707884264046,-0.547804576376005,-0.52932967336768,-0.52932967336768,-0.317993136275489,0.319977574781726,0.317993136275489,0.503650327585419,0.673775853677809,0.647804576376005,0.547804576376005,0.613707884264046
"HA",-0.673775853677809,-0.673775853677809,-0.673775853677809,-0.673775853677809,-0.673775853677809,-0.613707884264046,-0.576642634379271,-0.576642634379271,-0.346942907964987,0.344764708178131,0.346942907964987,0.561331487005709,0.726352559069528,0.613707884264046,0.613707884264046,0.673775853677809
"CD44s",-0.673775853677809,-0.673775853677809,-0.673775853677809,-0.673775853677809,-0.673775853677809,-0.613707884264046,-0.576642634379271,-0.576642634379271,-0.346942907964987,0.344764708178131,0.346942907964987,0.561331487005709,0.726352559069528,0.613707884264046,0.613707884264046,0.673775853677809
