"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","TGFB","SNAIL1","TWIST1","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.734474151334524,0.734474151334524,0.734474151334524,0.734474151334524,0.734474151334524,0.785684342417327,0.621167096434753,0.621167096434753,0.238766353500524,-0.0322168615901211,-0.227150763178112,-0.238766353500524,-0.77651208693223,-0.685684342417327,-0.685684342417327,-0.734474151334524
"MIR340",0.622668129948575,0.622668129948575,0.622668129948575,0.622668129948575,0.622668129948575,0.576363966821982,0.491626289989357,0.491626289989357,0.223077647788687,-0.0228044705194366,-0.205707443209154,-0.223077647788687,-0.663210280678393,-0.576363966821982,-0.576363966821982,-0.622668129948575
"MIR1199",0.622668129948575,0.622668129948575,0.622668129948575,0.622668129948575,0.622668129948575,0.576363966821982,0.491626289989357,0.491626289989357,0.223077647788687,-0.0228044705194366,-0.205707443209154,-0.223077647788687,-0.663210280678393,-0.576363966821982,-0.576363966821982,-0.622668129948575
"CD24",0.622668129948575,0.622668129948575,0.622668129948575,0.622668129948575,0.622668129948575,0.576363966821982,0.491626289989357,0.491626289989357,0.223077647788687,-0.0228044705194366,-0.205707443209154,-0.223077647788687,-0.663210280678393,-0.576363966821982,-0.576363966821982,-0.622668129948575
"ESRP1",0.576363966821982,0.576363966821982,0.576363966821982,0.576363966821982,0.576363966821982,0.52012987012987,0.455061484931401,0.455061484931401,0.205269428610605,-0.0219349053020453,-0.198138852859107,-0.205269428610605,-0.622668129948575,-0.52012987012987,-0.62012987012987,-0.576363966821982
"MIR200",0.54089247072375,0.54089247072375,0.54089247072375,0.54089247072375,0.54089247072375,0.502968420090839,0.523848874384842,0.523848874384842,0.261062694501041,-0.226103393266895,-0.22524585922469,-0.261062694501041,-0.573663512719884,-0.502968420090839,-0.502968420090839,-0.54089247072375
"MIR129",0.537373767530917,0.537373767530917,0.537373767530917,0.537373767530917,0.537373767530917,0.499817880794702,0.355619713352781,0.355619713352781,0.391976973126617,-0.0316626371359864,-0.158850375333052,-0.35811457585275,-0.568769407721345,-0.499817880794702,-0.499817880794702,-0.537373767530917
"MIR34",0.341869195086561,0.341869195086561,0.341869195086561,0.341869195086561,0.341869195086561,0.320275364752371,0.303773477547965,0.303773477547965,0.230725505958166,-0.107157508524185,-0.143230305561647,-0.230725505958166,-0.360303798588106,-0.320275364752371,-0.320275364752371,-0.341869195086561
"MIR190",-0.320275364752371,-0.320275364752371,-0.320275364752371,-0.320275364752371,-0.320275364752371,-0.294711454977935,-0.287565046021387,-0.287565046021387,-0.2230264298473,0.205972112601947,0.138587780027756,0.2230264298473,0.341869195086561,0.294711454977935,0.294711454977935,0.320275364752371
"TGFB",-0.341869195086561,-0.341869195086561,-0.341869195086561,-0.341869195086561,-0.341869195086561,-0.320275364752371,-0.303773477547965,-0.303773477547965,-0.230725505958166,0.107157508524185,0.143230305561647,0.230725505958166,0.360303798588106,0.320275364752371,0.320275364752371,0.341869195086561
"SNAIL1",-0.360303798588106,-0.360303798588106,-0.360303798588106,-0.360303798588106,-0.360303798588106,-0.341869195086561,-0.316857673855934,-0.316857673855934,-0.236423728112854,0.109026515512646,0.0481787426869166,0.236423728112854,0.376054455286429,0.341869195086561,0.341869195086561,0.360303798588106
"TWIST1",-0.568769407721345,-0.568769407721345,-0.568769407721345,-0.568769407721345,-0.568769407721345,-0.537373767530917,-0.380196245536335,-0.380196245536335,-0.404087880790755,0.032423414819841,0.164161202834081,0.27024846706614,0.595891885104783,0.537373767530917,0.537373767530917,0.568769407721345
"ZEB1",-0.663210280678393,-0.663210280678393,-0.663210280678393,-0.663210280678393,-0.663210280678393,-0.622668129948575,-0.519427423237392,-0.519427423237392,-0.234140284123994,0.0276499989747211,0.217723073297073,0.234140284123994,0.597304199390831,0.622668129948575,0.622668129948575,0.663210280678393
"HAS2",-0.576363966821982,-0.576363966821982,-0.576363966821982,-0.576363966821982,-0.576363966821982,-0.52012987012987,-0.455061484931401,-0.455061484931401,-0.205269428610605,0.0219349053020453,0.198138852859107,0.205269428610605,0.622668129948575,0.62012987012987,0.52012987012987,0.576363966821982
"HA",-0.622668129948575,-0.622668129948575,-0.622668129948575,-0.622668129948575,-0.622668129948575,-0.576363966821982,-0.491626289989357,-0.491626289989357,-0.223077647788687,0.0228044705194366,0.205707443209154,0.223077647788687,0.663210280678393,0.576363966821982,0.576363966821982,0.622668129948575
"CD44s",-0.622668129948575,-0.622668129948575,-0.622668129948575,-0.622668129948575,-0.622668129948575,-0.576363966821982,-0.491626289989357,-0.491626289989357,-0.223077647788687,0.0228044705194366,0.205707443209154,0.223077647788687,0.663210280678393,0.576363966821982,0.576363966821982,0.622668129948575
