"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","ZEB1","TGFB","HA","CD44s","HAS2"
"GRHL2",0.623086378931345,0.623086378931345,0.623086378931345,0.623086378931345,0.623086378931345,0.691621410778479,0.583571150436029,0.583571150436029,0.339006847082673,-0.327399416053256,-0.339006847082673,-0.647744517440388,-0.57044784882725,-0.591621410778479,-0.591621410778479,-0.623086378931345
"MIR340",0.487060949799054,0.487060949799054,0.487060949799054,0.487060949799054,0.487060949799054,0.455540134166088,0.452010880397047,0.452010880397047,0.321857842506674,-0.306525632109847,-0.321857842506674,-0.509312960522914,-0.437142140571014,-0.455540134166088,-0.455540134166088,-0.487060949799054
"MIR1199",0.487060949799054,0.487060949799054,0.487060949799054,0.487060949799054,0.487060949799054,0.455540134166088,0.452010880397047,0.452010880397047,0.321857842506674,-0.306525632109847,-0.321857842506674,-0.509312960522914,-0.437142140571014,-0.455540134166088,-0.455540134166088,-0.487060949799054
"CD24",0.487060949799054,0.487060949799054,0.487060949799054,0.487060949799054,0.487060949799054,0.455540134166088,0.452010880397047,0.452010880397047,0.321857842506674,-0.306525632109847,-0.321857842506674,-0.509312960522914,-0.437142140571014,-0.455540134166088,-0.455540134166088,-0.487060949799054
"ESRP1",0.455540134166088,0.455540134166088,0.455540134166088,0.455540134166088,0.455540134166088,0.424242424242424,0.425561986824866,0.425561986824866,0.300944600497542,-0.291104629271626,-0.300944600497542,-0.487060949799054,-0.407866778252174,-0.424242424242424,-0.524242424242424,-0.455540134166088
"MIR200",0.368735790752742,0.368735790752742,0.368735790752742,0.368735790752742,0.368735790752742,0.357343385689451,0.427375583872102,0.427375583872102,0.291327911345554,-0.257224268547182,-0.291327911345554,-0.387590122153199,-0.533314497944224,-0.357343385689451,-0.357343385689451,-0.368735790752742
"MIR129",0.14797675621704,0.14797675621704,0.14797675621704,0.14797675621704,0.14797675621704,0.151702538631347,0.146226487830332,0.146226487830332,0.38802318516186,-0.152325006057273,-0.354153378267302,-0.1706026645107,-0.149720218789431,-0.151702538631347,-0.151702538631347,-0.14797675621704
"TGFB",0.0332067955833887,0.0332067955833887,0.0332067955833887,0.0332067955833887,0.0332067955833887,0.0471742334582816,-0.0769863385878106,-0.0769863385878106,-0.184472443290025,0.0870745450504758,0.184472443290025,-0.0402540223010583,0.0612399986626045,-0.0471742334582816,-0.0471742334582816,-0.0332067955833887
"SNAIL1",0.0402540223010583,0.0402540223010583,0.0402540223010583,0.0402540223010583,0.0402540223010583,0.0332067955833887,-0.0718265006769596,-0.0718265006769596,-0.184274904921995,-0.0108229687395953,0.184274904921995,-0.0345154892640811,0.0733804179702593,-0.0332067955833887,-0.0332067955833887,-0.0402540223010583
"MIR190",-0.0471742334582816,-0.0471742334582816,-0.0471742334582816,-0.0471742334582816,-0.0471742334582816,-0.0288784941099107,0.0659625103605259,0.0659625103605259,0.180908870918709,-0.0892565320514043,-0.180908870918709,0.0332067955833887,-0.177029472346815,0.0288784941099107,0.0288784941099107,0.0471742334582816
"MIR34",-0.0332067955833887,-0.0332067955833887,-0.0332067955833887,-0.0332067955833887,-0.0332067955833887,-0.0471742334582816,0.0769863385878106,0.0769863385878106,0.184472443290025,-0.0870745450504758,-0.184472443290025,0.0402540223010583,-0.0612399986626045,0.0471742334582816,0.0471742334582816,0.0332067955833887
"TWIST1",-0.1706026645107,-0.1706026645107,-0.1706026645107,-0.1706026645107,-0.1706026645107,-0.14797675621704,-0.164797476435198,-0.164797476435198,-0.398460014876743,0.155604819423542,0.264613629313327,0.172498976271313,0.147099762322821,0.14797675621704,0.14797675621704,0.1706026645107
"ZEB1",-0.509312960522914,-0.509312960522914,-0.509312960522914,-0.509312960522914,-0.509312960522914,-0.487060949799054,-0.471623382681821,-0.471623382681821,-0.339152950016802,0.31805282195029,0.339152950016802,0.428534718697509,0.465532384473453,0.487060949799054,0.487060949799054,0.509312960522914
"HAS2",-0.455540134166088,-0.455540134166088,-0.455540134166088,-0.455540134166088,-0.455540134166088,-0.424242424242424,-0.425561986824866,-0.425561986824866,-0.300944600497542,0.291104629271626,0.300944600497542,0.487060949799054,0.407866778252174,0.524242424242424,0.424242424242424,0.455540134166088
"HA",-0.487060949799054,-0.487060949799054,-0.487060949799054,-0.487060949799054,-0.487060949799054,-0.455540134166088,-0.452010880397047,-0.452010880397047,-0.321857842506674,0.306525632109847,0.321857842506674,0.509312960522914,0.437142140571014,0.455540134166088,0.455540134166088,0.487060949799054
"CD44s",-0.487060949799054,-0.487060949799054,-0.487060949799054,-0.487060949799054,-0.487060949799054,-0.455540134166088,-0.452010880397047,-0.452010880397047,-0.321857842506674,0.306525632109847,0.321857842506674,0.509312960522914,0.437142140571014,0.455540134166088,0.455540134166088,0.487060949799054
