"","MIR340","MIR190","MIR1199","ESRP1","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"MIR340",0.626128902080242,0.626128902080242,0.626128902080242,0.626128902080242,0.524346732086209,0.524346732086209,0.327498583959751,-0.316983532567914,-0.327498583959751,-0.520345800450564,-0.665743897014385,-0.578671274961598,-0.578671274961598,-0.626128902080242
"MIR1199",0.626128902080242,0.626128902080242,0.626128902080242,0.626128902080242,0.524346732086209,0.524346732086209,0.327498583959751,-0.316983532567914,-0.327498583959751,-0.520345800450564,-0.665743897014385,-0.578671274961598,-0.578671274961598,-0.626128902080242
"ESRP1",0.578671274961598,0.578671274961598,0.578671274961598,0.578671274961598,0.488410477106129,0.488410477106129,0.303441980186166,-0.297319884443723,-0.303441980186166,-0.47381400854305,-0.626128902080242,-0.524639016897081,-0.624639016897081,-0.578671274961598
"MIR200",0.523939050203708,0.523939050203708,0.523939050203708,0.523939050203708,0.526229878797619,0.526229878797619,0.317050605509254,-0.289643869988507,-0.317050605509254,-0.632992341026938,-0.554169090799107,-0.487520233815241,-0.487520233815241,-0.523939050203708
"MIR129",0.517237269366891,0.517237269366891,0.517237269366891,0.517237269366891,0.353638224470025,0.353638224470025,0.425242936798455,-0.199889394412459,-0.391920589476672,-0.381268420878706,-0.546480182893981,-0.482948630677024,-0.482948630677024,-0.517237269366891
"MIR34",0.325772014098332,0.325772014098332,0.325772014098332,0.325772014098332,0.298012562055378,0.298012562055378,0.249356539477931,-0.165239382441942,-0.249356539477931,-0.324086084267926,-0.342614336892298,-0.306306587021052,-0.306306587021052,-0.325772014098332
"MIR190",0.306306587021052,0.306306587021052,0.306306587021052,0.306306587021052,0.281492522954694,0.281492522954694,0.237662028738074,-0.159381862653024,-0.237662028738074,-0.405733143091456,-0.325772014098332,-0.282700029644002,-0.282700029644002,-0.306306587021052
"TGFB",-0.325772014098332,-0.325772014098332,-0.325772014098332,-0.325772014098332,-0.298012562055378,-0.298012562055378,-0.249356539477931,0.165239382441942,0.249356539477931,0.324086084267926,0.342614336892298,0.306306587021052,0.306306587021052,0.325772014098332
"SNAIL1",-0.342614336892298,-0.342614336892298,-0.342614336892298,-0.342614336892298,-0.3100301770745,-0.3100301770745,-0.257291968534856,0.0731425174147224,0.257291968534856,0.341664372368135,0.356803526081487,0.325772014098332,0.325772014098332,0.342614336892298
"TWIST1",-0.546480182893981,-0.546480182893981,-0.546480182893981,-0.546480182893981,-0.377447748279549,-0.377447748279549,-0.441716667875926,0.209873027800347,0.308419105797147,0.408907717066389,0.571281209851619,0.517237269366891,0.517237269366891,0.546480182893981
"ZEB1",-0.665743897014385,-0.665743897014385,-0.665743897014385,-0.665743897014385,-0.555199004813482,-0.555199004813482,-0.348718299916309,0.332486872812097,0.348718299916309,0.560437496833651,0.599892431450638,0.626128902080242,0.626128902080242,0.665743897014385
"HAS2",-0.578671274961598,-0.578671274961598,-0.578671274961598,-0.578671274961598,-0.488410477106129,-0.488410477106129,-0.303441980186166,0.297319884443723,0.303441980186166,0.47381400854305,0.626128902080242,0.624639016897081,0.524639016897081,0.578671274961598
"HA",-0.626128902080242,-0.626128902080242,-0.626128902080242,-0.626128902080242,-0.524346732086209,-0.524346732086209,-0.327498583959751,0.316983532567914,0.327498583959751,0.520345800450564,0.665743897014385,0.578671274961598,0.578671274961598,0.626128902080242
"CD44s",-0.626128902080242,-0.626128902080242,-0.626128902080242,-0.626128902080242,-0.524346732086209,-0.524346732086209,-0.327498583959751,0.316983532567914,0.327498583959751,0.520345800450564,0.665743897014385,0.578671274961598,0.578671274961598,0.626128902080242
