"","MIR340","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.802530574784429,0.802530574784429,0.802530574784429,0.802530574784429,0.835567874962049,0.722657459769097,0.722657459769097,0.330380260481868,-0.310053093828681,-0.330380260481868,-0.735567874962049,-0.735567874962049,-0.864407215204377,-0.802530574784429
"MIR340",0.694273399953411,0.694273399953411,0.694273399953411,0.694273399953411,0.630133809099019,0.59557656397786,0.59557656397786,0.297923446944825,-0.195901239073612,-0.297923446944825,-0.630133809099019,-0.630133809099019,-0.755301816732843,-0.694273399953411
"MIR200",0.694273399953411,0.694273399953411,0.694273399953411,0.694273399953411,0.630133809099019,0.59557656397786,0.59557656397786,0.297923446944825,-0.195901239073612,-0.297923446944825,-0.630133809099019,-0.630133809099019,-0.755301816732843,-0.694273399953411
"MIR1199",0.694273399953411,0.694273399953411,0.694273399953411,0.694273399953411,0.630133809099019,0.59557656397786,0.59557656397786,0.297923446944825,-0.195901239073612,-0.297923446944825,-0.630133809099019,-0.630133809099019,-0.755301816732843,-0.694273399953411
"CD24",0.694273399953411,0.694273399953411,0.694273399953411,0.694273399953411,0.630133809099019,0.59557656397786,0.59557656397786,0.297923446944825,-0.195901239073612,-0.297923446944825,-0.630133809099019,-0.630133809099019,-0.755301816732843,-0.694273399953411
"ESRP1",0.630133809099019,0.630133809099019,0.630133809099019,0.630133809099019,0.555218554861731,0.537117602503823,0.537117602503823,0.261966380755201,-0.186698785085882,-0.261966380755201,-0.555218554861731,-0.655218554861731,-0.694273399953411,-0.630133809099019
"MIR129",0.553926310611099,0.553926310611099,0.553926310611099,0.553926310611099,0.509253078740015,0.377928246083296,0.377928246083296,0.404644427113097,-0.164360006907179,-0.369406680722182,-0.509253078740015,-0.509253078740015,-0.591469947551753,-0.553926310611099
"MIR34",0.348317306206762,0.348317306206762,0.348317306206762,0.348317306206762,0.324317306206762,0.316097855075071,0.316097855075071,0.236196059405823,-0.145247765737588,-0.236196059405823,-0.324317306206762,-0.324317306206762,-0.371001255882706,-0.348317306206762
"SNAIL1",-0.371001255882706,-0.371001255882706,-0.371001255882706,-0.371001255882706,-0.348317306206762,-0.332444507903302,-0.332444507903302,-0.242801282140078,0.0561072920298563,0.242801282140078,0.348317306206762,0.348317306206762,0.390597438983245,0.371001255882706
"TWIST1",-0.591469947551753,-0.591469947551753,-0.591469947551753,-0.591469947551753,-0.553926310611099,-0.412457975813026,-0.412457975813026,-0.425694793019253,0.167761367451396,0.29049101807158,0.553926310611099,0.553926310611099,0.626924493006298,0.591469947551753
"HAS2",-0.630133809099019,-0.630133809099019,-0.630133809099019,-0.630133809099019,-0.555218554861731,-0.537117602503823,-0.537117602503823,-0.261966380755201,0.186698785085882,0.261966380755201,0.655218554861731,0.555218554861731,0.694273399953411,0.630133809099019
"ZEB1",-0.755301816732843,-0.755301816732843,-0.755301816732843,-0.755301816732843,-0.694273399953411,-0.640740883226686,-0.640740883226686,-0.316856433281845,0.225524087846955,0.316856433281845,0.694273399953411,0.694273399953411,0.708518382455547,0.755301816732843
"HA",-0.694273399953411,-0.694273399953411,-0.694273399953411,-0.694273399953411,-0.630133809099019,-0.59557656397786,-0.59557656397786,-0.297923446944825,0.195901239073612,0.297923446944825,0.630133809099019,0.630133809099019,0.755301816732843,0.694273399953411
"CD44s",-0.694273399953411,-0.694273399953411,-0.694273399953411,-0.694273399953411,-0.630133809099019,-0.59557656397786,-0.59557656397786,-0.297923446944825,0.195901239073612,0.297923446944825,0.630133809099019,0.630133809099019,0.755301816732843,0.694273399953411
