"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.790369830107573,0.790369830107573,0.790369830107573,0.790369830107573,0.790369830107573,0.825258559468664,0.709647308689913,0.709647308689913,0.365754279862855,-0.371385737197232,-0.365754279862855,-0.683697874922706,-0.725258559468664,-0.725258559468664,-0.849610797094836,-0.790369830107573
"MIR340",0.681282732636168,0.681282732636168,0.681282732636168,0.681282732636168,0.681282732636168,0.617259521804446,0.591815587470334,0.591815587470334,0.351058011601505,-0.353803606919843,-0.351058011601505,-0.56946676245864,-0.617259521804446,-0.617259521804446,-0.738765846749214,-0.681282732636168
"MIR1199",0.681282732636168,0.681282732636168,0.681282732636168,0.681282732636168,0.681282732636168,0.617259521804446,0.591815587470334,0.591815587470334,0.351058011601505,-0.353803606919843,-0.351058011601505,-0.56946676245864,-0.617259521804446,-0.617259521804446,-0.738765846749214,-0.681282732636168
"CD24",0.681282732636168,0.681282732636168,0.681282732636168,0.681282732636168,0.681282732636168,0.617259521804446,0.591815587470334,0.591815587470334,0.351058011601505,-0.353803606919843,-0.351058011601505,-0.56946676245864,-0.617259521804446,-0.617259521804446,-0.738765846749214,-0.681282732636168
"MIR129",0.62475522691736,0.62475522691736,0.62475522691736,0.62475522691736,0.62475522691736,0.554804488001104,0.547012400330106,0.547012400330106,0.53789882486811,-0.333436082678799,-0.530188438385684,-0.514108998579937,-0.554804488001104,-0.554804488001104,-0.690921893584027,-0.62475522691736
"ESRP1",0.617259521804446,0.617259521804446,0.617259521804446,0.617259521804446,0.617259521804446,0.549014396456257,0.539035992964121,0.539035992964121,0.319099248714907,-0.324579531502874,-0.319099248714907,-0.507731501057082,-0.549014396456257,-0.649014396456257,-0.681282732636168,-0.617259521804446
"MIR200",0.589542972837768,0.589542972837768,0.589542972837768,0.589542972837768,0.589542972837768,0.536868334700574,0.600212314462431,0.600212314462431,0.341213807098565,-0.32769486185734,-0.341213807098565,-0.689478123943243,-0.536868334700574,-0.536868334700574,-0.636935575640432,-0.589542972837768
"MIR34",0.361060244940842,0.361060244940842,0.361060244940842,0.361060244940842,0.361060244940842,0.332099205979803,0.336188646707637,0.336188646707637,0.254332494486118,-0.189299899912646,-0.254332494486118,-0.353668709613027,-0.332099205979803,-0.332099205979803,-0.387368623255791,-0.361060244940842
"MIR190",0.332099205979803,0.332099205979803,0.332099205979803,0.332099205979803,0.332099205979803,0.300567674448271,0.311691708824873,0.311691708824873,0.239020261808616,-0.176975105325889,-0.239020261808616,-0.425749927887139,-0.300567674448271,-0.300567674448271,-0.361060244940842,-0.332099205979803
"TGFB",-0.361060244940842,-0.361060244940842,-0.361060244940842,-0.361060244940842,-0.361060244940842,-0.332099205979803,-0.336188646707637,-0.336188646707637,-0.254332494486118,0.189299899912646,0.254332494486118,0.353668709613027,0.332099205979803,0.332099205979803,0.387368623255791,0.361060244940842
"SNAIL1",-0.387368623255791,-0.387368623255791,-0.387368623255791,-0.387368623255791,-0.387368623255791,-0.361060244940842,-0.357926403421697,-0.357926403421697,-0.267735829878335,0.101333384391195,0.267735829878335,0.379962489017105,0.361060244940842,0.361060244940842,0.411562035060347,0.387368623255791
"HAS2",-0.617259521804446,-0.617259521804446,-0.617259521804446,-0.617259521804446,-0.617259521804446,-0.549014396456257,-0.539035992964121,-0.539035992964121,-0.319099248714907,0.324579531502874,0.319099248714907,0.507731501057082,0.649014396456257,0.549014396456257,0.681282732636168,0.617259521804446
"ZEB1",-0.738765846749214,-0.738765846749214,-0.738765846749214,-0.738765846749214,-0.738765846749214,-0.681282732636168,-0.640002610371098,-0.640002610371098,-0.381266828306841,0.378994045585459,0.381266828306841,0.626782408186303,0.681282732636168,0.681282732636168,0.691913500316555,0.738765846749214
"HA",-0.681282732636168,-0.681282732636168,-0.681282732636168,-0.681282732636168,-0.681282732636168,-0.617259521804446,-0.591815587470334,-0.591815587470334,-0.351058011601505,0.353803606919843,0.351058011601505,0.56946676245864,0.617259521804446,0.617259521804446,0.738765846749214,0.681282732636168
"CD44s",-0.681282732636168,-0.681282732636168,-0.681282732636168,-0.681282732636168,-0.681282732636168,-0.617259521804446,-0.591815587470334,-0.591815587470334,-0.351058011601505,0.353803606919843,0.351058011601505,0.56946676245864,0.617259521804446,0.617259521804446,0.738765846749214,0.681282732636168
"TWIST1",-0.690921893584027,-0.690921893584027,-0.690921893584027,-0.690921893584027,-0.690921893584027,-0.62475522691736,-0.60165040937988,-0.60165040937988,-0.570857205070584,0.363618817398396,0.463222146250852,0.577246253481898,0.62475522691736,0.62475522691736,0.749977500915496,0.690921893584027
