"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","TWIST1","SNAIL1","MIR129","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.617588033351964,0.617588033351964,0.617588033351964,0.617588033351964,0.617588033351964,0.688416058829671,0.472414540657575,0.472414540657575,0.102187387122846,0.0810538246599583,-0.102187387122846,-0.50964881822765,-0.640305280815573,-0.588416058829671,-0.588416058829671,-0.617588033351964
"MIR340",0.4809422554263,0.4809422554263,0.4809422554263,0.4809422554263,0.4809422554263,0.452310139878297,0.365886089033379,0.365886089033379,0.0849157260145173,0.0577623679138018,-0.0849157260145173,-0.393817125442489,-0.501585687061689,-0.452310139878297,-0.452310139878297,-0.4809422554263
"MIR1199",0.4809422554263,0.4809422554263,0.4809422554263,0.4809422554263,0.4809422554263,0.452310139878297,0.365886089033379,0.365886089033379,0.0849157260145173,0.0577623679138018,-0.0849157260145173,-0.393817125442489,-0.501585687061689,-0.452310139878297,-0.452310139878297,-0.4809422554263
"CD24",0.4809422554263,0.4809422554263,0.4809422554263,0.4809422554263,0.4809422554263,0.452310139878297,0.365886089033379,0.365886089033379,0.0849157260145173,0.0577623679138018,-0.0849157260145173,-0.393817125442489,-0.501585687061689,-0.452310139878297,-0.452310139878297,-0.4809422554263
"ESRP1",0.452310139878297,0.452310139878297,0.452310139878297,0.452310139878297,0.452310139878297,0.42152133580705,0.350396099570786,0.350396099570786,0.0819020273843803,0.0594653007425624,-0.0819020273843803,-0.36821326070819,-0.4809422554263,-0.42152133580705,-0.52152133580705,-0.452310139878297
"MIR129",0.457301945467047,0.457301945467047,0.457301945467047,0.457301945467047,0.457301945467047,0.436884657836645,0.26770068899195,0.26770068899195,-0.241992135113388,-0.0252536892655368,0.267375742630624,-0.318458841314848,-0.476019058972434,-0.436884657836645,-0.436884657836645,-0.457301945467047
"MIR200",0.433568383327373,0.433568383327373,0.433568383327373,0.433568383327373,0.433568383327373,0.411036737757753,0.405453454074404,0.405453454074404,-0.0882432809847592,-0.0365819313040489,0.0882432809847592,-0.54075127649607,-0.450243835796183,-0.411036737757753,-0.411036737757753,-0.433568383327373
"MIR190",0.255587274367816,0.255587274367816,0.255587274367816,0.255587274367816,0.255587274367816,0.24205343978135,0.204550154248501,0.204550154248501,-0.131944014748138,-0.0326670210880737,0.131944014748138,-0.346462740870503,-0.266555569140738,-0.24205343978135,-0.24205343978135,-0.255587274367816
"TGFB",-0.266555569140738,-0.266555569140738,-0.266555569140738,-0.266555569140738,-0.266555569140738,-0.255587274367816,-0.211070185670339,-0.211070185670339,0.131636051703704,0.0326205958327348,-0.131636051703704,0.25665714580175,0.27495633418414,0.255587274367816,0.255587274367816,0.266555569140738
"MIR34",-0.266555569140738,-0.266555569140738,-0.266555569140738,-0.266555569140738,-0.266555569140738,-0.255587274367816,-0.211070185670339,-0.211070185670339,0.131636051703704,0.0326205958327348,-0.131636051703704,0.25665714580175,0.27495633418414,0.255587274367816,0.255587274367816,0.266555569140738
"SNAIL1",-0.27495633418414,-0.27495633418414,-0.27495633418414,-0.27495633418414,-0.27495633418414,-0.266555569140738,-0.216194003770294,-0.216194003770294,0.131499294371991,-0.0676911796888896,-0.131499294371991,0.264864524316295,0.281684966231018,0.266555569140738,0.266555569140738,0.27495633418414
"ZEB1",-0.501585687061689,-0.501585687061689,-0.501585687061689,-0.501585687061689,-0.501585687061689,-0.4809422554263,-0.379210892542792,-0.379210892542792,-0.084822238946895,-0.0593579393888914,0.084822238946895,0.414337450645741,0.41860718038959,0.4809422554263,0.4809422554263,0.501585687061689
"HAS2",-0.452310139878297,-0.452310139878297,-0.452310139878297,-0.452310139878297,-0.452310139878297,-0.42152133580705,-0.350396099570786,-0.350396099570786,-0.0819020273843803,-0.0594653007425624,0.0819020273843803,0.36821326070819,0.4809422554263,0.52152133580705,0.42152133580705,0.452310139878297
"TWIST1",-0.476019058972434,-0.476019058972434,-0.476019058972434,-0.476019058972434,-0.476019058972434,-0.457301945467047,-0.27804870254292,-0.27804870254292,0.140580001222174,0.0262005809905265,-0.265937081892983,0.334886003895856,0.489397625430333,0.457301945467047,0.457301945467047,0.476019058972434
"HA",-0.4809422554263,-0.4809422554263,-0.4809422554263,-0.4809422554263,-0.4809422554263,-0.452310139878297,-0.365886089033379,-0.365886089033379,-0.0849157260145173,-0.0577623679138018,0.0849157260145173,0.393817125442489,0.501585687061689,0.452310139878297,0.452310139878297,0.4809422554263
"CD44s",-0.4809422554263,-0.4809422554263,-0.4809422554263,-0.4809422554263,-0.4809422554263,-0.452310139878297,-0.365886089033379,-0.365886089033379,-0.0849157260145173,-0.0577623679138018,0.0849157260145173,0.393817125442489,0.501585687061689,0.452310139878297,0.452310139878297,0.4809422554263
