"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.837250792778774,0.837250792778774,0.837250792778774,0.837250792778774,0.837250792778774,0.861960402071276,0.710078435091449,0.710078435091449,0.359578978020891,-0.360128067563941,-0.359578978020891,-0.695784256105972,-0.761960402071276,-0.761960402071276,-0.905207025682252,-0.837250792778774
"MIR340",0.728763397810095,0.728763397810095,0.728763397810095,0.728763397810095,0.728763397810095,0.653906254952953,0.588241564747919,0.588241564747919,0.344170459491477,-0.34132260807243,-0.344170459491477,-0.577555520461141,-0.653906254952953,-0.653906254952953,-0.794121117013968,-0.728763397810095
"MIR1199",0.728763397810095,0.728763397810095,0.728763397810095,0.728763397810095,0.728763397810095,0.653906254952953,0.588241564747919,0.588241564747919,0.344170459491477,-0.34132260807243,-0.344170459491477,-0.577555520461141,-0.653906254952953,-0.653906254952953,-0.794121117013968,-0.728763397810095
"CD24",0.728763397810095,0.728763397810095,0.728763397810095,0.728763397810095,0.728763397810095,0.653906254952953,0.588241564747919,0.588241564747919,0.344170459491477,-0.34132260807243,-0.344170459491477,-0.577555520461141,-0.653906254952953,-0.653906254952953,-0.794121117013968,-0.728763397810095
"ESRP1",0.653906254952953,0.653906254952953,0.653906254952953,0.653906254952953,0.653906254952953,0.577388036329471,0.536027824289904,0.536027824289904,0.315538880544109,-0.316528248495462,-0.315538880544109,-0.515265017667844,-0.577388036329471,-0.677388036329471,-0.728763397810095,-0.653906254952953
"MIR200",0.659802243746712,0.659802243746712,0.659802243746712,0.659802243746712,0.659802243746712,0.605096361393771,0.595499112759422,0.595499112759422,0.327657680732336,-0.307104506051376,-0.327657680732336,-0.710961823313715,-0.605096361393771,-0.605096361393771,-0.716621243386871,-0.659802243746712
"MIR129",0.482809179259373,0.482809179259373,0.482809179259373,0.482809179259373,0.482809179259373,0.443651612956721,0.274881482068559,0.274881482068559,0.426675536980269,-0.203021492269857,-0.392832688536013,-0.278857730582375,-0.443651612956721,-0.443651612956721,-0.54079326414001,-0.482809179259373
"MIR34",0.261984759867665,0.261984759867665,0.261984759867665,0.261984759867665,0.261984759867665,0.222419542476361,0.198058725589263,0.198058725589263,0.235727143413399,-0.146035687487582,-0.235727143413399,-0.186493887632487,-0.222419542476361,-0.222419542476361,-0.277418331864483,-0.261984759867665
"MIR190",0.222419542476361,0.222419542476361,0.222419542476361,0.222419542476361,0.222419542476361,0.211794542476361,0.170287046116156,0.170287046116156,0.223348840214512,-0.141684325145167,-0.223348840214512,-0.27982722096582,-0.211794542476361,-0.211794542476361,-0.261984759867665,-0.222419542476361
"TGFB",-0.261984759867665,-0.261984759867665,-0.261984759867665,-0.261984759867665,-0.261984759867665,-0.222419542476361,-0.198058725589263,-0.198058725589263,-0.235727143413399,0.146035687487582,0.235727143413399,0.186493887632487,0.222419542476361,0.222419542476361,0.277418331864483,0.261984759867665
"SNAIL1",-0.277418331864483,-0.277418331864483,-0.277418331864483,-0.277418331864483,-0.277418331864483,-0.261984759867665,-0.20801247584062,-0.20801247584062,-0.243040461350274,0.0556263657068833,0.243040461350274,0.218222552840364,0.261984759867665,0.261984759867665,0.304323775990557,0.277418331864483
"TWIST1",-0.54079326414001,-0.54079326414001,-0.54079326414001,-0.54079326414001,-0.54079326414001,-0.482809179259373,-0.315597735512085,-0.315597735512085,-0.446806113694089,0.215386188356451,0.31299222443159,0.308312276036921,0.482809179259373,0.482809179259373,0.577769730035502,0.54079326414001
"HAS2",-0.653906254952953,-0.653906254952953,-0.653906254952953,-0.653906254952953,-0.653906254952953,-0.577388036329471,-0.536027824289904,-0.536027824289904,-0.315538880544109,0.316528248495462,0.315538880544109,0.515265017667844,0.677388036329471,0.577388036329471,0.728763397810095,0.653906254952953
"ZEB1",-0.794121117013968,-0.794121117013968,-0.794121117013968,-0.794121117013968,-0.794121117013968,-0.728763397810095,-0.634211797828514,-0.634211797828514,-0.370339388601583,0.362271731629506,0.370339388601583,0.637655022948703,0.728763397810095,0.728763397810095,0.754795494586993,0.794121117013968
"HA",-0.728763397810095,-0.728763397810095,-0.728763397810095,-0.728763397810095,-0.728763397810095,-0.653906254952953,-0.588241564747919,-0.588241564747919,-0.344170459491477,0.34132260807243,0.344170459491477,0.577555520461141,0.653906254952953,0.653906254952953,0.794121117013968,0.728763397810095
"CD44s",-0.728763397810095,-0.728763397810095,-0.728763397810095,-0.728763397810095,-0.728763397810095,-0.653906254952953,-0.588241564747919,-0.588241564747919,-0.344170459491477,0.34132260807243,0.344170459491477,0.577555520461141,0.653906254952953,0.653906254952953,0.794121117013968,0.728763397810095
