"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","ZEB1","TGFB","HA","CD44s","HAS2"
"GRHL2",0.457516476228018,0.457516476228018,0.457516476228018,0.457516476228018,0.457516476228018,0.541975074954133,0.452016670327815,0.452016670327815,0.29381055912199,-0.272050402271106,-0.29381055912199,-0.468897155539884,-0.438936405296227,-0.441975074954133,-0.441975074954133,-0.457516476228018
"MIR340",0.369593155479681,0.369593155479681,0.369593155479681,0.369593155479681,0.369593155479681,0.354724846218848,0.345492629676473,0.345492629676473,0.27481869910911,-0.249023939275801,-0.27481869910911,-0.379751034538364,-0.339575065065849,-0.354724846218848,-0.354724846218848,-0.369593155479681
"MIR1199",0.369593155479681,0.369593155479681,0.369593155479681,0.369593155479681,0.369593155479681,0.354724846218848,0.345492629676473,0.345492629676473,0.27481869910911,-0.249023939275801,-0.27481869910911,-0.379751034538364,-0.339575065065849,-0.354724846218848,-0.354724846218848,-0.369593155479681
"CD24",0.369593155479681,0.369593155479681,0.369593155479681,0.369593155479681,0.369593155479681,0.354724846218848,0.345492629676473,0.345492629676473,0.27481869910911,-0.249023939275801,-0.27481869910911,-0.379751034538364,-0.339575065065849,-0.354724846218848,-0.354724846218848,-0.369593155479681
"MIR129",0.3663406689301,0.3663406689301,0.3663406689301,0.3663406689301,0.3663406689301,0.352033664459161,0.256561511285898,0.256561511285898,0.402749557299998,-0.167356963996277,-0.369524573805054,-0.374584216913062,-0.280316832170452,-0.352033664459161,-0.352033664459161,-0.3663406689301
"ESRP1",0.354724846218848,0.354724846218848,0.354724846218848,0.354724846218848,0.354724846218848,0.337167594310451,0.332215495851394,0.332215495851394,0.26157668997669,-0.240509275131998,-0.26157668997669,-0.369593155479681,-0.322280379075511,-0.337167594310451,-0.437167594310451,-0.354724846218848
"MIR34",0.164232169247408,0.164232169247408,0.164232169247408,0.164232169247408,0.164232169247408,0.159947679101735,0.201436537861068,0.201436537861068,0.22481589882027,-0.133455147581907,-0.22481589882027,-0.16924908847648,-0.217919582867207,-0.159947679101735,-0.159947679101735,-0.164232169247408
"MIR190",0.159947679101735,0.159947679101735,0.159947679101735,0.159947679101735,0.159947679101735,0.150674496144342,0.195859161584556,0.195859161584556,0.218172696004608,-0.13206238992174,-0.218172696004608,-0.164232169247408,-0.310759791496889,-0.150674496144342,-0.150674496144342,-0.159947679101735
"TGFB",-0.164232169247408,-0.164232169247408,-0.164232169247408,-0.164232169247408,-0.164232169247408,-0.159947679101735,-0.201436537861068,-0.201436537861068,-0.22481589882027,0.133455147581907,0.22481589882027,0.16924908847648,0.217919582867207,0.159947679101735,0.159947679101735,0.164232169247408
"SNAIL1",-0.16924908847648,-0.16924908847648,-0.16924908847648,-0.16924908847648,-0.16924908847648,-0.164232169247408,-0.205047523903391,-0.205047523903391,-0.228022098485974,0.0370925286675257,0.228022098485974,0.171875881768054,0.223006532322757,0.164232169247408,0.164232169247408,0.16924908847648
"MIR200",-0.232197461012966,-0.232197461012966,-0.232197461012966,-0.232197461012966,-0.232197461012966,-0.227083536962333,-0.109015411742873,-0.109015411742873,0.0361234794603833,0.0192869264985789,-0.0361234794603833,0.236432217646247,0.00999375462316073,0.227083536962333,0.227083536962333,0.232197461012966
"ZEB1",-0.379751034538364,-0.379751034538364,-0.379751034538364,-0.379751034538364,-0.379751034538364,-0.369593155479681,-0.355015568810087,-0.355015568810087,-0.284946464768194,0.255471350542489,0.284946464768194,0.287951095656832,0.353461243927638,0.369593155479681,0.369593155479681,0.379751034538364
"HAS2",-0.354724846218848,-0.354724846218848,-0.354724846218848,-0.354724846218848,-0.354724846218848,-0.337167594310451,-0.332215495851394,-0.332215495851394,-0.26157668997669,0.240509275131998,0.26157668997669,0.369593155479681,0.322280379075511,0.437167594310451,0.337167594310451,0.354724846218848
"HA",-0.369593155479681,-0.369593155479681,-0.369593155479681,-0.369593155479681,-0.369593155479681,-0.354724846218848,-0.345492629676473,-0.345492629676473,-0.27481869910911,0.249023939275801,0.27481869910911,0.379751034538364,0.339575065065849,0.354724846218848,0.354724846218848,0.369593155479681
"CD44s",-0.369593155479681,-0.369593155479681,-0.369593155479681,-0.369593155479681,-0.369593155479681,-0.354724846218848,-0.345492629676473,-0.345492629676473,-0.27481869910911,0.249023939275801,0.27481869910911,0.379751034538364,0.339575065065849,0.354724846218848,0.354724846218848,0.369593155479681
"TWIST1",-0.374584216913062,-0.374584216913062,-0.374584216913062,-0.374584216913062,-0.374584216913062,-0.3663406689301,-0.26543123718673,-0.26543123718673,-0.412610922719825,0.171322930786451,0.279409511043547,0.382186861311113,0.292517452063379,0.3663406689301,0.3663406689301,0.374584216913062
