"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.734346762799492,0.734346762799492,0.734346762799492,0.734346762799492,0.734346762799492,0.785684342417327,0.657160133067507,0.462941204160498,0.344530599061956,-0.33725429128976,-0.344530599061956,-0.539503424287785,-0.776296476076952,-0.685684342417327,-0.685684342417327,-0.734346762799492
"MIR340",0.622498206414166,0.622498206414166,0.622498206414166,0.622498206414166,0.622498206414166,0.576363966821982,0.535881897191756,0.350083746507742,0.328167143412591,-0.317074198135023,-0.328167143412591,-0.426629889497867,-0.662980780140707,-0.576363966821982,-0.576363966821982,-0.622498206414166
"MIR1199",0.622498206414166,0.622498206414166,0.622498206414166,0.622498206414166,0.622498206414166,0.576363966821982,0.535881897191756,0.350083746507742,0.328167143412591,-0.317074198135023,-0.328167143412591,-0.426629889497867,-0.662980780140707,-0.576363966821982,-0.576363966821982,-0.622498206414166
"CD24",0.622498206414166,0.622498206414166,0.622498206414166,0.622498206414166,0.622498206414166,0.576363966821982,0.535881897191756,0.350083746507742,0.328167143412591,-0.317074198135023,-0.328167143412591,-0.426629889497867,-0.662980780140707,-0.576363966821982,-0.576363966821982,-0.622498206414166
"ESRP1",0.576363966821982,0.576363966821982,0.576363966821982,0.576363966821982,0.576363966821982,0.52012987012987,0.498895595821893,0.329851923536193,0.304148878572408,-0.299004188674285,-0.304148878572408,-0.389818295294969,-0.622498206414166,-0.52012987012987,-0.62012987012987,-0.576363966821982
"MIR200",0.489021301032174,0.489021301032174,0.489021301032174,0.489021301032174,0.489021301032174,0.450185857994199,0.51460900169314,0.181142303423935,0.302696782710644,-0.275485675710223,-0.302696782710644,-0.332471714759916,-0.513568832221772,-0.450185857994199,-0.450185857994199,-0.489021301032174
"MIR129",0.483538621476956,0.483538621476956,0.483538621476956,0.483538621476956,0.483538621476956,0.443598233995585,0.324297739275472,0.211807043063733,0.400448501598145,-0.173560759096873,-0.366510565827688,-0.279857828314471,-0.50050178860299,-0.443598233995585,-0.443598233995585,-0.483538621476956
"MIR34",0.204032699029772,0.204032699029772,0.204032699029772,0.204032699029772,0.204032699029772,0.202404592774416,0.218088883107536,0.00702599352379629,0.209318196828569,-0.115000283144481,-0.209318196828569,-0.0443957991018608,-0.220966640474527,-0.202404592774416,-0.202404592774416,-0.204032699029772
"MIR190",0.202404592774416,0.202404592774416,0.202404592774416,0.202404592774416,0.202404592774416,0.17433441733582,0.210835675461555,0.0122891514185331,0.19871546915589,-0.118110775252188,-0.19871546915589,-0.120924959841548,-0.204032699029772,-0.17433441733582,-0.17433441733582,-0.202404592774416
"TGFB",-0.204032699029772,-0.204032699029772,-0.204032699029772,-0.204032699029772,-0.204032699029772,-0.202404592774416,-0.218088883107536,-0.00702599352379629,-0.209318196828569,0.115000283144481,0.209318196828569,0.0443957991018608,0.220966640474527,0.202404592774416,0.202404592774416,0.204032699029772
"SNAIL1",-0.220966640474527,-0.220966640474527,-0.220966640474527,-0.220966640474527,-0.220966640474527,-0.204032699029772,-0.227246920027842,-0.018597357774134,-0.21094408955004,0.0241696811778974,0.21094408955004,0.041746684848651,0.224462296162545,0.204032699029772,0.204032699029772,0.220966640474527
"TWIST1",-0.50050178860299,-0.50050178860299,-0.50050178860299,-0.50050178860299,-0.50050178860299,-0.483538621476956,-0.34240676298967,-0.214548034748365,-0.416639974263591,0.177032695421836,0.282723954949027,0.309922635302355,0.526997961184757,0.483538621476956,0.483538621476956,0.50050178860299
"ZEB1",-0.662980780140707,-0.662980780140707,-0.662980780140707,-0.662980780140707,-0.662980780140707,-0.622498206414166,-0.567704233144964,-0.367941542157531,-0.348266862951388,0.332769411420598,0.348266862951388,0.456776230961282,0.596809852158635,0.622498206414166,0.622498206414166,0.662980780140707
"HAS2",-0.576363966821982,-0.576363966821982,-0.576363966821982,-0.576363966821982,-0.576363966821982,-0.52012987012987,-0.498895595821893,-0.329851923536193,-0.304148878572408,0.299004188674285,0.304148878572408,0.389818295294969,0.622498206414166,0.62012987012987,0.52012987012987,0.576363966821982
"HA",-0.622498206414166,-0.622498206414166,-0.622498206414166,-0.622498206414166,-0.622498206414166,-0.576363966821982,-0.535881897191756,-0.350083746507742,-0.328167143412591,0.317074198135023,0.328167143412591,0.426629889497867,0.662980780140707,0.576363966821982,0.576363966821982,0.622498206414166
"CD44s",-0.622498206414166,-0.622498206414166,-0.622498206414166,-0.622498206414166,-0.622498206414166,-0.576363966821982,-0.535881897191756,-0.350083746507742,-0.328167143412591,0.317074198135023,0.328167143412591,0.426629889497867,0.662980780140707,0.576363966821982,0.576363966821982,0.622498206414166
