"EdgeList","Nature","Cycles","Edge_count"
"ZEB1,CDH1;CDH1,EMT;VIM,EMT;ZEB1,VIM","P","ZEB1,CDH1,EMT,VIM",4
"SNAIL1,TWIST1;TWIST1,CDH1;SNAIL1,CDH1","P","SNAIL1,TWIST1,CDH1",3
"TWIST1,SNAIL1;TWIST1,CDH1;SNAIL1,CDH1","P","SNAIL1,TWIST1,CDH1",3
"TWIST1,ZEB1;TWIST1,CDH1;ZEB1,CDH1","P","ZEB1,TWIST1,CDH1",3
"SNAIL1,MIR-129;MIR-129,TWIST1;TWIST1,SNAIL1","P","SNAIL1,MIR-129,TWIST1",3
"SNAIL1,MIR-129;TWIST1,MIR-129;TWIST1,SNAIL1","P","SNAIL1,MIR-129,TWIST1",3
"SNAIL1,MIR-129;MIR-129,TWIST1;SNAIL1,TWIST1","P","SNAIL1,MIR-129,TWIST1",3
"SNAIL1,MIR-129;TWIST1,MIR-129;SNAIL1,TWIST1","P","SNAIL1,MIR-129,TWIST1",3
"SNAIL1,SNAIL1","N","SNAIL1",1
"SNAIL1,ZEB1;SNAIL1,CDH1;ZEB1,CDH1","P","ZEB1,SNAIL1,CDH1",3
"MIR-200,TGFB;TGFB,SNAIL1;SNAIL1,MIR-200","P","MIR-200,TGFB,SNAIL1",3
"ZEB1,MIR-190;MIR-190,TGFB;TGFB,SNAIL1;SNAIL1,ZEB1","P","ZEB1,MIR-190,TGFB,SNAIL1",4
"ZEB1,MIR-200;SNAIL1,MIR-200;SNAIL1,ZEB1","P","ZEB1,MIR-200,SNAIL1",3
"MIR-200,ZEB1;SNAIL1,MIR-200;SNAIL1,ZEB1","P","ZEB1,MIR-200,SNAIL1",3
"ZEB1,MIR-34;MIR-34,SNAIL1;SNAIL1,ZEB1","P","ZEB1,MIR-34,SNAIL1",3
"ZEB1,MIR-34;SNAIL1,MIR-34;SNAIL1,ZEB1","P","ZEB1,MIR-34,SNAIL1",3
"ESRP1,CD44s;CD44s,ZEB1;ZEB1,ESRP1","P","ESRP1,CD44s,ZEB1",3
"HAS2,HA;HA,ZEB1;ZEB1,HAS2","P","HAS2,HA,ZEB1",3
"GRHL2,CD24;CD24,ZEB1;ZEB1,GRHL2","P","GRHL2,CD24,ZEB1",3
"GRHL2,CD24;CD24,ZEB1;GRHL2,ZEB1","P","GRHL2,CD24,ZEB1",3
