"","CD24","CD44s","CDH1","EMT","ESRP1","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.596588316079417,-0.726779308542941,1,1,-1,-1,1,0.281728824957808,1,0.751229252749784,0.612198776729852,1,-0.541900723684792,-0.78547586469078,-0.281728824957808,-0.789277705031388,-1
"CD44s",-1,1,-0.596588316079417,0.726779308542941,-1,-1,1,1,-1,-0.281728824957808,-1,-0.751229252749784,-0.612198776729852,-1,0.541900723684792,0.78547586469078,0.281728824957808,0.789277705031388,1
"CDH1",0.596588316079417,-0.596588316079417,1,-0.835352672662244,0.596588316079417,0.596588316079417,-0.596588316079417,-0.596588316079417,0.596588316079417,0.685132255091293,0.596588316079417,0.736002405958031,0.875020568003656,0.596588316079417,-0.945317587215453,-0.701748769054149,-0.685132255091293,-0.75522943660062,-0.596588316079417
"EMT",-0.726779308542941,0.726779308542941,-0.835352672662244,1,-0.726779308542941,-0.726779308542941,0.726779308542941,0.726779308542941,-0.726779308542941,-0.520491715904664,-0.726779308542941,-0.762846940958142,-0.80049209569896,-0.726779308542941,0.815118751384565,0.751824488118567,0.520491715904664,0.919877901991359,0.726779308542941
"ESRP1",1,-1,0.596588316079417,-0.726779308542941,1,1,-1,-1,1,0.281728824957808,1,0.751229252749784,0.612198776729852,1,-0.541900723684792,-0.78547586469078,-0.281728824957808,-0.789277705031388,-1
"GRHL2",1,-1,0.596588316079417,-0.726779308542941,1,1,-1,-1,1,0.281728824957808,1,0.751229252749784,0.612198776729852,1,-0.541900723684792,-0.78547586469078,-0.281728824957808,-0.789277705031388,-1
"HA",-1,1,-0.596588316079417,0.726779308542941,-1,-1,1,1,-1,-0.281728824957808,-1,-0.751229252749784,-0.612198776729852,-1,0.541900723684792,0.78547586469078,0.281728824957808,0.789277705031388,1
"HAS2",-1,1,-0.596588316079417,0.726779308542941,-1,-1,1,1,-1,-0.281728824957808,-1,-0.751229252749784,-0.612198776729852,-1,0.541900723684792,0.78547586469078,0.281728824957808,0.789277705031388,1
"MIR-1199",1,-1,0.596588316079417,-0.726779308542941,1,1,-1,-1,1,0.281728824957808,1,0.751229252749784,0.612198776729852,1,-0.541900723684792,-0.78547586469078,-0.281728824957808,-0.789277705031388,-1
"MIR-129",0.281728824957808,-0.281728824957808,0.685132255091293,-0.520491715904664,0.281728824957808,0.281728824957808,-0.281728824957808,-0.281728824957808,0.281728824957808,1,0.281728824957808,0.421133047597484,0.560162349229581,0.281728824957808,-0.630452525575008,-0.386883349721651,-1,-0.44036679878042,-0.281728824957808
"MIR-190",1,-1,0.596588316079417,-0.726779308542941,1,1,-1,-1,1,0.281728824957808,1,0.751229252749784,0.612198776729852,1,-0.541900723684792,-0.78547586469078,-0.281728824957808,-0.789277705031388,-1
"MIR-200",0.751229252749784,-0.751229252749784,0.736002405958031,-0.762846940958142,0.751229252749784,0.751229252749784,-0.751229252749784,-0.751229252749784,0.751229252749784,0.421133047597484,0.751229252749784,1,0.720389757424253,0.751229252749784,-0.790685775362631,-0.965749279872949,-0.421133047597484,-0.777266334413961,-0.751229252749784
"MIR-34",0.612198776729852,-0.612198776729852,0.875020568003656,-0.80049209569896,0.612198776729852,0.612198776729852,-0.612198776729852,-0.612198776729852,0.612198776729852,0.560162349229581,0.612198776729852,0.720389757424253,1,0.612198776729852,-0.929700006261352,-0.68612766257642,-0.560162349229581,-0.762037427537408,-0.612198776729852
"MIR-340",1,-1,0.596588316079417,-0.726779308542941,1,1,-1,-1,1,0.281728824957808,1,0.751229252749784,0.612198776729852,1,-0.541900723684792,-0.78547586469078,-0.281728824957808,-0.789277705031388,-1
"SNAIL1",-0.541900723684792,0.541900723684792,-0.945317587215453,0.815118751384565,-0.541900723684792,-0.541900723684792,0.541900723684792,0.541900723684792,-0.541900723684792,-0.630452525575008,-0.541900723684792,-0.790685775362631,-0.929700006261352,-0.541900723684792,1,0.756430827147299,0.630452525575008,0.752623384934211,0.541900723684792
"TGFB",-0.78547586469078,0.78547586469078,-0.701748769054149,0.751824488118567,-0.78547586469078,-0.78547586469078,0.78547586469078,0.78547586469078,-0.78547586469078,-0.386883349721651,-0.78547586469078,-0.965749279872949,-0.68612766257642,-0.78547586469078,0.756430827147299,1,0.386883349721651,0.781068231510269,0.78547586469078
"TWIST1",-0.281728824957808,0.281728824957808,-0.685132255091293,0.520491715904664,-0.281728824957808,-0.281728824957808,0.281728824957808,0.281728824957808,-0.281728824957808,-1,-0.281728824957808,-0.421133047597484,-0.560162349229581,-0.281728824957808,0.630452525575008,0.386883349721651,1,0.44036679878042,0.281728824957808
"VIM",-0.789277705031388,0.789277705031388,-0.75522943660062,0.919877901991359,-0.789277705031388,-0.789277705031388,0.789277705031388,0.789277705031388,-0.789277705031388,-0.44036679878042,-0.789277705031388,-0.777266334413961,-0.762037427537408,-0.789277705031388,0.752623384934211,0.781068231510269,0.44036679878042,1,0.789277705031388
"ZEB1",-1,1,-0.596588316079417,0.726779308542941,-1,-1,1,1,-1,-0.281728824957808,-1,-0.751229252749784,-0.612198776729852,-1,0.541900723684792,0.78547586469078,0.281728824957808,0.789277705031388,1
