"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.661825345103867,-0.895020902463144,1,-0.0385001137153889,1,-1,-1,1,0.265999569552774,1,0.832717477475453,0.764192567275107,1,-0.629764631154742,-0.853549349132233,-0.265999569552774,-1,-1
"CD44s",-1,1,-0.661825345103867,0.895020902463144,-1,0.0385001137153889,-1,1,1,-1,-0.265999569552774,-1,-0.832717477475453,-0.764192567275107,-1,0.629764631154742,0.853549349132233,0.265999569552774,1,1
"CDH1",0.661825345103867,-0.661825345103867,1,-0.766805646566537,0.661825345103867,-0.309339128566237,0.661825345103867,-0.661825345103867,-0.661825345103867,0.661825345103867,0.604160247843504,0.661825345103867,0.767809253984752,0.836322950121613,0.661825345103867,-0.907443694401323,-0.746971746691582,-0.604160247843504,-0.661825345103867,-0.661825345103867
"EMT",-0.895020902463144,0.895020902463144,-0.766805646566537,1,-0.895020902463144,0.112618458406865,-0.895020902463144,0.895020902463144,0.895020902463144,-0.895020902463144,-0.370975047336369,-0.895020902463144,-0.844738007924018,-0.833916120529842,-0.895020902463144,0.734748025306646,0.848742552102698,0.370975047336369,0.895020902463144,0.895020902463144
"ESRP1",1,-1,0.661825345103867,-0.895020902463144,1,-0.0385001137153889,1,-1,-1,1,0.265999569552774,1,0.832717477475453,0.764192567275107,1,-0.629764631154742,-0.853549349132233,-0.265999569552774,-1,-1
"EX-TGFB",-0.0385001137153889,0.0385001137153889,-0.309339128566237,0.112618458406865,-0.0385001137153889,1,-0.0385001137153889,0.0385001137153889,0.0385001137153889,-0.0385001137153889,-0.0981711844784476,-0.0385001137153889,-0.138456703483738,-0.206982243130767,-0.0385001137153889,0.341399816709608,0.117627628657466,0.0981711844784476,0.0385001137153889,0.0385001137153889
"GRHL2",1,-1,0.661825345103867,-0.895020902463144,1,-0.0385001137153889,1,-1,-1,1,0.265999569552774,1,0.832717477475453,0.764192567275107,1,-0.629764631154742,-0.853549349132233,-0.265999569552774,-1,-1
"HA",-1,1,-0.661825345103867,0.895020902463144,-1,0.0385001137153889,-1,1,1,-1,-0.265999569552774,-1,-0.832717477475453,-0.764192567275107,-1,0.629764631154742,0.853549349132233,0.265999569552774,1,1
"HAS2",-1,1,-0.661825345103867,0.895020902463144,-1,0.0385001137153889,-1,1,1,-1,-0.265999569552774,-1,-0.832717477475453,-0.764192567275107,-1,0.629764631154742,0.853549349132233,0.265999569552774,1,1
"MIR-1199",1,-1,0.661825345103867,-0.895020902463144,1,-0.0385001137153889,1,-1,-1,1,0.265999569552774,1,0.832717477475453,0.764192567275107,1,-0.629764631154742,-0.853549349132233,-0.265999569552774,-1,-1
"MIR-129",0.265999569552774,-0.265999569552774,0.604160247843504,-0.370975047336369,0.265999569552774,-0.0981711844784476,0.265999569552774,-0.265999569552774,-0.265999569552774,0.265999569552774,1,0.265999569552774,0.371977175791078,0.440491312315044,0.265999569552774,-0.574913944111483,-0.351142071593861,-1,-0.265999569552774,-0.265999569552774
"MIR-190",1,-1,0.661825345103867,-0.895020902463144,1,-0.0385001137153889,1,-1,-1,1,0.265999569552774,1,0.832717477475453,0.764192567275107,1,-0.629764631154742,-0.853549349132233,-0.265999569552774,-1,-1
"MIR-200",0.832717477475453,-0.832717477475453,0.767809253984752,-0.844738007924018,0.832717477475453,-0.138456703483738,0.832717477475453,-0.832717477475453,-0.832717477475453,0.832717477475453,0.371977175791078,0.832717477475453,1,0.850147288738498,0.832717477475453,-0.79705704781629,-0.979165455246329,-0.371977175791077,-0.832717477475453,-0.832717477475453
"MIR-34",0.764192567275107,-0.764192567275107,0.836322950121613,-0.833916120529842,0.764192567275107,-0.206982243130767,0.764192567275107,-0.764192567275107,-0.764192567275107,0.764192567275107,0.440491312315044,0.764192567275107,0.850147288738498,1,0.764192567275107,-0.865569380903356,-0.829307610386046,-0.440491312315044,-0.764192567275107,-0.764192567275107
"MIR-340",1,-1,0.661825345103867,-0.895020902463144,1,-0.0385001137153889,1,-1,-1,1,0.265999569552774,1,0.832717477475453,0.764192567275107,1,-0.629764631154742,-0.853549349132233,-0.265999569552774,-1,-1
"SNAIL1",-0.629764631154742,0.629764631154742,-0.907443694401323,0.734748025306646,-0.629764631154742,0.341399816709608,-0.629764631154742,0.629764631154742,0.629764631154742,-0.629764631154742,-0.574913944111483,-0.629764631154742,-0.79705704781629,-0.865569380903356,-0.629764631154742,1,0.776218187833889,0.574913944111483,0.629764631154742,0.629764631154742
"TGFB",-0.853549349132233,0.853549349132233,-0.746971746691582,0.848742552102698,-0.853549349132233,0.117627628657466,-0.853549349132233,0.853549349132233,0.853549349132233,-0.853549349132233,-0.351142071593861,-0.853549349132233,-0.979165455246329,-0.829307610386046,-0.853549349132233,0.776218187833889,1,0.351142071593861,0.853549349132233,0.853549349132233
