"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.53724532786175,-0.785263181253598,1,-0.047431855981018,1,-1,-1,1,0.245722816897651,1,0.943859834752681,0.704461176965746,1,-0.390691686326254,-0.0636642570002972,-0.245722816897651,-0.832382115829967,-1
"CD44s",-1,1,-0.53724532786175,0.785263181253598,-1,0.047431855981018,-1,1,1,-1,-0.245722816897651,-1,-0.943859834752681,-0.704461176965746,-1,0.390691686326254,0.0636642570002972,0.245722816897651,0.832382115829967,1
"CDH1",0.53724532786175,-0.53724532786175,1,-0.722307121827724,0.53724532786175,-0.269574506294154,0.53724532786175,-0.53724532786175,-0.53724532786175,0.53724532786175,0.708473925600251,0.53724532786175,0.593387521412259,0.719706023437421,0.53724532786175,-0.778855082219778,-0.228066938901876,-0.708473925600251,-0.658345853200067,-0.53724532786175
"EMT",-0.785263181253598,0.785263181253598,-0.722307121827724,1,-0.785263181253598,0.182369869586911,-0.785263181253598,0.785263181253598,0.785263181253598,-0.785263181253598,-0.430784656325961,-0.785263181253598,-0.80451188392945,-0.812934054199605,-0.785263181253598,0.605428850856428,0.160905695347265,0.430784656325961,0.936040586689929,0.785263181253598
"ESRP1",1,-1,0.53724532786175,-0.785263181253598,1,-0.047431855981018,1,-1,-1,1,0.245722816897651,1,0.943859834752681,0.704461176965746,1,-0.390691686326254,-0.0636642570002972,-0.245722816897651,-0.832382115829967,-1
"EX-TGFB",-0.047431855981018,0.047431855981018,-0.269574506294154,0.182369869586911,-0.047431855981018,1,-0.047431855981018,0.047431855981018,0.047431855981018,-0.047431855981018,-0.0950949220737245,-0.047431855981018,-0.103583091234687,-0.209461506764315,-0.047431855981018,0.419314702793543,-0.0288143860983534,0.0950949220737246,0.160103181323264,0.047431855981018
"GRHL2",1,-1,0.53724532786175,-0.785263181253598,1,-0.047431855981018,1,-1,-1,1,0.245722816897651,1,0.943859834752681,0.704461176965746,1,-0.390691686326254,-0.0636642570002972,-0.245722816897651,-0.832382115829967,-1
"HA",-1,1,-0.53724532786175,0.785263181253598,-1,0.047431855981018,-1,1,1,-1,-0.245722816897651,-1,-0.943859834752681,-0.704461176965746,-1,0.390691686326254,0.0636642570002972,0.245722816897651,0.832382115829967,1
"HAS2",-1,1,-0.53724532786175,0.785263181253598,-1,0.047431855981018,-1,1,1,-1,-0.245722816897651,-1,-0.943859834752681,-0.704461176965746,-1,0.390691686326254,0.0636642570002972,0.245722816897651,0.832382115829967,1
"MIR-1199",1,-1,0.53724532786175,-0.785263181253598,1,-0.047431855981018,1,-1,-1,1,0.245722816897651,1,0.943859834752681,0.704461176965746,1,-0.390691686326254,-0.0636642570002972,-0.245722816897651,-0.832382115829967,-1
"MIR-129",0.245722816897651,-0.245722816897651,0.708473925600251,-0.430784656325961,0.245722816897651,-0.0950949220737245,0.245722816897651,-0.245722816897651,-0.245722816897651,0.245722816897651,1,0.245722816897651,0.301868183054519,0.428190457291796,0.245722816897651,-0.561490707718051,-0.0419856829322048,-1,-0.366819052182957,-0.245722816897651
"MIR-190",1,-1,0.53724532786175,-0.785263181253598,1,-0.047431855981018,1,-1,-1,1,0.245722816897651,1,0.943859834752681,0.704461176965746,1,-0.390691686326254,-0.0636642570002972,-0.245722816897651,-0.832382115829967,-1
"MIR-200",0.943859834752681,-0.943859834752681,0.593387521412259,-0.80451188392945,0.943859834752681,-0.103583091234687,0.943859834752681,-0.943859834752681,-0.943859834752681,0.943859834752681,0.301868183054519,0.943859834752681,1,0.76060051409134,0.943859834752681,-0.446838795367362,-0.00752670332252252,-0.301868183054519,-0.834388538133366,-0.943859834752681
"MIR-34",0.704461176965746,-0.704461176965746,0.719706023437421,-0.812934054199605,0.704461176965746,-0.209461506764315,0.704461176965746,-0.704461176965746,-0.704461176965746,0.704461176965746,0.428190457291796,0.704461176965746,0.76060051409134,1,0.704461176965746,-0.686248835196404,-0.173948069247017,-0.428190457291796,-0.800706144978639,-0.704461176965746
"MIR-340",1,-1,0.53724532786175,-0.785263181253598,1,-0.047431855981018,1,-1,-1,1,0.245722816897651,1,0.943859834752681,0.704461176965746,1,-0.390691686326254,-0.0636642570002972,-0.245722816897651,-0.832382115829967,-1
"SNAIL1",-0.390691686326254,0.390691686326254,-0.778855082219778,0.605428850856428,-0.390691686326254,0.419314702793543,-0.390691686326254,0.390691686326254,0.390691686326254,-0.390691686326254,-0.561490707718051,-0.390691686326254,-0.446838795367362,-0.686248835196404,-0.390691686326254,1,0.371814170790161,0.561490707718051,0.558303778931608,0.390691686326254
"TGFB",-0.0636642570002972,0.0636642570002972,-0.228066938901876,0.160905695347265,-0.0636642570002972,-0.0288143860983534,-0.0636642570002972,0.0636642570002972,0.0636642570002972,-0.0636642570002972,-0.0419856829322048,-0.0636642570002972,-0.00752670332252252,-0.173948069247017,-0.0636642570002972,0.371814170790161,1,0.0419856829322048,0.141452786449474,0.0636642570002972
"TWIST1",-0.245722816897651,0.245722816897651,-0.708473925600251,0.430784656325961,-0.245722816897651,0.0950949220737246,-0.245722816897651,0.245722816897651,0.245722816897651,-0.245722816897651,-1,-0.245722816897651,-0.301868183054519,-0.428190457291796,-0.245722816897651,0.561490707718051,0.0419856829322048,1,0.366819052182957,0.245722816897651
"VIM",-0.832382115829967,0.832382115829967,-0.658345853200067,0.936040586689929,-0.832382115829967,0.160103181323264,-0.832382115829967,0.832382115829967,0.832382115829967,-0.832382115829967,-0.366819052182957,-0.832382115829967,-0.834388538133366,-0.800706144978639,-0.832382115829967,0.558303778931608,0.141452786449474,0.366819052182957,1,0.832382115829967
"ZEB1",-1,1,-0.53724532786175,0.785263181253598,-1,0.047431855981018,-1,1,1,-1,-0.245722816897651,-1,-0.943859834752681,-0.704461176965746,-1,0.390691686326254,0.0636642570002972,0.245722816897651,0.832382115829967,1
