"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.444448993066745,-0.638514364029575,1,-0.0499709962632488,1,-1,-1,1,0.252759165829388,1,0.780018036975363,0.530346721299808,1,-0.317390086417955,-0.860298957184107,-0.252759165829388,-0.709563010501588,-1
"CD44s",-1,1,-0.444448993066745,0.638514364029575,-1,0.0499709962632488,-1,1,1,-1,-0.252759165829388,-1,-0.780018036975363,-0.530346721299809,-1,0.317390086417955,0.860298957184107,0.252759165829388,0.709563010501588,1
"CDH1",0.444448993066745,-0.444448993066745,1,-0.740472512613892,0.444448993066745,-0.312559259602297,0.444448993066745,-0.444448993066745,-0.444448993066745,0.444448993066745,0.808294818214736,0.444448993066745,0.574478763433,0.659958829885904,0.444448993066745,-0.872933075813661,-0.525922439131106,-0.808294818214736,-0.631286871828173,-0.444448993066745
"EMT",-0.638514364029575,0.638514364029575,-0.740472512613892,1,-0.638514364029575,0.226824892914649,-0.638514364029575,0.638514364029575,0.638514364029575,-0.638514364029575,-0.548778339635521,-0.638514364029575,-0.663387794506955,-0.661380105903056,-0.638514364029575,0.678850272483404,0.65375935505081,0.548778339635521,0.890807767394433,0.638514364029575
"ESRP1",1,-1,0.444448993066745,-0.638514364029575,1,-0.0499709962632488,1,-1,-1,1,0.252759165829388,1,0.780018036975363,0.530346721299808,1,-0.317390086417955,-0.860298957184107,-0.252759165829388,-0.709563010501588,-1
"EX-TGFB",-0.0499709962632488,0.0499709962632488,-0.312559259602297,0.226824892914649,-0.0499709962632488,1,-0.0499709962632488,0.0499709962632488,0.0499709962632488,-0.0499709962632488,-0.120866928128548,-0.0499709962632488,-0.17122022863556,-0.226638024161805,-0.0499709962632488,0.439625497104608,0.128259129355934,0.120866928128548,0.205543365901588,0.0499709962632488
"GRHL2",1,-1,0.444448993066745,-0.638514364029575,1,-0.0499709962632488,1,-1,-1,1,0.252759165829388,1,0.780018036975363,0.530346721299808,1,-0.317390086417955,-0.860298957184107,-0.252759165829388,-0.709563010501588,-1
"HA",-1,1,-0.444448993066745,0.638514364029575,-1,0.0499709962632488,-1,1,1,-1,-0.252759165829388,-1,-0.780018036975363,-0.530346721299809,-1,0.317390086417955,0.860298957184107,0.252759165829388,0.709563010501588,1
"HAS2",-1,1,-0.444448993066745,0.638514364029575,-1,0.0499709962632488,-1,1,1,-1,-0.252759165829388,-1,-0.780018036975363,-0.530346721299809,-1,0.317390086417955,0.860298957184107,0.252759165829388,0.709563010501588,1
"MIR-1199",1,-1,0.444448993066745,-0.638514364029575,1,-0.0499709962632488,1,-1,-1,1,0.252759165829388,1,0.780018036975363,0.530346721299808,1,-0.317390086417955,-0.860298957184107,-0.252759165829388,-0.709563010501588,-1
"MIR-129",0.252759165829388,-0.252759165829388,0.808294818214736,-0.548778339635521,0.252759165829388,-0.120866928128548,0.252759165829388,-0.252759165829388,-0.252759165829388,0.252759165829388,1,0.252759165829388,0.382784948103107,0.468254962791605,0.252759165829388,-0.681224409081137,-0.334231385148642,-1,-0.43959411005893,-0.252759165829388
"MIR-190",1,-1,0.444448993066745,-0.638514364029575,1,-0.0499709962632488,1,-1,-1,1,0.252759165829388,1,0.780018036975363,0.530346721299808,1,-0.317390086417955,-0.860298957184107,-0.252759165829388,-0.709563010501588,-1
"MIR-200",0.780018036975363,-0.780018036975363,0.574478763433,-0.663387794506955,0.780018036975363,-0.17122022863556,0.780018036975363,-0.780018036975363,-0.780018036975363,0.780018036975363,0.382784948103107,0.780018036975363,1,0.633887775342386,0.780018036975363,-0.537345835839623,-0.919713743853416,-0.382784948103107,-0.695102014003196,-0.780018036975363
"MIR-34",0.530346721299808,-0.530346721299809,0.659958829885904,-0.661380105903056,0.530346721299808,-0.226638024161805,0.530346721299808,-0.530346721299809,-0.530346721299809,0.530346721299808,0.468254962791605,0.530346721299808,0.633887775342386,1,0.530346721299808,-0.787023643265734,-0.594159323116098,-0.468254962791605,-0.665403038543662,-0.530346721299809
"MIR-340",1,-1,0.444448993066745,-0.638514364029575,1,-0.0499709962632488,1,-1,-1,1,0.252759165829388,1,0.780018036975363,0.530346721299808,1,-0.317390086417955,-0.860298957184107,-0.252759165829388,-0.709563010501588,-1
"SNAIL1",-0.317390086417955,0.317390086417955,-0.872933075813661,0.678850272483404,-0.317390086417955,0.439625497104608,-0.317390086417955,0.317390086417955,0.317390086417955,-0.317390086417955,-0.681224409081137,-0.317390086417955,-0.537345835839623,-0.787023643265734,-0.317390086417955,1,0.457075218885947,0.681224409081137,0.607804072638981,0.317390086417955
"TGFB",-0.860298957184107,0.860298957184107,-0.525922439131106,0.65375935505081,-0.860298957184107,0.128259129355934,-0.860298957184107,0.860298957184107,0.860298957184107,-0.860298957184107,-0.334231385148642,-0.860298957184107,-0.919713743853416,-0.594159323116098,-0.860298957184107,0.457075218885947,1,0.334231385148642,0.701126116820513,0.860298957184107
"TWIST1",-0.252759165829388,0.252759165829388,-0.808294818214736,0.548778339635521,-0.252759165829388,0.120866928128548,-0.252759165829388,0.252759165829388,0.252759165829388,-0.252759165829388,-1,-0.252759165829388,-0.382784948103107,-0.468254962791605,-0.252759165829388,0.681224409081137,0.334231385148642,1,0.43959411005893,0.252759165829388
"VIM",-0.709563010501588,0.709563010501588,-0.631286871828173,0.890807767394433,-0.709563010501588,0.205543365901588,-0.709563010501588,0.709563010501588,0.709563010501588,-0.709563010501588,-0.43959411005893,-0.709563010501588,-0.695102014003196,-0.665403038543662,-0.709563010501588,0.607804072638981,0.701126116820513,0.43959411005893,1,0.709563010501588
"ZEB1",-1,1,-0.444448993066745,0.638514364029575,-1,0.0499709962632488,-1,1,1,-1,-0.252759165829388,-1,-0.780018036975363,-0.530346721299809,-1,0.317390086417955,0.860298957184107,0.252759165829388,0.709563010501588,1
