"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.53168488428074,-0.709786781023632,1,-0.0629691171311521,1,-1,-1,1,0.257510841891105,1,0.746890133955646,0.779584622742528,1,-0.469710515933785,-0.784796061480379,-0.257510841891105,-0.780385317260366,-1
"CD44s",-1,1,-0.53168488428074,0.709786781023632,-1,0.0629691171311521,-1,1,1,-1,-0.257510841891105,-1,-0.746890133955646,-0.779584622742528,-1,0.469710515933785,0.784796061480379,0.257510841891105,0.780385317260366,1
"CDH1",0.53168488428074,-0.53168488428074,1,-0.787408367895956,0.53168488428074,-0.401715857594619,0.53168488428074,-0.53168488428074,-0.53168488428074,0.53168488428074,0.725829719953773,0.53168488428074,0.66084996107942,0.701572207776423,0.53168488428074,-0.938025272813921,-0.622938599651172,-0.725829719953773,-0.698359496767466,-0.53168488428074
"EMT",-0.709786781023632,0.709786781023632,-0.787408367895956,1,-0.709786781023632,0.272159218066478,-0.709786781023632,0.709786781023632,0.709786781023632,-0.709786781023632,-0.513252466633632,-0.709786781023632,-0.730244057737592,-0.762134459976515,-0.709786781023632,0.759929749628736,0.720016152846838,0.513252466633632,0.910950609768933,0.709786781023632
"ESRP1",1,-1,0.53168488428074,-0.709786781023632,1,-0.0629691171311521,1,-1,-1,1,0.257510841891105,1,0.746890133955646,0.779584622742528,1,-0.469710515933785,-0.784796061480379,-0.257510841891105,-0.780385317260366,-1
"EX-TGFB",-0.0629691171311521,0.0629691171311521,-0.401715857594619,0.272159218066478,-0.0629691171311521,1,-0.0629691171311521,0.0629691171311521,0.0629691171311521,-0.0629691171311521,-0.127530541914348,-0.0629691171311521,-0.186517161814719,-0.222824415101562,-0.0629691171311521,0.463691097440553,0.148606812889059,0.127530541914348,0.225228700718727,0.0629691171311521
"GRHL2",1,-1,0.53168488428074,-0.709786781023632,1,-0.0629691171311521,1,-1,-1,1,0.257510841891105,1,0.746890133955646,0.779584622742528,1,-0.469710515933785,-0.784796061480379,-0.257510841891105,-0.780385317260366,-1
"HA",-1,1,-0.53168488428074,0.709786781023632,-1,0.0629691171311521,-1,1,1,-1,-0.257510841891105,-1,-0.746890133955646,-0.779584622742528,-1,0.469710515933785,0.784796061480379,0.257510841891105,0.780385317260366,1
"HAS2",-1,1,-0.53168488428074,0.709786781023632,-1,0.0629691171311521,-1,1,1,-1,-0.257510841891105,-1,-0.746890133955646,-0.779584622742528,-1,0.469710515933785,0.784796061480379,0.257510841891105,0.780385317260366,1
"MIR-1199",1,-1,0.53168488428074,-0.709786781023632,1,-0.0629691171311521,1,-1,-1,1,0.257510841891105,1,0.746890133955646,0.779584622742528,1,-0.469710515933785,-0.784796061480379,-0.257510841891105,-0.780385317260366,-1
"MIR-129",0.257510841891105,-0.257510841891105,0.725829719953773,-0.513252466633632,0.257510841891105,-0.127530541914348,0.257510841891105,-0.257510841891105,-0.257510841891105,0.257510841891105,1,0.257510841891105,0.386684446718142,0.427419615266568,0.257510841891105,-0.663856414311794,-0.348762129768232,-1,-0.424201957490857,-0.257510841891105
"MIR-190",1,-1,0.53168488428074,-0.709786781023632,1,-0.0629691171311521,1,-1,-1,1,0.257510841891105,1,0.746890133955646,0.779584622742528,1,-0.469710515933785,-0.784796061480379,-0.257510841891105,-0.780385317260366,-1
"MIR-200",0.746890133955646,-0.746890133955646,0.66084996107942,-0.730244057737592,0.746890133955646,-0.186517161814719,0.746890133955646,-0.746890133955646,-0.746890133955646,0.746890133955646,0.386684446718142,0.746890133955646,1,0.752307584041979,0.746890133955646,-0.722823547530028,-0.962094551771157,-0.386684446718142,-0.752306338178807,-0.746890133955646
"MIR-34",0.779584622742528,-0.779584622742528,0.701572207776423,-0.762134459976515,0.779584622742528,-0.222824415101562,0.779584622742528,-0.779584622742528,-0.779584622742528,0.779584622742528,0.427419615266568,0.779584622742528,0.752307584041979,1,0.779584622742528,-0.690138217708635,-0.754115226888091,-0.427419615266568,-0.77537124324476,-0.779584622742528
"MIR-340",1,-1,0.53168488428074,-0.709786781023632,1,-0.0629691171311521,1,-1,-1,1,0.257510841891105,1,0.746890133955646,0.779584622742528,1,-0.469710515933785,-0.784796061480379,-0.257510841891105,-0.780385317260366,-1
"SNAIL1",-0.469710515933785,0.469710515933785,-0.938025272813921,0.759929749628736,-0.469710515933785,0.463691097440553,-0.469710515933785,0.469710515933785,0.469710515933785,-0.469710515933785,-0.663856414311794,-0.469710515933785,-0.722823547530028,-0.690138217708635,-0.469710515933785,1,0.684913373939207,0.663856414311793,0.689332756504284,0.469710515933785
"TGFB",-0.784796061480379,0.784796061480379,-0.622938599651172,0.720016152846838,-0.784796061480379,0.148606812889059,-0.784796061480379,0.784796061480379,0.784796061480379,-0.784796061480379,-0.348762129768232,-0.784796061480379,-0.962094551771157,-0.754115226888091,-0.784796061480379,0.684913373939207,1,0.348762129768232,0.75611848397603,0.784796061480379
"TWIST1",-0.257510841891105,0.257510841891105,-0.725829719953773,0.513252466633632,-0.257510841891105,0.127530541914348,-0.257510841891105,0.257510841891105,0.257510841891105,-0.257510841891105,-1,-0.257510841891105,-0.386684446718142,-0.427419615266568,-0.257510841891105,0.663856414311793,0.348762129768232,1,0.424201957490857,0.257510841891105
"VIM",-0.780385317260366,0.780385317260366,-0.698359496767466,0.910950609768933,-0.780385317260366,0.225228700718727,-0.780385317260366,0.780385317260366,0.780385317260366,-0.780385317260366,-0.424201957490857,-0.780385317260366,-0.752306338178807,-0.77537124324476,-0.780385317260366,0.689332756504284,0.75611848397603,0.424201957490857,1,0.780385317260366
"ZEB1",-1,1,-0.53168488428074,0.709786781023632,-1,0.0629691171311521,-1,1,1,-1,-0.257510841891105,-1,-0.746890133955646,-0.779584622742528,-1,0.469710515933785,0.784796061480379,0.257510841891105,0.780385317260366,1
