"","ZEB","OVOL2","miR200","GRHL2"
"ZEB",-0.070656340244906,-0.0370786516853932,-0.0370786516853932,-0.028220064249476
"miR200",-0.028220064249476,0.04,0.04,0.0300382460676578
"GRHL2",-0.028220064249476,0.04,0.04,0.0300382460676578
"OVOL2",0.0827397035475097,-0.093642929315734,-0.093642929315734,-0.083552711677591
