"","miR200","ZEB","GRHL2","OVOL2"
"ZEB",-0.111956737908489,-0.0582975572847502,-0.0412605793141641,0.04415596300593
"OVOL2",-0.0411652382042831,-0.0468740446162148,0.0432820268778556,-0.0742986919010711
"miR200",0.11336633954281,-0.0412605793141641,0.0401035545207757,-0.0413163307280954
"GRHL2",0.11336633954281,-0.0412605793141641,0.0401035545207757,-0.0413163307280954
