"","ZEB","OVOL2","miR200","GRHL2"
"OVOL2",-0.0827397035475097,-0.0352155168450576,-0.0352155168450576,0.083552711677591
"ZEB",-0.070656340244906,-0.0370786516853932,-0.0370786516853932,-0.028220064249476
"GRHL2",-0.028220064249476,0.04,0.04,0.0300382460676578
"miR200",0.028220064249476,-0.04,-0.04,-0.0300382460676578
