"","ZEB","OVOL2","miR200","GRHL2"
"ZEB",-0.0748728402138436,-0.0238921642358523,-0.0238921642358523,-0.00928320069008274
"OVOL2",-0.0314518448112613,-0.0399543617290975,-0.0399543617290975,0.0538169593714978
"miR200",-0.00928320069008274,0.0451587628058216,0.0451587628058216,0.0280931180454546
"GRHL2",0.00928320069008274,-0.0451587628058216,-0.0451587628058216,-0.0280931180454546
