"","ZEB","SNAIL","OVOL2","miR200","GRHL2"
"ZEB",-0.0582975572847502,0,0.04415596300593,-0.111956737908489,-0.0412605793141641
"SNAIL",-0.0411652382042831,0,-0.0432820268778556,-0.0273374968147529,0.0392279026386289
"OVOL2",-0.0468740446162148,0,-0.0742986919010711,-0.0411652382042831,0.0432820268778556
"miR200",-0.0412605793141641,0,-0.0413163307280954,0.11336633954281,0.0401035545207757
"GRHL2",-0.0412605793141641,0,-0.0413163307280954,0.11336633954281,0.0401035545207757
