"","OVOL2","GRHL2","ZEB","miR200"
"OVOL2",0.273715891636195,0.113504080193454,-0.0963717815977405,-0.156064305046634
"miR200",0.189626843744491,0.0878569593982157,-0.0495429098114389,0.0330595874713522
"GRHL2",0.189626843744491,0.0878569593982157,-0.0495429098114389,0.0330595874713522
"ZEB",-0.173385781436013,-0.0495429098114389,-0.01658510432819,-0.00194620647033073
