"EdgeList","Nature","Cycles","Edge_count"
"miR200,ZEB;SNAIL,ZEB;SNAIL,miR200","P","miR200,ZEB,SNAIL",3
"ZEB,miR200;SNAIL,ZEB;SNAIL,miR200","P","miR200,ZEB,SNAIL",3
"OCT4,miR200;OCT4,miR145;miR145,ZEB;ZEB,miR200","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;miR145,OCT4;miR145,ZEB;ZEB,miR200","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;OCT4,miR145;ZEB,miR145;ZEB,miR200","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;miR145,OCT4;ZEB,miR145;ZEB,miR200","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;OCT4,miR145;miR145,ZEB;miR200,ZEB","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;miR145,OCT4;miR145,ZEB;miR200,ZEB","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;OCT4,miR145;ZEB,miR145;miR200,ZEB","N","miR200,OCT4,miR145,ZEB",4
"OCT4,miR200;miR145,OCT4;ZEB,miR145;miR200,ZEB","N","miR200,OCT4,miR145,ZEB",4
