"","ZEB1","MIR34","MIR200","MIR340","MIR1199","GRHL2","ESRP1","TGFB","MIR190","HAS2","HA","CD44s","CD24","SNAIL1"
"ZEB1",-0.0884910140156442,-0.0477906833624149,-0.0477906833624149,-0.0113595587886062,-0.0113595587886062,-0.0113595587886062,-0.0113595587886062,-0.00039983171055723,0.0113595587886062,0.0113595587886062,0.0141961188966656,0.0141961188966656,0.0141961188966656,0.0594377830704616
"TGFB",-0.0717586347968817,0.0826832573302958,0.0826832573302958,0.072631500072024,0.072631500072024,0.072631500072024,0.072631500072024,-0.0657928316173055,-0.072631500072024,-0.072631500072024,-0.0732437449699832,-0.0732437449699832,-0.0732437449699832,-0.00345808118031145
"SNAIL1",-0.0709504680593232,0.0818809232675678,0.0818809232675678,0.0717586347968817,0.0717586347968817,0.0717586347968817,0.0717586347968817,-0.0657132771224765,-0.0717586347968817,-0.0717586347968817,-0.072631500072024,-0.072631500072024,-0.072631500072024,-0.10285110090717
"MIR200",-0.0293399457061068,-0.0282975920112716,-0.0282975920112716,0.0311206392393777,0.0311206392393777,0.0311206392393777,0.0311206392393777,-0.00731383353861714,-0.0311206392393777,-0.0311206392393777,-0.0330105324193284,-0.0330105324193284,-0.0330105324193284,-0.0733812950311501
"HAS2",-0.0141961188966656,0.0507520744146715,0.0507520744146715,0.0151372953672538,0.0151372953672538,0.0151372953672538,0.0151372953672538,-0.000293649565448318,-0.0151372953672538,-0.0151372953672538,0.0845326716294458,-0.0154673283705542,-0.0154673283705542,-0.0611762487572423
"MIR1199",-0.0113595587886062,0.0490003607817698,0.0490003607817698,0.0141961188966656,0.0141961188966656,0.0141961188966656,0.0141961188966656,-0.000293649565448318,-0.0141961188966656,-0.0141961188966656,-0.0151372953672538,-0.0151372953672538,-0.0151372953672538,-0.0594975916829018
"HA",-0.0113595587886062,0.0490003607817698,0.0490003607817698,0.0141961188966656,0.0141961188966656,0.0141961188966656,0.0141961188966656,-0.000293649565448318,-0.0141961188966656,-0.0141961188966656,-0.0151372953672538,-0.0151372953672538,-0.0151372953672538,-0.0594975916829018
"CD44s",-0.0113595587886062,0.0490003607817698,0.0490003607817698,0.0141961188966656,0.0141961188966656,0.0141961188966656,0.0141961188966656,-0.000293649565448318,-0.0141961188966656,-0.0141961188966656,-0.0151372953672538,-0.0151372953672538,-0.0151372953672538,-0.0594975916829018
"CD24",-0.0113595587886062,0.0490003607817698,0.0490003607817698,0.0141961188966656,0.0141961188966656,0.0141961188966656,0.0141961188966656,-0.000293649565448318,-0.0141961188966656,-0.0141961188966656,-0.0151372953672538,-0.0151372953672538,-0.0151372953672538,-0.0594975916829018
"MIR340",0.0113595587886062,-0.0490003607817698,-0.0490003607817698,-0.0141961188966656,-0.0141961188966656,-0.0141961188966656,-0.0141961188966656,0.000293649565448318,0.0141961188966656,0.0141961188966656,0.0151372953672538,0.0151372953672538,0.0151372953672538,0.0594975916829018
"ESRP1",0.0141961188966656,-0.0507520744146715,-0.0507520744146715,-0.0151372953672538,-0.0151372953672538,-0.0151372953672538,-0.0151372953672538,0.000293649565448318,0.0151372953672538,0.0151372953672538,0.0154673283705542,-0.0845326716294458,0.0154673283705542,0.0611762487572423
"MIR34",0.0717586347968817,-0.0826832573302958,-0.0826832573302958,-0.072631500072024,-0.072631500072024,-0.072631500072024,-0.072631500072024,0.0657928316173055,0.072631500072024,0.072631500072024,0.0732437449699832,0.0732437449699832,0.0732437449699832,0.00345808118031145
"MIR190",0.072631500072024,-0.0832047697162149,-0.0832047697162149,-0.0732437449699832,-0.0732437449699832,-0.0732437449699832,-0.0732437449699832,-0.0335702257075353,0.0732437449699832,0.0732437449699832,0.0691565515094927,0.0691565515094927,0.0691565515094927,0.00278149119384325
"GRHL2",0.145878054077896,-0.150154985563224,-0.150154985563224,-0.148190004582618,-0.148190004582618,-0.148190004582618,-0.148190004582618,-0.00744995508288398,0.148190004582618,0.148190004582618,0.148970577002392,0.148970577002392,0.0489705770023923,0.083672950563814
