"","ZEB1","TGFB","MIR34","MIR340","GRHL2","ESRP1","SNAIL1","HA","CD44s","CD24","MIR190","MIR1199","HAS2","MIR200"
"ZEB1",-0.0668159547566754,-0.0593099092624903,-0.0386079494629197,-0.0335327087000738,-0.0335327087000738,-0.0335327087000738,0.0279492441217791,0.0333075848819738,0.0333075848819738,0.0333075848819738,0.0335327087000738,0.0335327087000738,0.0335327087000738,0.0728166801615959
"MIR200",-0.0627583100449462,-0.131604684078895,0.16430563502379,0.061352499360785,0.061352499360785,0.061352499360785,-0.0859931516467892,-0.0578192208069641,-0.0578192208069641,-0.0578192208069641,-0.061352499360785,-0.061352499360785,-0.061352499360785,0.0214214784836054
"MIR340",-0.0335327087000738,0.0550103253512559,0.0398176268822745,0.0333075848819738,0.0333075848819738,0.0333075848819738,-0.0232841723514442,-0.0262487613525621,-0.0262487613525621,-0.0262487613525621,-0.0333075848819738,-0.0333075848819738,-0.0333075848819738,-0.0713189843090613
"MIR1199",-0.0335327087000738,0.0550103253512559,0.0398176268822745,0.0333075848819738,0.0333075848819738,0.0333075848819738,-0.0232841723514442,-0.0262487613525621,-0.0262487613525621,-0.0262487613525621,-0.0333075848819738,-0.0333075848819738,-0.0333075848819738,-0.0713189843090613
"HA",-0.0335327087000738,0.0550103253512559,0.0398176268822745,0.0333075848819738,0.0333075848819738,0.0333075848819738,-0.0232841723514442,-0.0262487613525621,-0.0262487613525621,-0.0262487613525621,-0.0333075848819738,-0.0333075848819738,-0.0333075848819738,-0.0713189843090613
"CD24",-0.0335327087000738,0.0550103253512559,0.0398176268822745,0.0333075848819738,0.0333075848819738,0.0333075848819738,-0.0232841723514442,-0.0262487613525621,-0.0262487613525621,-0.0262487613525621,-0.0333075848819738,-0.0333075848819738,-0.0333075848819738,-0.0713189843090613
"HAS2",-0.0333075848819738,0.0578308381717687,0.0331915796621679,0.0262487613525621,0.0262487613525621,0.0262487613525621,-0.0270411667559206,0.0655004135649297,-0.0344995864350703,-0.0344995864350703,-0.0262487613525621,-0.0262487613525621,-0.0262487613525621,-0.0688056560531588
"ESRP1",-0.0333075848819738,0.0578308381717687,0.0331915796621679,0.0262487613525621,0.0262487613525621,0.0262487613525621,-0.0270411667559206,-0.0344995864350703,-0.13449958643507,-0.0344995864350703,-0.0262487613525621,-0.0262487613525621,-0.0262487613525621,-0.0688056560531588
"TGFB",-0.0158876081758087,0.103771216104596,-0.086888607505407,0.0112196764870041,0.0112196764870041,0.0112196764870041,0.0734255571520981,-0.0153013091400654,-0.0153013091400654,-0.0153013091400654,-0.0112196764870041,-0.0112196764870041,-0.0112196764870041,-0.100323344939176
"SNAIL1",-0.0130377570486288,0.104328097568399,-0.0797648535545195,0.0158876081758087,0.0158876081758087,0.0158876081758087,-0.0191389345019231,-0.0112196764870041,-0.0112196764870041,-0.0112196764870041,-0.0158876081758087,-0.0158876081758087,-0.0158876081758087,-0.0991806267286237
"MIR190",0.0112196764870041,-0.204832787229862,0.0781532750412609,-0.0153013091400654,-0.0153013091400654,-0.0153013091400654,-0.0849275869220575,0.0106691565515095,0.0106691565515095,0.0106691565515095,0.0153013091400654,0.0153013091400654,0.0153013091400654,0.0968031363342213
"MIR34",0.0158876081758087,-0.103771216104596,0.086888607505407,-0.0112196764870041,-0.0112196764870041,-0.0112196764870041,-0.0734255571520981,0.0153013091400654,0.0153013091400654,0.0153013091400654,0.0112196764870041,0.0112196764870041,0.0112196764870041,0.100323344939176
"CD44s",0.0335327087000738,-0.0550103253512559,-0.0398176268822745,-0.0333075848819738,-0.0333075848819738,-0.0333075848819738,0.0232841723514442,0.0262487613525621,0.0262487613525621,0.0262487613525621,0.0333075848819738,0.0333075848819738,0.0333075848819738,0.0713189843090613
"GRHL2",0.131688177399987,-0.136415304419188,-0.149345145034679,-0.129571602994256,-0.129571602994256,-0.129571602994256,0.0458998081311643,0.126536043584022,0.126536043584022,0.0265360435840222,0.129571602994256,0.129571602994256,0.129571602994256,0.14422256821503
