"","SNAIL1","HA","CD24","MIR340","MIR190","MIR1199","GRHL2","ESRP1","TGFB","ZEB1","MIR200","HAS2","CD44s","MIR34"
"GRHL2",0.254618284268819,0.301748467069398,0.401748467069398,0.3027025000269,0.3027025000269,0.3027025000269,0.3027025000269,0.3027025000269,-0.0404758215714111,-0.302669937343735,-0.204396726151953,-0.3027025000269,-0.301748467069398,-0.346119821369091
"MIR200",-0.0659203944842886,0.191373105518744,0.191373105518744,0.193920352848242,0.193920352848242,0.193920352848242,0.193920352848242,0.193920352848242,-0.0038374431303208,-0.193201827387449,-0.256690514938066,-0.193920352848242,-0.191373105518744,-0.0746145476941693
"MIR340",0.230125796903679,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,-0.0372759509368172,-0.173354277282258,-0.0923433924541605,-0.174119698263798,-0.172237345322622,-0.221950313410187
"MIR1199",0.230125796903679,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,-0.0372759509368172,-0.173354277282258,-0.0923433924541605,-0.174119698263798,-0.172237345322622,-0.221950313410187
"HA",0.230125796903679,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,-0.0372759509368172,-0.173354277282258,-0.0923433924541605,-0.174119698263798,-0.172237345322622,-0.221950313410187
"CD44s",0.230125796903679,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,-0.0372759509368172,-0.173354277282258,-0.0923433924541605,-0.174119698263798,-0.172237345322622,-0.221950313410187
"CD24",0.230125796903679,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,-0.0372759509368172,-0.173354277282258,-0.0923433924541605,-0.174119698263798,-0.172237345322622,-0.221950313410187
"MIR34",-0.318724168343049,0.159929085772971,0.159929085772971,0.159316840875012,0.159316840875012,0.159316840875012,0.159316840875012,0.159316840875012,0.173020921411311,-0.160493311463247,-0.294716974425517,-0.159316840875012,-0.159929085772971,0.123932480522016
"MIR190",-0.321159892294335,0.155841892312481,0.155841892312481,0.159929085772971,0.159929085772971,0.159929085772971,0.159929085772971,0.159929085772971,0.0742948067616293,-0.159316840875012,-0.295759999197355,-0.159929085772971,-0.155841892312481,0.124193236714976
"ZEB1",-0.231621012214683,-0.174119698263798,-0.174119698263798,-0.173354277282258,-0.173354277282258,-0.173354277282258,-0.173354277282258,-0.173354277282258,0.0384317530634931,0.0739021770000069,0.0913065260947135,0.173354277282258,0.174119698263798,0.222007917096823
"SNAIL1",0.218016024691051,-0.159316840875012,-0.159316840875012,-0.160493311463247,-0.160493311463247,-0.160493311463247,-0.160493311463247,-0.160493311463247,-0.172623148937166,0.16016720909546,0.294595408658437,0.160493311463247,0.159316840875012,-0.122303499243144
"TGFB",0.318724168343049,-0.159929085772971,-0.159929085772971,-0.159316840875012,-0.159316840875012,-0.159316840875012,-0.159316840875012,-0.159316840875012,-0.173020921411311,0.160493311463247,0.294716974425517,0.159316840875012,0.159929085772971,-0.123932480522016
"HAS2",-0.228607011931656,-0.273887510339123,-0.173887510339123,-0.172237345322622,-0.172237345322622,-0.172237345322622,-0.172237345322622,-0.172237345322622,0.0359938996547659,0.174119698263798,0.0930288456148612,0.172237345322622,0.173887510339123,0.218827693455884
"ESRP1",-0.228607011931656,-0.173887510339123,-0.173887510339123,-0.172237345322622,-0.172237345322622,-0.172237345322622,-0.172237345322622,-0.172237345322622,0.0359938996547659,0.174119698263798,0.0930288456148612,0.172237345322622,0.0738875103391232,0.218827693455884
