"","MIR340","MIR1199","GRHL2","HA","MIR34","TGFB","SNAIL1","MIR200","ZEB1","CD44s","CD24","MIR190","HAS2","ESRP1"
"GRHL2",0.631504664472767,0.631504664472767,0.631504664472767,0.596899287196098,0.45533351326603,0.0234508013938485,-0.176095751907932,-0.45533351326603,-0.659410883945252,-0.596899287196098,-0.696899287196098,-0.631504664472767,-0.631504664472767,-0.631504664472767
"MIR340",0.496057250682009,0.496057250682009,0.496057250682009,0.461469015387891,0.340990524074666,0.015172564127548,-0.154469432146672,-0.340990524074666,-0.521406192600064,-0.461469015387891,-0.461469015387891,-0.496057250682009,-0.496057250682009,-0.496057250682009
"MIR1199",0.496057250682009,0.496057250682009,0.496057250682009,0.461469015387891,0.340990524074666,0.015172564127548,-0.154469432146672,-0.340990524074666,-0.521406192600064,-0.461469015387891,-0.461469015387891,-0.496057250682009,-0.496057250682009,-0.496057250682009
"HA",0.496057250682009,0.496057250682009,0.496057250682009,0.461469015387891,0.340990524074666,0.015172564127548,-0.154469432146672,-0.340990524074666,-0.521406192600064,-0.461469015387891,-0.461469015387891,-0.496057250682009,-0.496057250682009,-0.496057250682009
"SNAIL1",0.237835472649697,0.237835472649697,0.237835472649697,0.228006250638312,0.180565228479266,-0.0647833270115825,-0.113954680457388,-0.180565228479266,-0.245591037657495,-0.228006250638312,-0.228006250638312,-0.237835472649697,-0.237835472649697,-0.237835472649697
"MIR190",0.217189924107699,0.217189924107699,0.217189924107699,0.202203548085901,0.168869745812452,-0.166534539330875,-0.0100028062997034,-0.168869745812452,-0.228006250638312,-0.202203548085901,-0.202203548085901,-0.217189924107699,-0.217189924107699,-0.217189924107699
"TGFB",-0.228006250638312,-0.228006250638312,-0.228006250638312,-0.217189924107699,-0.174997516347002,0.0652606539805563,0.012032576259108,0.174997516347002,0.237835472649697,0.217189924107699,0.217189924107699,0.228006250638312,0.228006250638312,0.228006250638312
"MIR34",-0.228006250638312,-0.228006250638312,-0.228006250638312,-0.217189924107699,-0.174997516347002,0.0652606539805563,0.012032576259108,0.174997516347002,0.237835472649697,0.217189924107699,0.217189924107699,0.228006250638312,0.228006250638312,0.228006250638312
"ZEB1",-0.521406192600064,-0.521406192600064,-0.521406192600064,-0.496057250682009,-0.355449049420288,-0.0172530079555647,0.160390484778251,0.355449049420288,0.444401377723756,0.496057250682009,0.496057250682009,0.521406192600064,0.521406192600064,0.521406192600064
"MIR200",-0.441990007028567,-0.441990007028567,-0.441990007028567,-0.413312932254533,-0.386838659000456,0.179673038121524,0.0387073907433588,0.386838659000456,0.462889725866431,0.413312932254533,0.413312932254533,0.441990007028567,0.441990007028567,0.441990007028567
"HAS2",-0.461469015387891,-0.461469015387891,-0.461469015387891,-0.526815550041356,-0.322026319961947,-0.0138905128454968,0.149593333025969,0.322026319961947,0.496057250682009,0.426815550041357,0.426815550041357,0.461469015387891,0.461469015387891,0.461469015387891
"ESRP1",-0.461469015387891,-0.461469015387891,-0.461469015387891,-0.426815550041357,-0.322026319961947,-0.0138905128454968,0.149593333025969,0.322026319961947,0.496057250682009,0.526815550041356,0.426815550041357,0.461469015387891,0.461469015387891,0.461469015387891
"CD44s",-0.496057250682009,-0.496057250682009,-0.496057250682009,-0.461469015387891,-0.340990524074666,-0.015172564127548,0.154469432146672,0.340990524074666,0.521406192600064,0.461469015387891,0.461469015387891,0.496057250682009,0.496057250682009,0.496057250682009
"CD24",-0.496057250682009,-0.496057250682009,-0.496057250682009,-0.461469015387891,-0.340990524074666,-0.015172564127548,0.154469432146672,0.340990524074666,0.521406192600064,0.461469015387891,0.461469015387891,0.496057250682009,0.496057250682009,0.496057250682009
