"","MIR200","HA","CD44s","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","TGFB","MIR340","MIR190","CD24","MIR34","SNAIL1"
"MIR34",-0.174837489527995,0.089493500094558,0.089493500094558,0.089697581727211,0.089697581727211,0.089697581727211,0.089697581727211,-0.0901150390327139,0.17847124159709,-0.089697581727211,-0.089697581727211,-0.089493500094558,0.174837489527995,0.347762448512676
"SNAIL1",-0.174667297454083,0.089697581727211,0.089697581727211,0.0901150390327139,0.0901150390327139,0.0901150390327139,0.0901150390327139,-0.0900157904859962,0.178550796091919,-0.0901150390327139,-0.0901150390327139,-0.089697581727211,0.174667297454083,0.247863611891533
"MIR190",-0.174837489527995,0.0908558979147215,0.0908558979147215,0.089493500094558,0.089493500094558,0.089493500094558,0.089493500094558,-0.089697581727211,0.0784712415970899,-0.089493500094558,-0.089493500094558,-0.0908558979147215,0.174837489527995,0.347491812518089
"MIR200",-0.0225265205278204,0.0869562032936222,0.0869562032936222,0.0878600652492508,0.0878600652492508,0.0878600652492508,0.0878600652492508,-0.0876413835872702,0.00857106391288711,-0.0878600652492508,-0.0878600652492508,-0.0869562032936222,0.0225265205278204,0.133181150223521
"HAS2",0.105358548222033,0.160984284532672,0.0609842845326716,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0619743835425726,-0.0638567364837491,-0.0211666504271006,-0.0619743835425726,-0.0619743835425726,-0.0609842845326716,-0.105358548222033,-0.138596715218448
"ESRP1",0.105358548222033,0.0609842845326716,0.160984284532672,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0619743835425726,-0.0638567364837491,-0.0211666504271006,-0.0619743835425726,-0.0619743835425726,-0.0609842845326716,-0.105358548222033,-0.138596715218448
"MIR340",0.106348647231934,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,0.0638567364837491,0.0638567364837491,-0.0634515136111692,-0.0214230606835108,-0.0638567364837491,-0.0638567364837491,-0.0619743835425726,-0.106348647231934,-0.138516779167288
"HA",0.106348647231934,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,0.0638567364837491,0.0638567364837491,-0.0634515136111692,-0.0214230606835108,-0.0638567364837491,-0.0638567364837491,-0.0619743835425726,-0.106348647231934,-0.138516779167288
"CD44s",0.106348647231934,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,0.0638567364837491,0.0638567364837491,-0.0634515136111692,-0.0214230606835108,-0.0638567364837491,-0.0638567364837491,-0.0619743835425726,-0.106348647231934,-0.138516779167288
"CD24",0.106348647231934,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,0.0638567364837491,0.0638567364837491,-0.0634515136111692,-0.0214230606835108,-0.0638567364837491,-0.0638567364837491,-0.0619743835425726,-0.106348647231934,-0.138516779167288
"ZEB1",-0.106060628798755,-0.0638567364837491,-0.0638567364837491,-0.0634515136111692,-0.0634515136111692,-0.0634515136111692,-0.0634515136111692,-0.0370631800630795,0.0212843644283097,0.0634515136111692,0.0634515136111692,0.0638567364837491,0.106060628798755,0.138815822229489
"MIR1199",-0.106348647231934,-0.0619743835425726,-0.0619743835425726,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,0.0634515136111692,0.0214230606835108,0.0638567364837491,0.0638567364837491,0.0619743835425726,0.106348647231934,0.138516779167288
"TGFB",0.174837489527995,-0.089493500094558,-0.089493500094558,-0.089697581727211,-0.089697581727211,-0.089697581727211,-0.089697581727211,0.0901150390327139,-0.17847124159709,0.089697581727211,0.089697581727211,0.089493500094558,-0.174837489527995,-0.347762448512676
"GRHL2",-0.196188004174596,-0.140058979849387,-0.140058979849387,-0.1417068549578,-0.1417068549578,-0.1417068549578,-0.1417068549578,0.141934793739955,0.0239907137592359,0.1417068549578,0.1417068549578,0.0400589798493869,0.196188004174596,0.164258531494352
