"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TGFB","ZEB1","SNAIL1","MIR34","MIR200","HA","CD24","MIR190"
"GRHL2",0.308312787910596,0.308312787910596,0.308312787910596,0.308312787910596,0.308312787910596,0.307011833877638,0.01465646753453,-0.308996604257063,-0.118774458748138,-0.252698277029784,-0.252698277029784,-0.307011833877638,-0.407011833877638,-0.308312787910596
"MIR340",0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.179052977258024,0.00676482235163907,-0.180724720246079,-0.0951312777566305,-0.146851730861027,-0.146851730861027,-0.179052977258024,-0.179052977258024,-0.180229447846259
"HA",0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.179052977258024,0.00676482235163907,-0.180724720246079,-0.0951312777566305,-0.146851730861027,-0.146851730861027,-0.179052977258024,-0.179052977258024,-0.180229447846259
"CD44s",0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.179052977258024,0.00676482235163907,-0.180724720246079,-0.0951312777566305,-0.146851730861027,-0.146851730861027,-0.179052977258024,-0.179052977258024,-0.180229447846259
"ESRP1",0.179052977258024,0.179052977258024,0.179052977258024,0.179052977258024,0.179052977258024,0.277402812241522,0.00650841209522881,-0.180229447846259,-0.0950513417054714,-0.146318600624927,-0.146318600624927,-0.177402812241522,-0.177402812241522,-0.179052977258024
"SNAIL1",0.131691948995472,0.131691948995472,0.131691948995472,0.131691948995472,0.131691948995472,0.131350393018243,-0.0676250623959201,-0.131876267725091,-0.0975262475626472,-0.120423881063588,-0.120423881063588,-0.131350393018243,-0.131350393018243,-0.131691948995472
"MIR34",0.131350393018243,0.131350393018243,0.131350393018243,0.131350393018243,0.131350393018243,0.130942229752937,-0.0676250623959201,-0.131691948995472,0.00267607919506654,-0.120205062682844,-0.120205062682844,-0.130942229752937,-0.130942229752937,-0.131350393018243
"MIR190",0.130942229752937,0.130942229752937,0.130942229752937,0.130942229752937,0.130942229752937,0.129579831932773,-0.168049690846026,-0.131350393018243,0.00267607919506654,-0.119944306489884,-0.119944306489884,-0.129579831932773,-0.129579831932773,-0.130942229752937
"ZEB1",-0.180724720246079,-0.180724720246079,-0.180724720246079,-0.180724720246079,-0.180724720246079,-0.180229447846259,-0.00690351860684018,0.0810733837028279,0.0953705122063913,0.147139749294207,0.147139749294207,0.180229447846259,0.180229447846259,0.180724720246079
"TGFB",-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.130942229752937,0.0676250623959201,0.131691948995472,-0.00267607919506654,0.120205062682844,0.120205062682844,0.130942229752937,0.130942229752937,0.131350393018243
"HAS2",-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.177402812241522,-0.00650841209522881,0.180229447846259,0.0950513417054714,0.146318600624927,0.146318600624927,0.0774028122415219,0.177402812241522,0.179052977258024
"MIR1199",-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.179052977258024,-0.00676482235163907,0.180724720246079,0.0951312777566305,0.146851730861027,0.146851730861027,0.179052977258024,0.179052977258024,0.180229447846259
"CD24",-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.179052977258024,-0.00676482235163907,0.180724720246079,0.0951312777566305,0.146851730861027,0.146851730861027,0.179052977258024,0.179052977258024,0.180229447846259
"MIR200",-0.190840699461923,-0.190840699461923,-0.190840699461923,-0.190840699461923,-0.190840699461923,-0.18960816043152,0.186075508034176,0.19130930302331,-0.00418299027988058,0.238127451579562,0.238127451579562,0.18960816043152,0.18960816043152,0.190840699461923
