"","SNAIL1","MIR34","MIR1199","HAS2","GRHL2","ESRP1","HA","ZEB1","TGFB","CD44s","CD24","MIR340","MIR190","MIR200"
"MIR200",0.332441551597532,0.299116884164764,0.126568308513304,0.126568308513304,0.126568308513304,0.126568308513304,0.126486139244611,-0.126662029225582,-0.0487823283179796,-0.126486139244611,-0.126486139244611,-0.126568308513304,-0.126568308513304,-0.299116884164764
"SNAIL1",0.330756210989279,0.312285973494009,0.117501751201003,0.117501751201003,0.117501751201003,0.117501751201003,0.117463800536866,-0.117544286292453,-0.19887955698293,-0.117463800536866,-0.117463800536866,-0.117501751201003,-0.117501751201003,-0.312285973494009
"TGFB",0.430250394094995,0.311872649885937,0.117463800536866,0.117463800536866,0.117463800536866,0.117463800536866,0.117259718904213,-0.117501751201003,-0.198402230013956,-0.117259718904213,-0.117259718904213,-0.117463800536866,-0.117463800536866,-0.311872649885937
"MIR34",0.430250394094995,0.311872649885937,0.117463800536866,0.117463800536866,0.117463800536866,0.117463800536866,0.117259718904213,-0.117501751201003,-0.198402230013956,-0.117259718904213,-0.117259718904213,-0.117463800536866,-0.117463800536866,-0.311872649885937
"MIR340",0.175366887968309,0.149223779606193,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,-0.102939160331023,-0.0278069219203133,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.149223779606193
"MIR1199",0.175366887968309,0.149223779606193,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,-0.102939160331023,-0.0278069219203133,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.149223779606193
"HA",0.175366887968309,0.149223779606193,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,-0.102939160331023,-0.0278069219203133,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.149223779606193
"CD44s",0.175366887968309,0.149223779606193,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,-0.102939160331023,-0.0278069219203133,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.149223779606193
"CD24",0.175366887968309,0.149223779606193,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,-0.102939160331023,-0.0278069219203133,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.149223779606193
"HAS2",0.174807335610196,0.148842972294693,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.202564102564103,-0.102894135567403,-0.0272941014074927,-0.102564102564103,-0.102564102564103,-0.102894135567403,-0.102894135567403,-0.148842972294693
"GRHL2",0.110935947292159,0.0242572487753211,0.00122888009032884,0.00122888009032884,0.00122888009032884,0.00122888009032884,0.00131561035919268,-0.00126144277349394,-0.013139816144368,-0.00131561035919268,-0.101315610359193,-0.00122888009032884,-0.00122888009032884,-0.0242572487753211
"ZEB1",-0.17560612241807,-0.149454194352737,-0.102939160331023,-0.102939160331023,-0.102939160331023,-0.102939160331023,-0.102894135567403,0.00295576335277284,0.0280380823456484,0.102894135567403,0.102894135567403,0.102939160331023,0.102939160331023,0.149454194352737
"ESRP1",-0.174807335610196,-0.148842972294693,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102564102564103,0.102894135567403,0.0272941014074927,0.00256410256410256,0.102564102564103,0.102894135567403,0.102894135567403,0.148842972294693
"MIR190",-0.429167850116646,-0.310960003210579,-0.117259718904213,-0.117259718904213,-0.117259718904213,-0.117259718904213,-0.11698723934018,0.117463800536866,0.0973406588886908,0.11698723934018,0.11698723934018,0.117259718904213,0.117259718904213,0.310960003210579
