"","MIR340","HAS2","GRHL2","MIR200","CD44s","SNAIL1","TGFB","ZEB1","HA","CD24","MIR34","MIR190","MIR1199","ESRP1"
"SNAIL1",0.591650638632881,0.591650638632881,0.591650638632881,0.719833500920108,0.555407754382407,0.699293467418246,-0.267619186306729,-0.623027357759494,-0.555407754382407,-0.555407754382407,-0.719833500920108,-0.591650638632881,-0.591650638632881,-0.591650638632881
"MIR190",0.513775101321182,0.513775101321182,0.513775101321182,0.638252632423837,0.465546218487395,0.723323739772239,-0.34509563665611,-0.555407754382407,-0.465546218487395,-0.465546218487395,-0.638252632423837,-0.513775101321182,-0.513775101321182,-0.513775101321182
"GRHL2",0.498868307174645,0.498868307174645,0.498868307174645,0.504070149392462,0.473282877859814,0.358072765525803,-0.0532995011154684,-0.520782992944752,-0.473282877859814,-0.573282877859814,-0.504070149392462,-0.498868307174645,-0.498868307174645,-0.498868307174645
"MIR200",0.466685518828281,0.466685518828281,0.466685518828281,0.573611613266217,0.43505035038128,0.538149986639599,-0.280086706641698,-0.493958246101008,-0.43505035038128,-0.43505035038128,-0.573611613266217,-0.466685518828281,-0.466685518828281,-0.466685518828281
"MIR340",0.412546569530694,0.412546569530694,0.412546569530694,0.399494597762639,0.3880759812954,0.338715465402311,-0.0520147636026206,-0.43348308461399,-0.3880759812954,-0.3880759812954,-0.399494597762639,-0.412546569530694,-0.412546569530694,-0.412546569530694
"MIR1199",0.412546569530694,0.412546569530694,0.412546569530694,0.399494597762639,0.3880759812954,0.338715465402311,-0.0520147636026206,-0.43348308461399,-0.3880759812954,-0.3880759812954,-0.399494597762639,-0.412546569530694,-0.412546569530694,-0.412546569530694
"CD44s",0.412546569530694,0.412546569530694,0.412546569530694,0.399494597762639,0.3880759812954,0.338715465402311,-0.0520147636026206,-0.43348308461399,-0.3880759812954,-0.3880759812954,-0.399494597762639,-0.412546569530694,-0.412546569530694,-0.412546569530694
"HAS2",0.3880759812954,0.3880759812954,0.3880759812954,0.374285153741314,0.359363110008271,0.315933690821976,-0.0450916866795437,-0.412546569530694,-0.459363110008271,-0.359363110008271,-0.374285153741314,-0.3880759812954,-0.3880759812954,-0.3880759812954
"ZEB1",-0.43348308461399,-0.43348308461399,-0.43348308461399,-0.421095980251118,-0.412546569530694,-0.358751350569775,0.0577013100658661,0.351497363212695,0.412546569530694,0.412546569530694,0.421095980251118,0.43348308461399,0.43348308461399,0.43348308461399
"ESRP1",-0.3880759812954,-0.3880759812954,-0.3880759812954,-0.374285153741314,-0.459363110008271,-0.315933690821976,0.0450916866795437,0.412546569530694,0.359363110008271,0.359363110008271,0.374285153741314,0.3880759812954,0.3880759812954,0.3880759812954
"HA",-0.412546569530694,-0.412546569530694,-0.412546569530694,-0.399494597762639,-0.3880759812954,-0.338715465402311,0.0520147636026206,0.43348308461399,0.3880759812954,0.3880759812954,0.399494597762639,0.412546569530694,0.412546569530694,0.412546569530694
"CD24",-0.412546569530694,-0.412546569530694,-0.412546569530694,-0.399494597762639,-0.3880759812954,-0.338715465402311,0.0520147636026206,0.43348308461399,0.3880759812954,0.3880759812954,0.399494597762639,0.412546569530694,0.412546569530694,0.412546569530694
"TGFB",-0.555407754382407,-0.555407754382407,-0.555407754382407,-0.681929294744567,-0.513775101321182,-0.764189774954918,0.257197547484136,0.591650638632881,0.513775101321182,0.513775101321182,0.681929294744567,0.555407754382407,0.555407754382407,0.555407754382407
"MIR34",-0.555407754382407,-0.555407754382407,-0.555407754382407,-0.681929294744567,-0.513775101321182,-0.764189774954918,0.257197547484136,0.591650638632881,0.513775101321182,0.513775101321182,0.681929294744567,0.555407754382407,0.555407754382407,0.555407754382407
