"","MIR34","MIR200","ZEB1","HA","CD24","MIR1199","ESRP1","TGFB","MIR340","MIR190","HAS2","GRHL2","CD44s","SNAIL1"
"SNAIL1",-0.211786464617874,-0.211786464617874,-0.12720376496977,0.125863013688673,0.125863013688673,0.126735878963815,0.126735878963815,0.213680131952022,-0.126735878963815,-0.126735878963815,-0.126735878963815,-0.126735878963815,-0.125863013688673,0.404556147622004
"TGFB",-0.209914351804842,-0.209914351804842,-0.126735878963815,0.124842605525407,0.124842605525407,0.125863013688673,0.125863013688673,0.211373051601983,-0.125863013688673,-0.125863013688673,-0.125863013688673,-0.125863013688673,-0.124842605525407,0.500003795573446
"ZEB1",-0.120839229409405,-0.120839229409405,-0.0527880860179138,-0.0478234075341558,-0.0478234075341558,-0.0473281351343359,-0.0473281351343359,0.0297487746959936,0.0473281351343359,0.0473281351343359,0.0473281351343359,0.0473281351343359,0.0478234075341558,0.186526070708399
"HAS2",0.119235977981816,0.119235977981816,-0.0478234075341558,-0.0509511993382961,0.0490488006617039,0.0480587016518029,0.0480587016518029,-0.027937188224213,-0.0480587016518029,-0.0480587016518029,-0.0480587016518029,-0.0480587016518029,-0.0490488006617039,-0.182872582016099
"MIR340",0.120378399916317,0.120378399916317,-0.0473281351343359,0.0480587016518029,0.0480587016518029,0.0478234075341558,0.0478234075341558,-0.028962829249854,-0.0478234075341558,-0.0478234075341558,-0.0478234075341558,-0.0478234075341558,-0.0480587016518029,-0.185030855397394
"CD44s",0.120378399916317,0.120378399916317,-0.0473281351343359,0.0480587016518029,0.0480587016518029,0.0478234075341558,0.0478234075341558,-0.028962829249854,-0.0478234075341558,-0.0478234075341558,-0.0478234075341558,-0.0478234075341558,-0.0480587016518029,-0.185030855397394
"CD24",0.120378399916317,0.120378399916317,-0.0473281351343359,0.0480587016518029,0.0480587016518029,0.0478234075341558,0.0478234075341558,-0.028962829249854,-0.0478234075341558,-0.0478234075341558,-0.0478234075341558,-0.0478234075341558,-0.0480587016518029,-0.185030855397394
"MIR200",0.251179171364553,0.251179171364553,-0.037707378471353,0.0392672854129235,0.0392672854129235,0.0383634234572949,0.0383634234572949,-0.252887246805278,-0.0383634234572949,-0.0383634234572949,-0.0383634234572949,-0.0383634234572949,-0.0392672854129235,-0.359496404506998
"MIR1199",-0.120378399916317,-0.120378399916317,0.0473281351343359,-0.0480587016518029,-0.0480587016518029,-0.0478234075341558,-0.0478234075341558,0.028962829249854,0.0478234075341558,0.0478234075341558,0.0478234075341558,0.0478234075341558,0.0480587016518029,0.185030855397394
"HA",-0.120378399916317,-0.120378399916317,0.0473281351343359,-0.0480587016518029,-0.0480587016518029,-0.0478234075341558,-0.0478234075341558,0.028962829249854,0.0478234075341558,0.0478234075341558,0.0478234075341558,0.0478234075341558,0.0480587016518029,0.185030855397394
"ESRP1",-0.119235977981816,-0.119235977981816,0.0478234075341558,-0.0490488006617039,-0.0490488006617039,-0.0480587016518029,-0.0480587016518029,0.027937188224213,0.0480587016518029,0.0480587016518029,0.0480587016518029,0.0480587016518029,-0.0509511993382961,0.182872582016099
"MIR190",0.206785277489327,0.206785277489327,0.125863013688673,-0.122390289449113,-0.122390289449113,-0.124842605525407,-0.124842605525407,-0.307976024001133,0.124842605525407,0.124842605525407,0.124842605525407,0.124842605525407,0.122390289449113,-0.493237895708763
"MIR34",0.209914351804842,0.209914351804842,0.126735878963815,-0.124842605525407,-0.124842605525407,-0.125863013688673,-0.125863013688673,-0.211373051601983,0.125863013688673,0.125863013688673,0.125863013688673,0.125863013688673,0.124842605525407,-0.500003795573446
"GRHL2",-0.232278393505263,-0.232278393505263,0.164494090082009,-0.165351056307474,-0.265351056307474,-0.164917404963155,-0.164917404963155,0.0317490061641128,0.164917404963155,0.164917404963155,0.164917404963155,0.164917404963155,0.165351056307474,0.209795677649274
