"","MIR340","HAS2","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","ZEB1","TGFB","HA","CD44s","MIR190","MIR1199"
"GRHL2",0.554513845576196,0.554513845576196,0.554513845576196,0.554513845576196,0.625285744969084,0.437909777534843,0.437909777534843,0.0693809107405766,-0.567766857624389,-0.464875768602998,-0.525285744969084,-0.525285744969084,-0.554513845576196,-0.554513845576196
"MIR340",0.396262501246476,0.396262501246476,0.396262501246476,0.396262501246476,0.358144854187652,0.322702622910752,0.322702622910752,0.0463901004657764,-0.399999556626935,-0.330285612449883,-0.358144854187652,-0.358144854187652,-0.396262501246476,-0.396262501246476
"CD44s",0.396262501246476,0.396262501246476,0.396262501246476,0.396262501246476,0.358144854187652,0.322702622910752,0.322702622910752,0.0463901004657764,-0.399999556626935,-0.330285612449883,-0.358144854187652,-0.358144854187652,-0.396262501246476,-0.396262501246476
"CD24",0.396262501246476,0.396262501246476,0.396262501246476,0.396262501246476,0.358144854187652,0.322702622910752,0.322702622910752,0.0463901004657764,-0.399999556626935,-0.330285612449883,-0.358144854187652,-0.358144854187652,-0.396262501246476,-0.396262501246476
"HAS2",0.358144854187652,0.358144854187652,0.358144854187652,0.358144854187652,0.353854425144748,0.304347710496434,0.304347710496434,0.0595795489070234,-0.396262501246476,-0.322080484244755,-0.453854425144748,-0.353854425144748,-0.358144854187652,-0.358144854187652
"MIR200",0.369935118484933,0.369935118484933,0.369935118484933,0.369935118484933,0.33846428857532,0.373579628129306,0.373579628129306,-0.0389554033310678,-0.373652706738604,-0.492898920527432,-0.33846428857532,-0.33846428857532,-0.369935118484933,-0.369935118484933
"MIR190",-0.2007199295098,-0.2007199295098,-0.2007199295098,-0.2007199295098,-0.184643635231871,-0.166413833581652,-0.166413833581652,0.0149384108024377,0.204393398897555,0.301765696476147,0.184643635231871,0.184643635231871,0.2007199295098,0.2007199295098
"TGFB",-0.204393398897555,-0.204393398897555,-0.204393398897555,-0.204393398897555,-0.2007199295098,-0.170064420283086,-0.170064420283086,0.0120967328592712,0.213843114267574,0.212806036178907,0.2007199295098,0.2007199295098,0.204393398897555,0.204393398897555
"MIR34",-0.204393398897555,-0.204393398897555,-0.204393398897555,-0.204393398897555,-0.2007199295098,-0.170064420283086,-0.170064420283086,0.0120967328592712,0.213843114267574,0.212806036178907,0.2007199295098,0.2007199295098,0.204393398897555,0.204393398897555
"SNAIL1",-0.213843114267574,-0.213843114267574,-0.213843114267574,-0.213843114267574,-0.204393398897555,-0.175097243040197,-0.175097243040197,-0.0856270911164496,0.216409398118417,0.21646554294104,0.204393398897555,0.204393398897555,0.213843114267574,0.213843114267574
"ZEB1",-0.399999556626935,-0.399999556626935,-0.399999556626935,-0.399999556626935,-0.396262501246476,-0.32984548005361,-0.32984548005361,-0.0566173731930491,0.323094359881127,0.356406740512759,0.396262501246476,0.396262501246476,0.399999556626935,0.399999556626935
"ESRP1",-0.358144854187652,-0.358144854187652,-0.358144854187652,-0.358144854187652,-0.353854425144748,-0.304347710496434,-0.304347710496434,-0.0595795489070234,0.396262501246476,0.322080484244755,0.353854425144748,0.253854425144748,0.358144854187652,0.358144854187652
"MIR1199",-0.396262501246476,-0.396262501246476,-0.396262501246476,-0.396262501246476,-0.358144854187652,-0.322702622910752,-0.322702622910752,-0.0463901004657764,0.399999556626935,0.330285612449883,0.358144854187652,0.358144854187652,0.396262501246476,0.396262501246476
"HA",-0.396262501246476,-0.396262501246476,-0.396262501246476,-0.396262501246476,-0.358144854187652,-0.322702622910752,-0.322702622910752,-0.0463901004657764,0.399999556626935,0.330285612449883,0.358144854187652,0.358144854187652,0.396262501246476,0.396262501246476
