"","ZEB1","MIR340","MIR190","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","MIR1199","TGFB","MIR34","MIR200","SNAIL1"
"ZEB1",-0.0711295069222485,-0.0266290851415072,-0.0266290851415072,-0.0266290851415072,-0.0266290851415072,-0.0266290851415072,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0266290851415072,0.0278329797890692,0.0296924756606421,0.0296924756606421,0.0802595206234088
"SNAIL1",-0.0599971370039873,0.0593591106322306,0.0593591106322306,0.0593591106322306,0.0593591106322306,0.0593591106322306,-0.0609909891901054,-0.0609909891901054,-0.0609909891901054,-0.0593591106322306,-0.102309799344688,-0.072635859435295,-0.072635859435295,-0.107153166362839
"TGFB",-0.0593591106322306,0.0609909891901054,0.0609909891901054,0.0609909891901054,0.0609909891901054,0.0609909891901054,-0.0642562953125543,-0.0642562953125543,-0.0642562953125543,-0.0609909891901054,-0.105651088127504,-0.0736326987253509,-0.0736326987253509,-0.0086200353562638
"MIR34",-0.0593591106322306,0.0609909891901054,0.0609909891901054,0.0609909891901054,0.0609909891901054,0.0609909891901054,-0.0642562953125543,-0.0642562953125543,-0.0642562953125543,-0.0609909891901054,-0.105651088127504,-0.0736326987253509,-0.0736326987253509,-0.0086200353562638
"MIR1199",-0.0266290851415072,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0260437632144473,-0.0309849396850355,-0.0309849396850355,-0.0309849396850355,-0.0260437632144473,-0.0320400995301695,-0.0282523834947435,-0.0282523834947435,-0.0823528220588155
"HA",-0.0266290851415072,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0260437632144473,-0.0309849396850355,-0.0309849396850355,-0.0309849396850355,-0.0260437632144473,-0.0320400995301695,-0.0282523834947435,-0.0282523834947435,-0.0823528220588155
"CD24",-0.0266290851415072,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0260437632144473,0.0260437632144473,-0.0309849396850355,-0.0309849396850355,-0.0309849396850355,-0.0260437632144473,-0.0320400995301695,-0.0282523834947435,-0.0282523834947435,-0.0823528220588155
"ESRP1",-0.0260437632144473,0.0309849396850355,0.0309849396850355,0.0309849396850355,0.0309849396850355,0.0309849396850355,-0.0379156327543424,-0.137915632754342,-0.0379156327543424,-0.0309849396850355,-0.0394759969660669,-0.0319842951474472,-0.0319842951474472,-0.0853104559517012
"HAS2",0.0260437632144473,-0.0309849396850355,-0.0309849396850355,-0.0309849396850355,-0.0309849396850355,-0.0309849396850355,-0.0620843672456576,0.0379156327543424,0.0379156327543424,0.0309849396850355,0.0394759969660669,0.0319842951474472,0.0319842951474472,0.0853104559517012
"MIR340",0.0266290851415072,-0.0260437632144473,-0.0260437632144473,-0.0260437632144473,-0.0260437632144473,-0.0260437632144473,0.0309849396850355,0.0309849396850355,0.0309849396850355,0.0260437632144473,0.0320400995301695,0.0282523834947435,0.0282523834947435,0.0823528220588155
"CD44s",0.0266290851415072,-0.0260437632144473,-0.0260437632144473,-0.0260437632144473,-0.0260437632144473,-0.0260437632144473,0.0309849396850355,0.0309849396850355,0.0309849396850355,0.0260437632144473,0.0320400995301695,0.0282523834947435,0.0282523834947435,0.0823528220588155
"MIR200",0.0356214554279298,-0.0342156447437686,-0.0342156447437686,-0.0342156447437686,-0.0342156447437686,-0.0342156447437686,0.0377489232975895,0.0377489232975895,0.0377489232975895,0.0342156447437686,0.0512007063520047,-0.041774599981808,-0.041774599981808,0.0848001764125472
"MIR190",0.0609909891901054,-0.0642562953125543,-0.0642562953125543,-0.0642562953125543,-0.0642562953125543,-0.0642562953125543,0.0639838157485216,0.0639838157485216,0.0639838157485216,0.0642562953125543,0.00650034502771647,0.0770225292338255,0.0770225292338255,0.00875535335355744
"GRHL2",0.11792531647207,-0.118869634283858,-0.118869634283858,-0.118869634283858,-0.118869634283858,-0.118869634283858,0.124333641222279,0.124333641222279,0.0243336412222793,0.118869634283858,0.121876371525582,0.114824393429818,0.114824393429818,0.10959784083226
