"","MIR34","CD44s","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","TGFB","MIR200","MIR340","HA","CD24","SNAIL1"
"SNAIL1",-0.0391464483324625,0.369505659969104,0.3702267225877,0.3702267225877,0.3702267225877,0.3702267225877,0.3702267225877,-0.36956033948831,-0.193618311159644,-0.444486335856063,-0.3702267225877,-0.369505659969104,-0.369505659969104,0.300315063182816
"HAS2",0.154345628474374,0.0801819685690654,0.0673106814403525,0.0673106814403525,0.0673106814403525,0.0673106814403525,0.0673106814403525,-0.0658989167344701,0.0359938996547659,-0.0293853550568312,-0.0673106814403525,-0.180181968569065,-0.0801819685690654,-0.226593655758771
"MIR340",0.155031081635075,0.0673106814403525,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,-0.0611713165543711,0.037019540680407,-0.0268720268009287,-0.0658989167344701,-0.0673106814403525,-0.0673106814403525,-0.22667359180993
"MIR1199",0.155031081635075,0.0673106814403525,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,-0.0611713165543711,0.037019540680407,-0.0268720268009287,-0.0658989167344701,-0.0673106814403525,-0.0673106814403525,-0.22667359180993
"CD24",0.155031081635075,0.0673106814403525,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,-0.0611713165543711,0.037019540680407,-0.0268720268009287,-0.0658989167344701,-0.0673106814403525,-0.0673106814403525,-0.22667359180993
"ZEB1",-0.152035689930006,-0.0658989167344701,-0.0611713165543711,-0.0611713165543711,-0.0611713165543711,-0.0611713165543711,-0.0611713165543711,-0.0389449045978786,-0.0379904144668147,0.0238190314092236,0.0611713165543711,0.0658989167344701,0.0658989167344701,0.227211869321892
"GRHL2",0.0349914928669186,-0.0085108646321969,-0.0061691473728734,-0.0061691473728734,-0.0061691473728734,-0.0061691473728734,-0.0061691473728734,0.00919747690722703,0.0176157950428174,0.0283002637845877,0.0061691473728734,0.0085108646321969,-0.0914891353678031,-0.134926836682418
"HA",-0.155031081635075,-0.0673106814403525,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,0.0611713165543711,-0.037019540680407,0.0268720268009287,0.0658989167344701,0.0673106814403525,0.0673106814403525,0.22667359180993
"CD44s",-0.155031081635075,-0.0673106814403525,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,0.0611713165543711,-0.037019540680407,0.0268720268009287,0.0658989167344701,0.0673106814403525,0.0673106814403525,0.22667359180993
"ESRP1",-0.154345628474374,0.0198180314309347,-0.0673106814403525,-0.0673106814403525,-0.0673106814403525,-0.0673106814403525,-0.0673106814403525,0.0658989167344701,-0.0359938996547659,0.0293853550568312,0.0673106814403525,0.0801819685690654,0.0801819685690654,0.226593655758771
"MIR200",-0.05805692314863,-0.183525129414098,-0.184922006981888,-0.184922006981888,-0.184922006981888,-0.184922006981888,-0.184922006981888,0.182329067275546,0.202366810391283,0.261919377645793,0.184922006981888,0.183525129414098,0.183525129414098,-0.0981369153331273
"MIR190",0.0432039871376185,-0.359358854652972,-0.367260762009921,-0.367260762009921,-0.367260762009921,-0.367260762009921,-0.367260762009921,0.369505659969104,0.294679375568382,0.444751656708856,0.367260762009921,0.359358854652972,0.359358854652972,-0.405652971455421
"TGFB",0.0407268033045024,-0.367260762009921,-0.369505659969104,-0.369505659969104,-0.369505659969104,-0.369505659969104,-0.369505659969104,0.3702267225877,0.194254747118276,0.445142790998295,0.369505659969104,0.367260762009921,0.367260762009921,-0.402540657517667
"MIR34",0.0407268033045024,-0.367260762009921,-0.369505659969104,-0.369505659969104,-0.369505659969104,-0.369505659969104,-0.369505659969104,0.3702267225877,0.194254747118276,0.445142790998295,0.369505659969104,0.367260762009921,0.367260762009921,-0.402540657517667
