"","MIR340","ESRP1","HA","CD44s","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","MIR190","MIR1199","HAS2","GRHL2"
"MIR340",0.462714899369079,0.462714899369079,0.437538428780843,0.437538428780843,0.437538428780843,0.322830172163586,0.322830172163586,0.14197825558936,0.0128292256049018,-0.484191711615814,-0.462714899369079,-0.462714899369079,-0.462714899369079,-0.462714899369079
"HA",0.462714899369079,0.462714899369079,0.437538428780843,0.437538428780843,0.437538428780843,0.322830172163586,0.322830172163586,0.14197825558936,0.0128292256049018,-0.484191711615814,-0.462714899369079,-0.462714899369079,-0.462714899369079,-0.462714899369079
"CD24",0.462714899369079,0.462714899369079,0.437538428780843,0.437538428780843,0.437538428780843,0.322830172163586,0.322830172163586,0.14197825558936,0.0128292256049018,-0.484191711615814,-0.462714899369079,-0.462714899369079,-0.462714899369079,-0.462714899369079
"MIR200",0.368213519908537,0.368213519908537,0.347589033466467,0.347589033466467,0.347589033466467,0.173370710888269,0.173370710888269,0.134145156646002,0.00240544037793597,-0.383240074110349,-0.368213519908537,-0.368213519908537,-0.368213519908537,-0.368213519908537
"SNAIL1",0.0731504695673744,0.0731504695673744,0.0698487617874883,0.0698487617874883,0.0698487617874883,-0.0133918096303104,-0.0133918096303104,-0.0825271570877008,0.0703784435239865,-0.0750645486826445,-0.0731504695673744,-0.0731504695673744,-0.0731504695673744,-0.0731504695673744
"MIR34",0.0698487617874883,0.0698487617874883,0.0694405985221821,0.0694405985221821,0.0694405985221821,-0.0141941436930383,-0.0141941436930383,0.0185856400797246,0.0714922064515919,-0.0731504695673744,-0.0698487617874883,-0.0698487617874883,-0.0698487617874883,-0.0698487617874883
"MIR190",0.0694405985221821,0.0694405985221821,0.0593588546529723,0.0593588546529723,0.0593588546529723,-0.016280193236715,-0.016280193236715,0.0149320541527963,-0.030843250023992,-0.0698487617874883,-0.0694405985221821,-0.0694405985221821,-0.0694405985221821,-0.0694405985221821
"TGFB",-0.0698487617874883,-0.0698487617874883,-0.0694405985221821,-0.0694405985221821,-0.0694405985221821,0.0141941436930383,0.0141941436930383,-0.0185856400797246,-0.0714922064515919,0.0731504695673744,0.0698487617874883,0.0698487617874883,0.0698487617874883,0.0698487617874883
"ZEB1",-0.484191711615814,-0.484191711615814,-0.462714899369079,-0.462714899369079,-0.462714899369079,-0.335330172163586,-0.335330172163586,-0.145865815397972,-0.0146322769225162,0.400080803430525,0.484191711615814,0.484191711615814,0.484191711615814,0.484191711615814
"HAS2",-0.437538428780843,-0.437538428780843,-0.505525227460711,-0.405525227460711,-0.405525227460711,-0.309501916261073,-0.309501916261073,-0.13854100538952,-0.0125728153484915,0.462714899369079,0.437538428780843,0.437538428780843,0.437538428780843,0.437538428780843
"ESRP1",-0.437538428780843,-0.437538428780843,-0.405525227460711,-0.305525227460711,-0.405525227460711,-0.309501916261073,-0.309501916261073,-0.13854100538952,-0.0125728153484915,0.462714899369079,0.437538428780843,0.437538428780843,0.437538428780843,0.437538428780843
"MIR1199",-0.462714899369079,-0.462714899369079,-0.437538428780843,-0.437538428780843,-0.437538428780843,-0.322830172163586,-0.322830172163586,-0.14197825558936,-0.0128292256049018,0.484191711615814,0.462714899369079,0.462714899369079,0.462714899369079,0.462714899369079
"CD44s",-0.462714899369079,-0.462714899369079,-0.437538428780843,-0.437538428780843,-0.437538428780843,-0.322830172163586,-0.322830172163586,-0.14197825558936,-0.0128292256049018,0.484191711615814,0.462714899369079,0.462714899369079,0.462714899369079,0.462714899369079
"GRHL2",-0.598408055091371,-0.598408055091371,-0.571434941474719,-0.571434941474719,-0.671434941474719,-0.437475510785237,-0.437475510785237,-0.163716070768281,-0.0215675138900294,0.62090886915845,0.598408055091371,0.598408055091371,0.598408055091371,0.598408055091371
