"","SNAIL1","CD44s","MIR200","MIR340","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","MIR190","HA","CD24","MIR34"
"MIR34",-0.0520464952578133,0.142500485510583,0.154649603442038,0.138418852857522,0.138418852857522,0.138418852857522,0.138418852857522,0.138418852857522,-0.0872996595771163,-0.140809744698129,-0.138418852857522,-0.142500485510583,-0.142500485510583,0.00958578819688056
"MIR190",-0.0565119891685034,0.137323373793962,0.154910359634997,0.142500485510583,0.142500485510583,0.142500485510583,0.142500485510583,0.142500485510583,-0.1896351160527,-0.138418852857522,-0.142500485510583,-0.137323373793962,-0.137323373793962,0.00463142053064849
"MIR200",-0.0220907343719306,0.135019069744376,0.220725564697866,0.140195733672067,0.140195733672067,0.140195733672067,0.140195733672067,0.140195733672067,-0.195558979882917,-0.136165743044138,-0.140195733672067,-0.135019069744376,-0.135019069744376,-0.0492445799423055
"ESRP1",0.10779574087275,0.206600496277916,0.0993694035647421,0.097029539182206,0.097029539182206,0.097029539182206,0.097029539182206,0.097029539182206,0.00865124672104055,-0.102206009770441,-0.097029539182206,-0.106600496277916,-0.106600496277916,-0.12416263475087
"MIR340",0.101161048626547,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.130788681970977
"MIR1199",0.101161048626547,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.130788681970977
"HA",0.101161048626547,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.130788681970977
"CD44s",0.101161048626547,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.130788681970977
"CD24",0.101161048626547,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.130788681970977
"ZEB1",-0.105527077334681,-0.102206009770441,-0.0992727539671343,-0.0981988058082622,-0.0981988058082622,-0.0981988058082622,-0.0981988058082622,-0.0981988058082622,-0.00756230330200005,0.00080548022300564,0.0981988058082622,0.102206009770441,0.102206009770441,0.125834764920285
"HAS2",-0.10779574087275,-0.106600496277916,-0.0993694035647421,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.00865124672104055,0.102206009770441,0.097029539182206,0.00660049627791563,0.106600496277916,0.12416263475087
"SNAIL1",-0.0449186033764812,-0.138418852857522,-0.15457666398179,-0.140809744698129,-0.140809744698129,-0.140809744698129,-0.140809744698129,-0.140809744698129,0.0887316404840375,0.13898073576576,0.140809744698129,0.138418852857522,0.138418852857522,-0.00644939140621681
"TGFB",0.0520464952578133,-0.142500485510583,-0.154649603442038,-0.138418852857522,-0.138418852857522,-0.138418852857522,-0.138418852857522,-0.138418852857522,0.0872996595771163,0.140809744698129,0.138418852857522,0.142500485510583,0.142500485510583,-0.00958578819688056
"GRHL2",-0.125076363340363,-0.247717983222691,-0.211119075701172,-0.249018937255648,-0.249018937255648,-0.249018937255648,-0.249018937255648,-0.249018937255648,-0.0155491894821696,0.247553616513219,0.249018937255648,0.247717983222691,0.147717983222691,0.268275980464309
