"","MIR200","CD44s","CD24","MIR190","HAS2","ESRP1","MIR34","ZEB1","SNAIL1","MIR340","MIR1199","GRHL2","HA","TGFB"
"ESRP1",0.0909593317029499,0.160760959470637,0.0607609594706369,0.0657114545201418,0.0657114545201418,0.0657114545201418,0.0552773493617001,-0.0722996898142595,-0.0275785523365027,-0.0657114545201418,-0.0657114545201418,-0.0657114545201418,-0.0607609594706369,-0.0759043288951555
"MIR340",0.0925587224112515,0.0657114545201418,0.0657114545201418,0.0722996898142595,0.0722996898142595,0.0722996898142595,0.062208042431007,-0.0674820401069205,-0.0265393836714348,-0.0722996898142595,-0.0722996898142595,-0.0722996898142595,-0.0657114545201418,-0.0833402263310529
"HA",0.0925587224112515,0.0657114545201418,0.0657114545201418,0.0722996898142595,0.0722996898142595,0.0722996898142595,0.062208042431007,-0.0674820401069205,-0.0265393836714348,-0.0722996898142595,-0.0722996898142595,-0.0722996898142595,-0.0657114545201418,-0.0833402263310529
"CD44s",0.0925587224112515,0.0657114545201418,0.0657114545201418,0.0722996898142595,0.0722996898142595,0.0722996898142595,0.062208042431007,-0.0674820401069205,-0.0265393836714348,-0.0722996898142595,-0.0722996898142595,-0.0722996898142595,-0.0657114545201418,-0.0833402263310529
"CD24",0.0925587224112515,0.0657114545201418,0.0657114545201418,0.0722996898142595,0.0722996898142595,0.0722996898142595,0.062208042431007,-0.0674820401069205,-0.0265393836714348,-0.0722996898142595,-0.0722996898142595,-0.0722996898142595,-0.0657114545201418,-0.0833402263310529
"ZEB1",-0.0898513491393621,-0.0722996898142595,-0.0722996898142595,-0.0674820401069205,-0.0674820401069205,-0.0674820401069205,-0.0587518212328503,-0.0333315079588275,0.0279149817575592,0.0674820401069205,0.0674820401069205,0.0674820401069205,0.0722996898142595,0.0869000968812147
"MIR190",0.0990971551261406,0.0124556489262372,0.0124556489262372,0.0181777197709238,0.0181777197709238,0.0181777197709238,-0.0774683582404021,-0.0175654748729646,0.0839545361872054,-0.0181777197709238,-0.0181777197709238,-0.0181777197709238,-0.0124556489262372,-0.205386316794852
"SNAIL1",0.101107507394254,0.0175654748729646,0.0175654748729646,0.0193491560873859,0.0193491560873859,0.0193491560873859,-0.07797554266629,-0.0165843751431069,-0.0202092471862716,-0.0193491560873859,-0.0193491560873859,-0.0193491560873859,-0.0175654748729646,-0.108781317529591
"GRHL2",-0.0129047817767478,-0.0145933049211823,-0.114593304921182,-0.0110373638977651,-0.0110373638977651,-0.0110373638977651,-0.0132986867970377,0.0163450812536753,-0.0395722331222407,0.0110373638977651,0.0110373638977651,0.0110373638977651,0.0145933049211823,0.0121386105457941
"TGFB",-0.103660388502933,-0.0181777197709238,-0.0181777197709238,-0.0175654748729646,-0.0175654748729646,-0.0175654748729646,0.0828138601960736,0.0193491560873859,-0.0736703683928887,0.0175654748729646,0.0175654748729646,0.0175654748729646,0.0181777197709238,0.106235573695065
"MIR34",-0.103660388502933,-0.0181777197709238,-0.0181777197709238,-0.0175654748729646,-0.0175654748729646,-0.0175654748729646,0.0828138601960736,0.0193491560873859,-0.0736703683928887,0.0175654748729646,0.0175654748729646,0.0175654748729646,0.0181777197709238,0.106235573695065
"MIR1199",-0.0925587224112515,-0.0657114545201418,-0.0657114545201418,-0.0722996898142595,-0.0722996898142595,-0.0722996898142595,-0.062208042431007,0.0674820401069205,0.0265393836714348,0.0722996898142595,0.0722996898142595,0.0722996898142595,0.0657114545201418,0.0833402263310529
"HAS2",-0.0909593317029499,-0.0607609594706369,-0.0607609594706369,-0.0657114545201418,-0.0657114545201418,-0.0657114545201418,-0.0552773493617001,0.0722996898142595,0.0275785523365027,0.0657114545201418,0.0657114545201418,0.0657114545201418,-0.0392390405293631,0.0759043288951555
"MIR200",0.00891361556942218,-0.0831977355870651,-0.0831977355870651,-0.0860736599913379,-0.0860736599913379,-0.0860736599913379,-0.177964869726351,0.0829183960113316,0.0878755703962256,0.0860736599913379,0.0860736599913379,0.0860736599913379,0.0831977355870651,-0.113770176678972
