"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","MIR200","TGFB","ZEB1","SNAIL1","MIR34","HA","CD24"
"MIR1199",0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.189056253019843,0.185006943986955,-0.00689508865553882,-0.192865983665816,-0.0975273691610714,-0.154942478526615,-0.189056253019843,-0.189056253019843
"CD44s",0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.189056253019843,0.185006943986955,-0.00689508865553882,-0.192865983665816,-0.0975273691610714,-0.154942478526615,-0.189056253019843,-0.189056253019843
"CD24",0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.189056253019843,0.185006943986955,-0.00689508865553882,-0.192865983665816,-0.0975273691610714,-0.154942478526615,-0.189056253019843,-0.189056253019843
"HAS2",0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.188726220016543,0.181579678183452,-0.00715149891194907,-0.192820958902196,-0.0980869215191849,-0.153495410742914,-0.288726220016543,-0.188726220016543
"ESRP1",0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.288726220016543,0.181579678183452,-0.00715149891194907,-0.192820958902196,-0.0980869215191849,-0.153495410742914,-0.188726220016543,-0.188726220016543
"MIR200",0.175251285276559,0.175251285276559,0.175251285276559,0.175251285276559,0.175251285276559,0.175251285276559,0.17385440770877,0.246046317721272,-0.19881239516109,-0.175907330262501,-0.104633346286356,-0.047785701133183,-0.17385440770877,-0.17385440770877
"GRHL2",0.0469821890557284,0.0469821890557284,0.0469821890557284,0.0469821890557284,0.0469821890557284,0.0469821890557284,0.0442935507209496,0.0495498315195831,-0.00513062065023413,-0.0459727458776106,-0.0735492254189959,-0.027565958548418,-0.0442935507209496,-0.14429355072095
"TGFB",0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.038011874443995,-0.0346171083786265,0.070268309514967,-0.0371475287056997,0.0125074927784285,-0.0766281146311909,-0.038011874443995,-0.038011874443995
"MIR34",0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.038011874443995,-0.0346171083786265,0.070268309514967,-0.0371475287056997,0.0125074927784285,-0.0766281146311909,-0.038011874443995,-0.038011874443995
"SNAIL1",0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0359710581174644,-0.0338147743158985,0.070268309514967,-0.0367647128826456,-0.0870878537061441,-0.0773331960802548,-0.0359710581174644,-0.0359710581174644
"MIR190",0.038011874443995,0.038011874443995,0.038011874443995,0.038011874443995,0.038011874443995,0.038011874443995,0.0339246809835045,-0.0333133274138286,0.170905252190126,-0.0359710581174644,0.0126428107757222,-0.0779318955959888,-0.0339246809835045,-0.0339246809835045
"ZEB1",-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192820958902196,-0.184834132927047,0.00749610576141029,0.0942772405145623,0.0982450725103537,0.155172893273159,0.192820958902196,0.192820958902196
"MIR340",-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.189056253019843,-0.185006943986955,0.00689508865553882,0.192865983665816,0.0975273691610714,0.154942478526615,0.189056253019843,0.189056253019843
"HA",-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.189056253019843,-0.185006943986955,0.00689508865553882,0.192865983665816,0.0975273691610714,0.154942478526615,0.189056253019843,0.189056253019843
