"","MIR200","TGFB","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","SNAIL1","HA","CD44s","CD24","MIR340","MIR34"
"MIR200",0.19573574582211,0.296903529462133,0.0921573946334515,0.0921573946334515,0.0921573946334515,0.0921573946334515,0.0921573946334515,-0.0921886348708773,-0.0518321133661062,-0.092239563902145,-0.092239563902145,-0.092239563902145,-0.0921573946334515,-0.19573574582211
"TGFB",0.101060654857756,0.129659545679984,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0879392495720662,-0.0879772002362028,-0.0190951880455148,-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.0879392495720662,-0.101060654857756
"MIR34",0.101060654857756,0.129659545679984,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0879392495720662,-0.0879772002362028,-0.0190951880455148,-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.0879392495720662,-0.101060654857756
"MIR190",0.101060654857756,0.229871859905037,0.0881433312047193,0.0881433312047193,0.0881433312047193,0.0881433312047193,0.0881433312047193,-0.0879392495720662,-0.0190951880455148,-0.088415810768752,-0.088415810768752,-0.088415810768752,-0.0881433312047193,-0.101060654857756
"MIR340",0.0952047743711571,0.0850910668571913,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0952047743711571
"MIR1199",0.0952047743711571,0.0850910668571913,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0952047743711571
"CD44s",0.0952047743711571,0.0850910668571913,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0952047743711571
"CD24",0.0952047743711571,0.0850910668571913,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0952047743711571
"HAS2",0.0951286129088571,0.0856038873700118,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0615740035542016,0.025221893578563,-0.162564102564103,-0.0625641025641026,-0.0625641025641026,-0.0615740035542016,-0.0951286129088571
"ZEB1",-0.0952623780577931,-0.0851372989422583,-0.0617090778450615,-0.0617090778450615,-0.0617090778450615,-0.0617090778450615,-0.0617090778450615,-0.0382411130896886,-0.0254214468546024,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0617090778450615,0.0952623780577931
"ESRP1",-0.0951286129088571,-0.0856038873700118,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,0.0615740035542016,-0.025221893578563,0.0625641025641026,-0.0374358974358974,0.0625641025641026,0.0615740035542016,0.0951286129088571
"HA",-0.0952047743711571,-0.0850910668571913,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,0.0617090778450615,-0.0253018296297221,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0952047743711571
"SNAIL1",-0.101084968011172,-0.129579991185155,-0.0879772002362028,-0.0879772002362028,-0.0879772002362028,-0.0879772002362028,-0.0879772002362028,0.0880197353276533,-0.0809553936439136,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0879772002362028,0.101084968011172
"GRHL2",-0.183654839136767,-0.183034306418327,-0.179735475776224,-0.179735475776224,-0.179735475776224,-0.179735475776224,-0.179735475776224,0.179833163825719,-0.0474156176543624,0.179995666582815,0.179995666582815,0.079995666582815,0.179735475776224,0.183654839136767
