"","MIR340","MIR190","MIR1199","ESRP1","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","CD24","HAS2","GRHL2"
"MIR200",0.190840699461923,0.190840699461923,0.190840699461923,0.190840699461923,0.238127451579562,0.238127451579562,-0.00418299027988058,0.186075508034176,-0.19130930302331,-0.18960816043152,-0.18960816043152,-0.18960816043152,-0.190840699461923,-0.190840699461923
"MIR340",0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.146851730861027,0.146851730861027,0.0951312777566305,-0.00676482235163907,-0.180724720246079,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.180229447846259,-0.180229447846259
"MIR1199",0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.146851730861027,0.146851730861027,0.0951312777566305,-0.00676482235163907,-0.180724720246079,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.180229447846259,-0.180229447846259
"CD44s",0.180229447846259,0.180229447846259,0.180229447846259,0.180229447846259,0.146851730861027,0.146851730861027,0.0951312777566305,-0.00676482235163907,-0.180724720246079,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.180229447846259,-0.180229447846259
"TGFB",0.131350393018243,0.131350393018243,0.131350393018243,0.131350393018243,0.120205062682844,0.120205062682844,-0.00267607919506654,0.0676250623959201,-0.131691948995472,-0.130942229752937,-0.130942229752937,-0.130942229752937,-0.131350393018243,-0.131350393018243
"GRHL2",0.0398488648733799,0.0398488648733799,0.0398488648733799,0.0398488648733799,0.0232805006261155,0.0232805006261155,0.0726343932452728,-0.00519631331950927,-0.039881427556545,-0.0394152135290608,-0.0394152135290608,0.0605847864709392,-0.0398488648733799,-0.0398488648733799
"ZEB1",-0.180724720246079,-0.180724720246079,-0.180724720246079,-0.180724720246079,-0.147139749294207,-0.147139749294207,-0.0953705122063913,0.00690351860684018,0.0810733837028279,0.180229447846259,0.180229447846259,0.180229447846259,0.180724720246079,0.180724720246079
"MIR190",-0.130942229752937,-0.130942229752937,-0.130942229752937,-0.130942229752937,-0.119944306489884,-0.119944306489884,0.00267607919506654,-0.168049690846026,0.131350393018243,0.129579831932773,0.129579831932773,0.129579831932773,0.130942229752937,0.130942229752937
"MIR34",-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.120205062682844,-0.120205062682844,0.00267607919506654,-0.0676250623959201,0.131691948995472,0.130942229752937,0.130942229752937,0.130942229752937,0.131350393018243,0.131350393018243
"SNAIL1",-0.131691948995472,-0.131691948995472,-0.131691948995472,-0.131691948995472,-0.120423881063588,-0.120423881063588,-0.0975262475626472,-0.0676250623959201,0.131876267725091,0.131350393018243,0.131350393018243,0.131350393018243,0.131691948995472,0.131691948995472
"HAS2",-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.146318600624927,-0.146318600624927,-0.0950513417054714,0.00650841209522881,0.180229447846259,0.277402812241522,0.177402812241522,0.177402812241522,0.179052977258024,0.179052977258024
"ESRP1",-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.179052977258024,-0.146318600624927,-0.146318600624927,-0.0950513417054714,0.00650841209522881,0.180229447846259,0.177402812241522,0.0774028122415219,0.177402812241522,0.179052977258024,0.179052977258024
"HA",-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.146851730861027,-0.146851730861027,-0.0951312777566305,0.00676482235163907,0.180724720246079,0.179052977258024,0.179052977258024,0.179052977258024,0.180229447846259,0.180229447846259
"CD24",-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.180229447846259,-0.146851730861027,-0.146851730861027,-0.0951312777566305,0.00676482235163907,0.180724720246079,0.179052977258024,0.179052977258024,0.179052977258024,0.180229447846259,0.180229447846259
