"","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1","ZEB1","TGFB","HA","CD44s","CD24","MIR200"
"MIR200",-0.00481476436945745,0.0842199268941355,0.0842199268941355,0.0842199268941355,0.0842199268941355,0.0842199268941355,0.0842199268941355,0.0870787074261254,-0.0845010890309678,-0.195650172615713,-0.083973419088055,-0.083973419088055,-0.083973419088055,0.00481476436945745
"MIR190",-0.0288996744272377,0.0720552659453124,0.0720552659453124,0.0720552659453124,0.0720552659453124,0.0720552659453124,0.0720552659453124,0.0279118318048081,-0.0732797557412308,-0.175759517966576,-0.0728727046374105,-0.0728727046374105,-0.0728727046374105,0.0288996744272377
"MIR34",-0.0273351372694803,0.0732797557412308,0.0732797557412308,0.0732797557412308,0.0732797557412308,0.0732797557412308,0.0732797557412308,0.0298062837669191,-0.0730141010922744,-0.0749102610663634,-0.0720552659453124,-0.0720552659453124,-0.0720552659453124,0.0273351372694803
"SNAIL1",-0.0281860976390402,0.0730141010922744,0.0730141010922744,0.0730141010922744,0.0730141010922744,0.0730141010922744,0.0730141010922744,-0.0704972063696515,-0.0729432092731904,-0.0744329340973897,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,0.0281860976390402
"ESRP1",0.0663405419343266,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0564028473781211,-0.0642931691213202,-0.00209664738934646,-0.0625971877584781,-0.162597187758478,-0.0625971877584781,-0.0663405419343266
"HA",0.0664167033966267,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0569623997362346,-0.0641580948304603,-0.00107100636370544,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0664167033966267
"CD24",0.0664167033966267,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0569623997362346,-0.0641580948304603,-0.00107100636370544,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0664167033966267
"ZEB1",-0.066128684963447,-0.0641580948304603,-0.0641580948304603,-0.0641580948304603,-0.0641580948304603,-0.0641580948304603,-0.0641580948304603,-0.0565437394491533,-0.0358917142347896,0.00130216678904062,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.066128684963447
"GRHL2",-0.0231166803132476,-0.0175074751232684,-0.0175074751232684,-0.0175074751232684,-0.0175074751232684,-0.0175074751232684,-0.0175074751232684,0.0545708491334746,0.0178005392717543,-0.00186487234932915,0.0177676659298599,0.0177676659298599,-0.0822323340701401,0.0231166803132476
"MIR340",-0.0664167033966267,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0569623997362346,0.0641580948304603,0.00107100636370544,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0664167033966267
"MIR1199",-0.0664167033966267,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0569623997362346,0.0641580948304603,0.00107100636370544,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0664167033966267
"CD44s",-0.0664167033966267,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0569623997362346,0.0641580948304603,0.00107100636370544,0.0635872867683791,0.0635872867683791,0.0635872867683791,0.0664167033966267
"HAS2",-0.0663405419343266,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0564028473781211,0.0642931691213202,0.00209664738934646,-0.0374028122415219,0.0625971877584781,0.0625971877584781,0.0663405419343266
"TGFB",0.0273351372694803,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0298062837669191,0.0730141010922744,0.0749102610663634,0.0720552659453124,0.0720552659453124,0.0720552659453124,-0.0273351372694803
