"","MIR340","MIR190","MIR1199","HAS2","CD24","MIR34","MIR200","SNAIL1","ZEB1","TGFB","HA","CD44s","GRHL2","ESRP1"
"MIR340",0.15920395326644,0.15920395326644,0.15920395326644,0.15920395326644,0.162968659148793,0.132284409838942,0.132284409838942,-0.0354662329781453,-0.16186041432002,-0.139484360342598,-0.162968659148793,-0.162968659148793,-0.15920395326644,-0.15920395326644
"HA",0.15920395326644,0.15920395326644,0.15920395326644,0.15920395326644,0.162968659148793,0.132284409838942,0.132284409838942,-0.0354662329781453,-0.16186041432002,-0.139484360342598,-0.162968659148793,-0.162968659148793,-0.15920395326644,-0.15920395326644
"TGFB",0.140443069144097,0.140443069144097,0.140443069144097,0.140443069144097,0.142892048735934,0.155859069623981,0.155859069623981,-0.0584604149697057,-0.141467737075786,-0.187551902970411,-0.142892048735934,-0.142892048735934,-0.140443069144097,-0.140443069144097
"MIR34",0.140443069144097,0.140443069144097,0.140443069144097,0.140443069144097,0.142892048735934,0.155859069623981,0.155859069623981,-0.0584604149697057,-0.141467737075786,-0.187551902970411,-0.142892048735934,-0.142892048735934,-0.140443069144097,-0.140443069144097
"MIR200",0.115977994322386,0.115977994322386,0.115977994322386,0.115977994322386,0.119839949950981,0.00597327616655247,0.00597327616655247,0.0627528649083765,-0.118570934028728,-0.107249471059957,-0.119839949950981,-0.119839949950981,-0.115977994322386,-0.115977994322386
"GRHL2",-0.0283544124174354,-0.0283544124174354,-0.0283544124174354,-0.0283544124174354,-0.13208381397858,-0.0280211778663552,-0.0280211778663552,0.0409931573053415,0.0313176165854589,0.0260032407397133,0.0320838139785802,0.0320838139785802,0.0283544124174354,0.0283544124174354
"ZEB1",-0.16186041432002,-0.16186041432002,-0.16186041432002,-0.16186041432002,-0.15920395326644,-0.130095469746776,-0.130095469746776,0.0417461372843653,0.0597186245142752,0.140270305788737,0.15920395326644,0.15920395326644,0.16186041432002,0.16186041432002
"MIR190",-0.142892048735934,-0.142892048735934,-0.142892048735934,-0.142892048735934,-0.138804855275444,-0.157945119167657,-0.157945119167657,0.0562953270130074,0.140443069144097,0.0847918180447211,0.138804855275444,0.138804855275444,0.142892048735934,0.142892048735934
"SNAIL1",-0.141467737075786,-0.141467737075786,-0.141467737075786,-0.141467737075786,-0.140443069144097,-0.157293545675525,-0.157293545675525,-0.0438157610545736,0.14091478088693,0.1853243771152,0.140443069144097,0.140443069144097,0.141467737075786,0.141467737075786
"HAS2",-0.162968659148793,-0.162968659148793,-0.162968659148793,-0.162968659148793,-0.15933829611249,-0.128552498186239,-0.128552498186239,0.0462575998846201,0.15920395326644,0.142817693675931,0.0593382961124897,0.15933829611249,0.162968659148793,0.162968659148793
"ESRP1",-0.162968659148793,-0.162968659148793,-0.162968659148793,-0.162968659148793,-0.15933829611249,-0.128552498186239,-0.128552498186239,0.0462575998846201,0.15920395326644,0.142817693675931,0.15933829611249,0.25933829611249,0.162968659148793,0.162968659148793
"MIR1199",-0.15920395326644,-0.15920395326644,-0.15920395326644,-0.15920395326644,-0.162968659148793,-0.132284409838942,-0.132284409838942,0.0354662329781453,0.16186041432002,0.139484360342598,0.162968659148793,0.162968659148793,0.15920395326644,0.15920395326644
"CD44s",-0.15920395326644,-0.15920395326644,-0.15920395326644,-0.15920395326644,-0.162968659148793,-0.132284409838942,-0.132284409838942,0.0354662329781453,0.16186041432002,0.139484360342598,0.162968659148793,0.162968659148793,0.15920395326644,0.15920395326644
"CD24",-0.15920395326644,-0.15920395326644,-0.15920395326644,-0.15920395326644,-0.162968659148793,-0.132284409838942,-0.132284409838942,0.0354662329781453,0.16186041432002,0.139484360342598,0.162968659148793,0.162968659148793,0.15920395326644,0.15920395326644
