"","MIR1199","HAS2","GRHL2","ESRP1","HA","MIR34","MIR200","SNAIL1","TGFB","ZEB1","CD44s","CD24","MIR340","MIR190"
"MIR1199",0.456528114466679,0.456528114466679,0.456528114466679,0.456528114466679,0.436292820349032,0.339178360701751,0.339178360701751,-0.0545923679828547,-0.359852210395997,-0.480436263948895,-0.436292820349032,-0.436292820349032,-0.456528114466679,-0.456528114466679
"HA",0.456528114466679,0.456528114466679,0.456528114466679,0.456528114466679,0.436292820349032,0.339178360701751,0.339178360701751,-0.0545923679828547,-0.359852210395997,-0.480436263948895,-0.436292820349032,-0.436292820349032,-0.456528114466679,-0.456528114466679
"CD24",0.456528114466679,0.456528114466679,0.456528114466679,0.456528114466679,0.436292820349032,0.339178360701751,0.339178360701751,-0.0545923679828547,-0.359852210395997,-0.480436263948895,-0.436292820349032,-0.436292820349032,-0.456528114466679,-0.456528114466679
"HAS2",0.436292820349032,0.436292820349032,0.436292820349032,0.436292820349032,0.502299421009098,0.314882854228026,0.314882854228026,-0.0749760610284182,-0.34318554372933,-0.456528114466679,-0.402299421009098,-0.402299421009098,-0.436292820349032,-0.436292820349032
"ESRP1",0.436292820349032,0.436292820349032,0.436292820349032,0.436292820349032,0.402299421009098,0.314882854228026,0.314882854228026,-0.0749760610284182,-0.34318554372933,-0.456528114466679,-0.502299421009098,-0.402299421009098,-0.436292820349032,-0.436292820349032
"MIR200",0.3017716321736,0.3017716321736,0.3017716321736,0.3017716321736,0.294294228722491,0.129908315844026,0.129908315844026,0.0522644756199002,-0.244504359494721,-0.316673225425709,-0.294294228722491,-0.294294228722491,-0.3017716321736,-0.3017716321736
"TGFB",0.243889794488792,0.243889794488792,0.243889794488792,0.243889794488792,0.238379590407159,0.220617196164622,0.220617196164622,-0.0676178491163922,-0.262253184094838,-0.255161141737368,-0.238379590407159,-0.238379590407159,-0.243889794488792,-0.243889794488792
"MIR34",0.243889794488792,0.243889794488792,0.243889794488792,0.243889794488792,0.238379590407159,0.220617196164622,0.220617196164622,-0.0676178491163922,-0.262253184094838,-0.255161141737368,-0.238379590407159,-0.238379590407159,-0.243889794488792,-0.243889794488792
"MIR190",0.238379590407159,0.238379590407159,0.238379590407159,0.238379590407159,0.21630874572051,0.219965305682223,0.219965305682223,-0.0590928152868929,-0.14378184651522,-0.243889794488792,-0.21630874572051,-0.21630874572051,-0.238379590407159,-0.238379590407159
"GRHL2",0.167968101283182,0.167968101283182,0.167968101283182,0.167968101283182,0.161983712731577,0.132916265023258,0.132916265023258,-0.0472979749369883,-0.134343964744934,-0.17965810453945,-0.161983712731577,-0.261983712731577,-0.167968101283182,-0.167968101283182
"SNAIL1",-0.255161141737368,-0.255161141737368,-0.255161141737368,-0.255161141737368,-0.243889794488792,-0.230901660059589,-0.230901660059589,-0.0397164958507297,0.264798927929365,0.260534741623942,0.243889794488792,0.243889794488792,0.255161141737368,0.255161141737368
"ZEB1",-0.480436263948895,-0.480436263948895,-0.480436263948895,-0.480436263948895,-0.456528114466679,-0.347127669457511,-0.347127669457511,0.0678698799445772,0.382552164163912,0.391776127804116,0.456528114466679,0.456528114466679,0.480436263948895,0.480436263948895
"MIR340",-0.456528114466679,-0.456528114466679,-0.456528114466679,-0.456528114466679,-0.436292820349032,-0.339178360701751,-0.339178360701751,0.0545923679828547,0.359852210395997,0.480436263948895,0.436292820349032,0.436292820349032,0.456528114466679,0.456528114466679
"CD44s",-0.456528114466679,-0.456528114466679,-0.456528114466679,-0.456528114466679,-0.436292820349032,-0.339178360701751,-0.339178360701751,0.0545923679828547,0.359852210395997,0.480436263948895,0.436292820349032,0.436292820349032,0.456528114466679,0.456528114466679
