"","ZEB1","CD24","MIR340","MIR190","MIR1199","ESRP1","MIR34","TGFB","MIR200","HAS2","GRHL2","HA","CD44s","SNAIL1"
"SNAIL1",-0.173035949952756,0.169901073356984,0.172823274495504,0.172823274495504,0.172823274495504,0.172823274495504,0.194516123858552,0.109209047463142,-0.194516123858552,-0.172823274495504,-0.172823274495504,-0.169901073356984,-0.169901073356984,0.00493120749170194
"MIR190",-0.169901073356984,0.162346716464363,0.164799032540658,0.164799032540658,0.164799032540658,0.164799032540658,0.187329510737881,0.00459235318042436,-0.187329510737881,-0.164799032540658,-0.164799032540658,-0.162346716464363,-0.162346716464363,0.108980343598883
"ZEB1",-0.0537445609624438,-0.0479768008621034,-0.0473014294078036,-0.0473014294078036,-0.0473014294078036,-0.0473014294078036,-0.0437038604046145,0.0141178443090993,0.0437038604046145,0.0473014294078036,0.0473014294078036,0.0479768008621034,0.0479768008621034,0.110218286500502
"HAS2",-0.0479768008621034,0.0422746071133168,0.0465650361562211,0.0465650361562211,0.0465650361562211,0.0465650361562211,0.0452777177194491,-0.0140296477160483,-0.0452777177194491,-0.0465650361562211,-0.0465650361562211,0.0577253928866832,-0.0422746071133168,-0.106064480358813
"MIR340",-0.0473014294078036,0.0465650361562211,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0452015562571491,-0.0135168272032278,-0.0452015562571491,-0.0479768008621034,-0.0479768008621034,-0.0465650361562211,-0.0465650361562211,-0.109022114251698
"HA",-0.0473014294078036,0.0465650361562211,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0452015562571491,-0.0135168272032278,-0.0452015562571491,-0.0479768008621034,-0.0479768008621034,-0.0465650361562211,-0.0465650361562211,-0.109022114251698
"CD44s",-0.0473014294078036,0.0465650361562211,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0452015562571491,-0.0135168272032278,-0.0452015562571491,-0.0479768008621034,-0.0479768008621034,-0.0465650361562211,-0.0465650361562211,-0.109022114251698
"CD24",-0.0473014294078036,0.0465650361562211,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0479768008621034,0.0452015562571491,-0.0135168272032278,-0.0452015562571491,-0.0479768008621034,-0.0479768008621034,-0.0465650361562211,-0.0465650361562211,-0.109022114251698
"GRHL2",0.0183371846701816,-0.11737126195586,-0.0174579922247241,-0.0174579922247241,-0.0174579922247241,-0.0174579922247241,-0.0247181952686429,-0.00629811402363407,0.0247181952686429,0.0174579922247241,0.0174579922247241,0.0173712619558603,0.0173712619558603,-0.0802956310156777
"MIR200",0.0208950102594425,-0.0226791178860393,-0.0229256256921198,-0.0229256256921198,-0.0229256256921198,-0.0229256256921198,0.0632544383562999,0.00936454081973122,-0.0632544383562999,0.0229256256921198,0.0229256256921198,0.0226791178860393,0.0226791178860393,0.16974629382328
"MIR1199",0.0473014294078036,-0.0465650361562211,-0.0479768008621034,-0.0479768008621034,-0.0479768008621034,-0.0479768008621034,-0.0452015562571491,0.0135168272032278,0.0452015562571491,0.0479768008621034,0.0479768008621034,0.0465650361562211,0.0465650361562211,0.109022114251698
"ESRP1",0.0479768008621034,-0.0422746071133168,-0.0465650361562211,-0.0465650361562211,-0.0465650361562211,-0.0465650361562211,-0.0452777177194491,0.0140296477160483,0.0452777177194491,0.0465650361562211,0.0465650361562211,0.0422746071133168,-0.0577253928866832,0.106064480358813
"TGFB",0.172823274495504,-0.164799032540658,-0.169901073356984,-0.169901073356984,-0.169901073356984,-0.169901073356984,-0.192935768886512,-0.107777066556221,0.192935768886512,0.169901073356984,0.169901073356984,0.164799032540658,0.164799032540658,-0.108168435615121
"MIR34",0.172823274495504,-0.164799032540658,-0.169901073356984,-0.169901073356984,-0.169901073356984,-0.169901073356984,-0.192935768886512,-0.107777066556221,0.192935768886512,0.169901073356984,0.169901073356984,0.164799032540658,0.164799032540658,-0.108168435615121
