"","MIR34","MIR340","MIR190","ESRP1","ZEB1","HA","CD24","MIR200","SNAIL1","TGFB","CD44s","MIR1199","HAS2","GRHL2"
"MIR1199",0.0689054127571287,0.043353400264855,0.043353400264855,0.043353400264855,-0.0522232786979932,0.0325298708530903,0.0325298708530903,0.0339797602718889,0.0143593089226498,-0.0277352466481462,-0.0325298708530903,-0.043353400264855,-0.043353400264855,-0.043353400264855
"CD44s",0.0689054127571287,0.043353400264855,0.043353400264855,0.043353400264855,-0.0522232786979932,0.0325298708530903,0.0325298708530903,0.0339797602718889,0.0143593089226498,-0.0277352466481462,-0.0325298708530903,-0.043353400264855,-0.043353400264855,-0.043353400264855
"CD24",0.0689054127571287,0.043353400264855,0.043353400264855,0.043353400264855,-0.0522232786979932,0.0325298708530903,0.0325298708530903,0.0339797602718889,0.0143593089226498,-0.0277352466481462,-0.0325298708530903,-0.043353400264855,-0.043353400264855,-0.043353400264855
"ZEB1",-0.0721312192087416,-0.0522232786979932,-0.0522232786979932,-0.0522232786979932,-0.0513795770217478,-0.043353400264855,-0.043353400264855,-0.0421018800875571,-0.0187253376307838,0.0349936840036709,0.043353400264855,0.0522232786979932,0.0522232786979932,0.0522232786979932
"HAS2",0.0598421987434196,0.0325298708530903,0.0325298708530903,0.0325298708530903,-0.043353400264855,-0.0545988420181969,0.0454011579818031,0.029029265222384,0.00756474457412865,-0.0420942210071206,-0.0454011579818031,-0.0325298708530903,-0.0325298708530903,-0.0325298708530903
"TGFB",-0.0505722941839123,-0.00157226560015468,-0.00157226560015468,-0.00157226560015468,-0.00393058069965556,-0.00585797988586897,-0.00585797988586897,0.0498036485238417,0.00372506657363966,-0.064153948144868,0.00585797988586897,0.00157226560015468,0.00157226560015468,0.00157226560015468
"MIR34",-0.0505722941839123,-0.00157226560015468,-0.00157226560015468,-0.00157226560015468,-0.00393058069965556,-0.00585797988586897,-0.00585797988586897,0.0498036485238417,0.00372506657363966,-0.064153948144868,0.00585797988586897,0.00157226560015468,0.00157226560015468,0.00157226560015468
"SNAIL1",-0.0482625446093924,0.00393058069965556,0.00393058069965556,0.00393058069965556,-0.00326419760026523,-0.00157226560015468,-0.00157226560015468,0.0545447134399613,-0.0932906137500832,-0.066063256020763,0.00157226560015468,-0.00393058069965556,-0.00393058069965556,-0.00393058069965556
"MIR190",0.0556570399466241,0.00585797988586897,0.00585797988586897,0.00585797988586897,-0.00157226560015468,-0.00367880485527544,-0.00367880485527544,-0.0494125142344023,-0.000342116641298656,-0.0262919117277434,0.00367880485527544,-0.00585797988586897,-0.00585797988586897,-0.00585797988586897
"GRHL2",-0.0257338287522982,-0.0256000821139506,-0.0256000821139506,-0.0256000821139506,0.0221810003816159,-0.0369617473351128,-0.136961747335113,-0.0324818439822276,0.0359725593795183,0.040477302615599,0.0369617473351128,0.0256000821139506,0.0256000821139506,0.0256000821139506
"ESRP1",-0.0598421987434196,-0.0325298708530903,-0.0325298708530903,-0.0325298708530903,0.043353400264855,-0.0454011579818031,-0.0454011579818031,-0.029029265222384,-0.00756474457412865,0.0420942210071206,-0.0545988420181969,0.0325298708530903,0.0325298708530903,0.0325298708530903
"MIR200",0.0162119764794082,-0.039506321436689,-0.039506321436689,-0.039506321436689,0.0469727381814563,-0.0348226731211591,-0.0348226731211591,-0.137106326789376,-0.0516171491293823,0.0351193231449246,0.0348226731211591,0.039506321436689,0.039506321436689,0.039506321436689
"MIR340",-0.0689054127571287,-0.043353400264855,-0.043353400264855,-0.043353400264855,0.0522232786979932,-0.0325298708530903,-0.0325298708530903,-0.0339797602718889,-0.0143593089226498,0.0277352466481462,0.0325298708530903,0.043353400264855,0.043353400264855,0.043353400264855
"HA",-0.0689054127571287,-0.043353400264855,-0.043353400264855,-0.043353400264855,0.0522232786979932,-0.0325298708530903,-0.0325298708530903,-0.0339797602718889,-0.0143593089226498,0.0277352466481462,0.0325298708530903,0.043353400264855,0.043353400264855,0.043353400264855
