"","MIR200","TGFB","HAS2","GRHL2","MIR34","ZEB1","MIR340","MIR190","MIR1199","ESRP1","HA","CD44s","CD24","SNAIL1"
"MIR200",0.228677535082153,0.326653415940197,0.123325546324799,0.123325546324799,0.00456594484642945,-0.123044384187967,-0.123325546324799,-0.123325546324799,-0.123325546324799,-0.123325546324799,-0.122750361443945,-0.122750361443945,-0.122750361443945,-0.129180007116085
"HAS2",0.157094618293286,0.141929508819995,0.110000737046409,0.110000737046409,0.0824049276657489,-0.112118384105233,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.213631100082713,-0.113631100082713,-0.113631100082713,-0.141012807645339
"ESRP1",0.157094618293286,0.141929508819995,0.110000737046409,0.110000737046409,0.0824049276657489,-0.112118384105233,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.113631100082713,-0.013631100082713,-0.113631100082713,-0.141012807645339
"MIR1199",0.158389363152388,0.139365406255892,0.112118384105233,0.112118384105233,0.0838519954494504,-0.110902715487493,-0.112118384105233,-0.112118384105233,-0.112118384105233,-0.112118384105233,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.141252615798816
"CD44s",0.158389363152388,0.139365406255892,0.112118384105233,0.112118384105233,0.0838519954494504,-0.110902715487493,-0.112118384105233,-0.112118384105233,-0.112118384105233,-0.112118384105233,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.141252615798816
"CD24",0.158389363152388,0.139365406255892,0.112118384105233,0.112118384105233,0.0838519954494504,-0.110902715487493,-0.112118384105233,-0.112118384105233,-0.112118384105233,-0.112118384105233,-0.110000737046409,-0.110000737046409,-0.110000737046409,-0.141252615798816
"SNAIL1",-0.0377039388618786,-0.0496117239304759,0.0275147667888071,0.0275147667888071,0.0697303392508046,-0.0268767404170504,-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,-0.026414197528845,-0.026414197528845,-0.026414197528845,-0.0912822498558018
"MIR190",-0.0371869911357924,-0.150515199499139,0.0282509322227226,0.0282509322227226,0.0701500343632268,-0.026414197528845,-0.0282509322227226,-0.0282509322227226,-0.0282509322227226,-0.0282509322227226,-0.0252536570183629,-0.0252536570183629,-0.0252536570183629,0.00873417721518988
"GRHL2",0.0363029486723368,0.0258938979549211,0.0157867519196712,0.0157867519196712,-0.000546788936086906,-0.014321431177242,-0.0157867519196712,-0.0157867519196712,-0.0157867519196712,-0.0157867519196712,-0.01327157412262,-0.01327157412262,-0.11327157412262,-0.0947390524467221
"ZEB1",-0.157698118912756,-0.140983529233239,-0.110902715487493,-0.110902715487493,-0.0829879401499112,0.0116166454227413,0.110902715487493,0.110902715487493,0.110902715487493,0.110902715487493,0.112118384105233,0.112118384105233,0.112118384105233,0.141132998573936
"TGFB",0.0383603940041106,0.0481797430235547,-0.026414197528845,-0.026414197528845,-0.0689766314949087,0.0275147667888071,0.026414197528845,0.026414197528845,0.026414197528845,0.026414197528845,0.0282509322227226,0.0282509322227226,0.0282509322227226,-0.00886949521248351
"MIR34",0.0383603940041106,0.0481797430235547,-0.026414197528845,-0.026414197528845,-0.0689766314949087,0.0275147667888071,0.026414197528845,0.026414197528845,0.026414197528845,0.026414197528845,0.0282509322227226,0.0282509322227226,0.0282509322227226,-0.00886949521248351
"MIR340",-0.158389363152388,-0.139365406255892,-0.112118384105233,-0.112118384105233,-0.0838519954494504,0.110902715487493,0.112118384105233,0.112118384105233,0.112118384105233,0.112118384105233,0.110000737046409,0.110000737046409,0.110000737046409,0.141252615798816
"HA",-0.158389363152388,-0.139365406255892,-0.112118384105233,-0.112118384105233,-0.0838519954494504,0.110902715487493,0.112118384105233,0.112118384105233,0.112118384105233,0.112118384105233,0.110000737046409,0.110000737046409,0.110000737046409,0.141252615798816
