"","MIR190","HAS2","GRHL2","ESRP1","MIR200","SNAIL1","ZEB1","MIR34","TGFB","HA","CD44s","CD24","MIR340","MIR1199"
"GRHL2",0.349150188051493,0.349150188051493,0.349150188051493,0.349150188051493,0.312680779080469,-0.0617240551710129,-0.351201637090893,-0.312680779080469,-0.324677578948952,-0.347155391867624,-0.347155391867624,-0.447155391867625,-0.349150188051493,-0.349150188051493
"MIR340",0.241517225930738,0.241517225930738,0.241517225930738,0.241517225930738,0.181758639256249,-0.040971560493256,-0.244533885093277,-0.181758639256249,-0.20029198850033,-0.241987814166032,-0.241987814166032,-0.241987814166032,-0.241517225930738,-0.241517225930738
"CD44s",0.241517225930738,0.241517225930738,0.241517225930738,0.241517225930738,0.181758639256249,-0.040971560493256,-0.244533885093277,-0.181758639256249,-0.20029198850033,-0.241987814166032,-0.241987814166032,-0.241987814166032,-0.241517225930738,-0.241517225930738
"HAS2",0.241987814166032,0.241987814166032,0.241987814166032,0.241987814166032,0.178636019301946,-0.046487148023232,-0.241517225930738,-0.178636019301946,-0.197471475679817,-0.333076923076923,-0.233076923076923,-0.233076923076923,-0.241987814166032,-0.241987814166032
"MIR200",0.165793960268024,0.165793960268024,0.165793960268024,0.165793960268024,0.0347994000316875,0.0599269845368772,-0.167699614750998,-0.0347994000316875,-0.142866606367274,-0.167355176373201,-0.167355176373201,-0.167355176373201,-0.165793960268024,-0.165793960268024
"TGFB",0.162022812152412,0.162022812152412,0.162022812152412,0.162022812152412,0.170218808980807,-0.058244228689881,-0.163199282740647,-0.170218808980807,-0.201552018556952,-0.161410567254452,-0.161410567254452,-0.161410567254452,-0.162022812152412,-0.162022812152412
"ZEB1",-0.244533885093277,-0.244533885093277,-0.244533885093277,-0.244533885093277,-0.181701035569613,0.0436031394406244,0.144450869984527,0.181701035569613,0.20200257564781,0.241517225930738,0.241517225930738,0.241517225930738,0.244533885093277,0.244533885093277
"MIR190",-0.161410567254452,-0.161410567254452,-0.161410567254452,-0.161410567254452,-0.169175784208969,0.0591914546709365,0.162022812152412,0.169175784208969,0.0994288763064212,0.157323373793962,0.157323373793962,0.157323373793962,0.161410567254452,0.161410567254452
"MIR34",-0.162022812152412,-0.162022812152412,-0.162022812152412,-0.162022812152412,-0.170218808980807,0.058244228689881,0.163199282740647,0.170218808980807,0.201552018556952,0.161410567254452,0.161410567254452,0.161410567254452,0.162022812152412,0.162022812152412
"SNAIL1",-0.163199282740647,-0.163199282740647,-0.163199282740647,-0.163199282740647,-0.170632132588879,-0.0415028628629769,0.163525385108434,0.170632132588879,0.20242711800007,0.162022812152412,0.162022812152412,0.162022812152412,0.163199282740647,0.163199282740647
"ESRP1",-0.241987814166032,-0.241987814166032,-0.241987814166032,-0.241987814166032,-0.178636019301946,0.046487148023232,0.241517225930738,0.178636019301946,0.197471475679817,0.233076923076923,0.133076923076923,0.233076923076923,0.241987814166032,0.241987814166032
"MIR1199",-0.241517225930738,-0.241517225930738,-0.241517225930738,-0.241517225930738,-0.181758639256249,0.040971560493256,0.244533885093277,0.181758639256249,0.20029198850033,0.241987814166032,0.241987814166032,0.241987814166032,0.241517225930738,0.241517225930738
"HA",-0.241517225930738,-0.241517225930738,-0.241517225930738,-0.241517225930738,-0.181758639256249,0.040971560493256,0.244533885093277,0.181758639256249,0.20029198850033,0.241987814166032,0.241987814166032,0.241987814166032,0.241517225930738,0.241517225930738
"CD24",-0.241517225930738,-0.241517225930738,-0.241517225930738,-0.241517225930738,-0.181758639256249,0.040971560493256,0.244533885093277,0.181758639256249,0.20029198850033,0.241987814166032,0.241987814166032,0.241987814166032,0.241517225930738,0.241517225930738
