"","CD44s","MIR34","MIR340","MIR1199","HAS2","GRHL2","SNAIL1","ZEB1","TGFB","MIR190","ESRP1","MIR200","HA","CD24"
"MIR200",0.130204582994778,0.032539756077366,0.135052569847695,0.135052569847695,0.135052569847695,0.135052569847695,0.105200409358266,-0.131647383968282,-0.198443279919777,-0.135052569847695,-0.135052569847695,-0.032539756077366,-0.130204582994778,-0.130204582994778
"MIR34",0.11499511097203,-0.00724023156954054,0.113158376278153,0.113158376278153,0.113158376278153,0.113158376278153,0.0367042637502466,-0.114107142881568,-0.076009052163877,-0.113158376278153,-0.113158376278153,0.00724023156954054,-0.11499511097203,-0.11499511097203
"SNAIL1",0.113158376278153,-0.00716729210929255,0.114107142881568,0.114107142881568,0.114107142881568,0.114107142881568,-0.0646108601748925,-0.113554186692713,-0.0760886066587059,-0.114107142881568,-0.114107142881568,0.00716729210929255,-0.113158376278153,-0.113158376278153
"ESRP1",0.00821339950372208,0.103225868963938,0.0986424424080125,0.0986424424080125,0.0986424424080125,0.0986424424080125,0.0871692432093117,-0.104524795349189,-0.00519071459822358,-0.0986424424080125,-0.0986424424080125,-0.103225868963938,-0.108213399503722,-0.108213399503722
"MIR340",0.0986424424080125,0.10573919721984,0.104524795349189,0.104524795349189,0.104524795349189,0.104524795349189,0.0843714814187442,-0.10042754185977,-0.00416507357258256,-0.104524795349189,-0.104524795349189,-0.10573919721984,-0.0986424424080125,-0.0986424424080125
"MIR1199",0.0986424424080125,0.10573919721984,0.104524795349189,0.104524795349189,0.104524795349189,0.104524795349189,0.0843714814187442,-0.10042754185977,-0.00416507357258256,-0.104524795349189,-0.104524795349189,-0.10573919721984,-0.0986424424080125,-0.0986424424080125
"HA",0.0986424424080125,0.10573919721984,0.104524795349189,0.104524795349189,0.104524795349189,0.104524795349189,0.0843714814187442,-0.10042754185977,-0.00416507357258256,-0.104524795349189,-0.104524795349189,-0.10573919721984,-0.0986424424080125,-0.0986424424080125
"CD24",0.0986424424080125,0.10573919721984,0.104524795349189,0.104524795349189,0.104524795349189,0.104524795349189,0.0843714814187442,-0.10042754185977,-0.00416507357258256,-0.104524795349189,-0.104524795349189,-0.10573919721984,-0.0986424424080125,-0.0986424424080125
"GRHL2",0.0070062735315268,0.00741213468275459,0.0138579647717696,0.0138579647717696,0.0138579647717696,0.0138579647717696,0.0667693113071659,-0.00926662644549156,-0.00373159464762565,-0.0138579647717696,-0.0138579647717696,-0.00741213468275459,-0.0070062735315268,-0.107006273531527
"ZEB1",-0.104524795349189,-0.104126293994034,-0.10042754185977,-0.10042754185977,-0.10042754185977,-0.10042754185977,-0.0861657397919499,0.00323345253551279,0.00495101901872218,0.10042754185977,0.10042754185977,0.104126293994034,0.104524795349189,0.104524795349189
"CD44s",-0.0986424424080125,-0.10573919721984,-0.104524795349189,-0.104524795349189,-0.104524795349189,-0.104524795349189,-0.0843714814187442,0.10042754185977,0.00416507357258256,0.104524795349189,0.104524795349189,0.10573919721984,0.0986424424080125,0.0986424424080125
"HAS2",-0.108213399503722,-0.103225868963938,-0.0986424424080125,-0.0986424424080125,-0.0986424424080125,-0.0986424424080125,-0.0871692432093117,0.104524795349189,0.00519071459822358,0.0986424424080125,0.0986424424080125,0.103225868963938,0.00821339950372208,0.108213399503722
"MIR190",-0.112542794895736,0.00593645060474263,-0.11499511097203,-0.11499511097203,-0.11499511097203,-0.11499511097203,-0.0352157657800166,0.113158376278153,0.177070623289142,0.11499511097203,0.11499511097203,-0.00593645060474263,0.112542794895736,0.112542794895736
"TGFB",-0.11499511097203,0.00724023156954054,-0.113158376278153,-0.113158376278153,-0.113158376278153,-0.113158376278153,-0.0367042637502466,0.114107142881568,0.076009052163877,0.113158376278153,0.113158376278153,-0.00724023156954054,0.11499511097203,0.11499511097203
