"","MIR34","MIR200","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1","ZEB1","CD24","TGFB"
"TGFB",-0.107301030899421,-0.107301030899421,0.101312600123307,0.101312600123307,0.100088110327389,0.100088110327389,0.100088110327389,0.100088110327389,0.100088110327389,0.100088110327389,0.217118638432926,-0.101036876930804,-0.101312600123307,0.0705242961540827
"MIR34",-0.107301030899421,-0.107301030899421,0.101312600123307,0.101312600123307,0.100088110327389,0.100088110327389,0.100088110327389,0.100088110327389,0.100088110327389,0.100088110327389,0.217118638432926,-0.101036876930804,-0.101312600123307,0.0705242961540827
"SNAIL1",-0.106936333598181,-0.106936333598181,0.100088110327389,0.100088110327389,0.101036876930804,0.101036876930804,0.101036876930804,0.101036876930804,0.101036876930804,0.101036876930804,0.116966893364641,-0.100682417835384,-0.100088110327389,0.0713198411023723
"MIR340",0.10673541983121,0.10673541983121,0.08549115953779,0.08549115953779,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0484861138103317,-0.0873546550485562,-0.08549115953779,-0.100359272843669
"CD24",0.10673541983121,0.10673541983121,0.08549115953779,0.08549115953779,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0890205713024959,0.0484861138103317,-0.0873546550485562,-0.08549115953779,-0.100359272843669
"MIR200",0.208295969081718,0.208295969081718,0.07820708544573,0.07820708544573,0.0802613171630677,0.0802613171630677,0.0802613171630677,0.0802613171630677,0.0802613171630677,0.0802613171630677,-0.138750964536393,-0.0794803112274226,-0.07820708544573,-0.297179250599709
"ZEB1",-0.105986571904943,-0.105986571904943,-0.0890205713024959,-0.0890205713024959,-0.0873546550485562,-0.0873546550485562,-0.0873546550485562,-0.0873546550485562,-0.0873546550485562,-0.0873546550485562,-0.0496224774466953,-0.0110680578851977,0.0890205713024959,0.102624645011953
"GRHL2",0.00747879331186863,0.00747879331186863,0.00137025192101841,0.00137025192101841,0.00562003509534625,0.00562003509534625,0.00562003509534625,0.00562003509534625,0.00562003509534625,0.00562003509534625,0.0502397514695441,-0.00343833532328503,-0.101370251921018,-0.00549298871314127
"MIR1199",-0.10673541983121,-0.10673541983121,-0.08549115953779,-0.08549115953779,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0484861138103317,0.0873546550485562,0.08549115953779,0.100359272843669
"HA",-0.10673541983121,-0.10673541983121,-0.08549115953779,-0.08549115953779,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0484861138103317,0.0873546550485562,0.08549115953779,0.100359272843669
"CD44s",-0.10673541983121,-0.10673541983121,-0.08549115953779,-0.08549115953779,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.0484861138103317,0.0873546550485562,0.08549115953779,0.100359272843669
"HAS2",-0.105288352047509,-0.105288352047509,0.00823821339950372,-0.0917617866004963,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.0493654103730815,0.0890205713024959,0.0917617866004963,0.104205426689822
"ESRP1",-0.105288352047509,-0.105288352047509,-0.0917617866004963,0.00823821339950372,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.08549115953779,-0.0493654103730815,0.0890205713024959,0.0917617866004963,0.104205426689822
"MIR190",0.106779518513502,0.106779518513502,-0.0999502023031435,-0.0999502023031435,-0.101312600123307,-0.101312600123307,-0.101312600123307,-0.101312600123307,-0.101312600123307,-0.101312600123307,-0.216442048446458,0.100088110327389,0.0999502023031435,-0.171373553054295
