"","MIR190","HAS2","CD44s","CD24","MIR200","SNAIL1","ZEB1","MIR34","TGFB","HA","MIR340","MIR1199","GRHL2","ESRP1"
"MIR1199",0.240989891866139,0.240989891866139,0.243342833042609,0.243342833042609,0.209292683399891,0.0494086519079112,-0.242565758592839,-0.177994574213187,-0.224095969442574,-0.243342833042609,-0.240989891866139,-0.240989891866139,-0.240989891866139,-0.240989891866139
"CD24",0.240989891866139,0.240989891866139,0.243342833042609,0.243342833042609,0.209292683399891,0.0494086519079112,-0.242565758592839,-0.177994574213187,-0.224095969442574,-0.243342833042609,-0.240989891866139,-0.240989891866139,-0.240989891866139,-0.240989891866139
"HAS2",0.243342833042609,0.243342833042609,0.227171215880893,0.227171215880893,0.207236323917789,0.0386172850014363,-0.240989891866139,-0.183097392187292,-0.211788277134882,-0.327171215880893,-0.243342833042609,-0.243342833042609,-0.243342833042609,-0.243342833042609
"ESRP1",0.243342833042609,0.243342833042609,0.127171215880893,0.227171215880893,0.207236323917789,0.0386172850014363,-0.240989891866139,-0.183097392187292,-0.211788277134882,-0.227171215880893,-0.243342833042609,-0.243342833042609,-0.243342833042609,-0.243342833042609
"MIR200",0.203811833537599,0.203811833537599,0.202579294507196,0.202579294507196,0.269763169930329,-0.0622609779870263,-0.201406335255812,-0.0497704581750681,-0.380144447424175,-0.202579294507196,-0.203811833537599,-0.203811833537599,-0.203811833537599,-0.203811833537599
"SNAIL1",0.0509660113593746,0.0509660113593746,0.0588977001639287,0.0588977001639287,-0.0620495882620467,-0.0158428149186285,-0.0558008334209087,-0.121474463921802,0.0499989400980153,-0.0588977001639287,-0.0509660113593746,-0.0509660113593746,-0.0509660113593746,-0.0509660113593746
"TGFB",0.0588977001639287,0.0588977001639287,0.0474691287353573,0.0474691287353573,-0.0553634710726472,0.0818810090570923,-0.0509660113593746,-0.124951244860289,0.0623298867965037,-0.0474691287353573,-0.0588977001639287,-0.0588977001639287,-0.0588977001639287,-0.0588977001639287
"MIR34",-0.0588977001639287,-0.0588977001639287,-0.0474691287353573,-0.0474691287353573,0.0553634710726472,-0.0818810090570923,0.0509660113593746,0.124951244860289,-0.0623298867965037,0.0474691287353573,0.0588977001639287,0.0588977001639287,0.0588977001639287,0.0588977001639287
"MIR190",-0.0474691287353573,-0.0474691287353573,-0.0570059134765017,-0.0570059134765017,0.0682709026241466,-0.0774155151464021,0.0588977001639287,0.123256329606052,-0.148529462168054,0.0570059134765017,0.0474691287353573,0.0474691287353573,0.0474691287353573,0.0474691287353573
"ZEB1",-0.242565758592839,-0.242565758592839,-0.240989891866139,-0.240989891866139,-0.206412499068094,-0.0404971686543226,0.145736935747081,0.182890887577242,0.224419594038044,0.240989891866139,0.242565758592839,0.242565758592839,0.242565758592839,0.242565758592839
"MIR340",-0.240989891866139,-0.240989891866139,-0.243342833042609,-0.243342833042609,-0.209292683399891,-0.0494086519079112,0.242565758592839,0.177994574213187,0.224095969442574,0.243342833042609,0.240989891866139,0.240989891866139,0.240989891866139,0.240989891866139
"HA",-0.240989891866139,-0.240989891866139,-0.243342833042609,-0.243342833042609,-0.209292683399891,-0.0494086519079112,0.242565758592839,0.177994574213187,0.224095969442574,0.243342833042609,0.240989891866139,0.240989891866139,0.240989891866139,0.240989891866139
"CD44s",-0.240989891866139,-0.240989891866139,-0.243342833042609,-0.243342833042609,-0.209292683399891,-0.0494086519079112,0.242565758592839,0.177994574213187,0.224095969442574,0.243342833042609,0.240989891866139,0.240989891866139,0.240989891866139,0.240989891866139
"GRHL2",-0.345082458187935,-0.345082458187935,-0.342567280390883,-0.442567280390883,-0.296570514065594,-0.0663344770206253,0.345570898435411,0.309074149135063,0.313829190182497,0.342567280390883,0.345082458187935,0.345082458187935,0.345082458187935,0.345082458187935
