"","HA","CD24","MIR340","MIR1199","HAS2","ESRP1","MIR200","ZEB1","MIR34","TGFB","MIR190","GRHL2","CD44s","SNAIL1"
"TGFB",0.102794081604788,0.102794081604788,0.101977755074176,0.101977755074176,0.101977755074176,0.101977755074176,0.0933946212744919,-0.102622916364499,-0.0933946212744919,-0.130473398198602,-0.101977755074176,-0.101977755074176,-0.102794081604788,-0.0176373207563578
"MIR34",0.102794081604788,0.102794081604788,0.101977755074176,0.101977755074176,0.101977755074176,0.101977755074176,0.0933946212744919,-0.102622916364499,-0.0933946212744919,-0.130473398198602,-0.101977755074176,-0.101977755074176,-0.102794081604788,-0.0176373207563578
"SNAIL1",0.101977755074176,0.101977755074176,0.102622916364499,0.102622916364499,0.102622916364499,0.102622916364499,0.0938565711893959,-0.102353527451979,-0.0938565711893959,-0.129836962239971,-0.102622916364499,-0.102622916364499,-0.101977755074176,-0.117789065824643
"MIR190",0.101431683784625,0.101431683784625,0.102794081604788,0.102794081604788,0.102794081604788,0.102794081604788,0.0939161336604111,-0.101977755074176,-0.0939161336604111,-0.0291995128482838,-0.102794081604788,-0.102794081604788,-0.101431683784625,-0.0177726387536514
"MIR340",0.0925995626857971,0.0925995626857971,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0773184300049939,-0.093972129362175,-0.0773184300049939,-0.0839764488081114,-0.0951877979799148,-0.0951877979799148,-0.0925995626857971,-0.128051067322631
"MIR1199",0.0925995626857971,0.0925995626857971,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0773184300049939,-0.093972129362175,-0.0773184300049939,-0.0839764488081114,-0.0951877979799148,-0.0951877979799148,-0.0925995626857971,-0.128051067322631
"CD44s",0.0925995626857971,0.0925995626857971,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0773184300049939,-0.093972129362175,-0.0773184300049939,-0.0839764488081114,-0.0951877979799148,-0.0951877979799148,-0.0925995626857971,-0.128051067322631
"CD24",0.0925995626857971,0.0925995626857971,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0773184300049939,-0.093972129362175,-0.0773184300049939,-0.0839764488081114,-0.0951877979799148,-0.0951877979799148,-0.0925995626857971,-0.128051067322631
"MIR200",0.082629099384687,0.082629099384687,0.0840259769524766,0.0840259769524766,0.0840259769524766,0.0840259769524766,-0.0106214206148754,-0.0834324124413863,0.0106214206148754,-0.0864946271731142,-0.0840259769524766,-0.0840259769524766,-0.082629099384687,-0.109417860517708
"GRHL2",0.00493824078928666,-0.0950617592107133,0.00797380019952084,0.00797380019952084,0.00797380019952084,0.00797380019952084,-0.00361634507826875,-0.00637822872443129,0.00361634507826875,0.000148657775962848,-0.00797380019952084,-0.00797380019952084,-0.00493824078928666,-0.0886418251615885
"ZEB1",-0.0951877979799148,-0.0951877979799148,-0.093972129362175,-0.093972129362175,-0.093972129362175,-0.093972129362175,-0.0763391673321828,-0.00511470444157728,0.0763391673321828,0.0862418209763961,0.093972129362175,0.093972129362175,0.0951877979799148,0.12787164148531
"HA",-0.0925995626857971,-0.0925995626857971,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0773184300049939,0.093972129362175,0.0773184300049939,0.0839764488081114,0.0951877979799148,0.0951877979799148,0.0925995626857971,0.128051067322631
"HAS2",0.00311000827129859,-0.0968899917287014,-0.0925995626857971,-0.0925995626857971,-0.0925995626857971,-0.0925995626857971,-0.0752620705228918,0.0951877979799148,0.0752620705228918,0.0873097821414447,0.0925995626857971,0.0925995626857971,0.0968899917287014,0.127491514964517
"ESRP1",-0.0968899917287014,-0.0968899917287014,-0.0925995626857971,-0.0925995626857971,-0.0925995626857971,-0.0925995626857971,-0.0752620705228918,0.0951877979799148,0.0752620705228918,0.0873097821414447,0.0925995626857971,0.0925995626857971,-0.00311000827129859,0.127491514964517
